# time (s), self.diffsum, self.std, self.dasdv, self.wa, self.var
0.00,0.00,0.00,0.00,0.00,0.00
0.06,0.18,1.52,2.11,0.00,0.02
0.12,0.27,1.30,2.37,1.00,0.02
0.18,0.20,1.64,3.15,2.00,0.03
0.31,0.20,1.64,3.16,2.00,0.03
0.37,0.43,2.00,3.26,3.00,0.04
0.44,0.21,1.90,3.37,3.00,0.04
0.57,0.23,1.77,2.65,2.00,0.03
0.63,0.15,1.61,2.57,2.00,0.03
0.69,0.85,2.74,2.64,2.00,0.08
0.76,0.03,2.02,3.32,2.00,0.04
0.89,0.34,2.81,3.71,3.00,0.08
0.95,0.12,2.79,4.10,4.00,0.08
1.01,0.51,2.76,3.69,3.00,0.08
1.08,0.09,1.52,2.57,2.00,0.02
1.20,0.65,2.09,2.29,1.00,0.04
1.27,0.31,1.44,1.24,0.00,0.02
1.33,0.17,1.32,1.52,0.00,0.02
1.39,0.03,1.10,1.52,0.00,0.01
1.52,0.38,1.53,1.34,0.00,0.02
1.59,0.38,1.54,1.34,0.00,0.02
1.65,0.41,1.45,1.44,0.00,0.02
1.71,0.01,1.26,2.18,1.00,0.02
1.84,0.22,1.36,2.00,1.00,0.02
1.90,0.05,1.36,2.28,1.00,0.02
1.97,0.19,2.14,2.70,2.00,0.05
2.03,0.70,4.01,6.50,2.00,0.16
2.16,0.17,4.04,7.68,3.00,0.16
2.22,0.54,4.87,8.16,4.00,0.24
2.29,0.61,4.97,8.91,4.00,0.25
2.35,0.79,4.53,6.50,3.00,0.20
2.48,0.02,2.74,5.05,2.00,0.07
2.54,0.82,2.98,4.20,1.00,0.09
2.61,0.04,0.96,1.31,0.00,0.01
2.67,0.04,0.94,1.32,0.00,0.01
2.80,0.49,2.58,3.01,1.00,0.07
2.86,0.12,2.60,4.03,2.00,0.07
2.92,0.30,2.43,4.11,2.00,0.06
2.99,0.30,2.74,4.56,3.00,0.08
3.12,0.59,2.77,3.88,2.00,0.08
3.18,0.25,1.77,2.93,1.00,0.03
3.24,0.01,1.83,2.85,1.00,0.03
3.31,0.88,2.92,2.97,1.00,0.09
3.44,0.45,2.18,2.83,1.00,0.05
3.50,0.42,2.65,3.93,2.00,0.07
3.56,0.80,4.48,4.56,3.00,0.20
3.63,0.42,4.50,5.77,3.00,0.20
3.75,0.01,4.09,5.81,3.00,0.17
3.82,0.56,4.01,4.97,2.00,0.16
3.88,1.34,4.56,4.62,2.00,0.21
3.95,0.16,2.21,3.78,2.00,0.05
4.07,0.51,2.81,3.67,2.00,0.08
4.14,0.58,3.26,3.70,2.00,0.11
4.20,0.62,3.08,3.61,1.00,0.09
4.26,0.42,2.21,2.46,1.00,0.05
4.39,0.49,2.59,2.40,1.00,0.07
4.46,0.80,2.90,2.57,1.00,0.08
4.52,0.36,3.21,4.99,2.00,0.10
4.58,0.22,3.09,5.29,2.00,0.10
4.71,0.35,3.06,5.37,2.00,0.09
4.78,0.42,2.90,5.31,2.00,0.08
4.84,0.75,2.47,3.15,1.00,0.06
4.90,0.67,2.99,2.84,1.00,0.09
5.03,0.49,2.97,3.25,2.00,0.09
5.10,0.63,2.56,3.46,2.00,0.07
5.16,0.69,2.50,3.59,3.00,0.06
5.22,0.04,1.99,3.01,2.00,0.04
5.35,0.69,2.46,2.78,1.00,0.06
5.41,0.62,2.17,2.63,1.00,0.05
5.48,0.78,3.35,3.20,1.00,0.11
5.54,1.06,4.07,3.06,1.00,0.17
5.67,0.31,2.97,3.57,2.00,0.09
5.73,0.47,3.75,4.46,3.00,0.14
5.80,0.98,4.53,3.71,2.00,0.21
5.86,0.03,4.75,6.55,3.00,0.23
5.99,0.65,5.18,6.17,2.00,0.27
6.05,1.48,6.33,5.62,1.00,0.40
6.12,1.89,6.33,5.95,2.00,0.40
