# time (s), self.diffsum, self.std, self.dasdv, self.wa, self.var
0.00,0.00,0.00,0.00,0.00,0.00
0.06,0.18,0.63,0.47,0.00,0.00
0.12,0.14,0.53,0.38,0.00,0.00
0.19,0.14,0.48,0.38,0.00,0.00
0.31,0.09,0.34,0.24,0.00,0.00
0.38,0.07,0.27,0.20,0.00,0.00
0.44,0.07,0.24,0.20,0.00,0.00
0.51,0.05,0.18,0.14,0.00,0.00
0.63,0.06,0.20,0.17,0.00,0.00
0.70,0.08,0.26,0.21,0.00,0.00
0.76,0.07,0.28,0.20,0.00,0.00
0.82,0.09,0.31,0.22,0.00,0.00
0.95,0.06,0.24,0.19,0.00,0.00
1.02,0.04,0.16,0.14,0.00,0.00
1.08,0.04,0.12,0.12,0.00,0.00
1.14,0.02,0.08,0.07,0.00,0.00
1.27,0.04,0.13,0.11,0.00,0.00
1.33,0.03,0.12,0.11,0.00,0.00
1.40,0.03,0.11,0.09,0.00,0.00
1.46,0.05,0.15,0.14,0.00,0.00
1.59,0.02,0.11,0.13,0.00,0.00
1.65,0.02,0.10,0.14,0.00,0.00
1.72,0.04,0.15,0.18,0.00,0.00
1.78,0.00,0.11,0.19,0.00,0.00
1.91,0.03,0.14,0.22,0.00,0.00
1.97,0.03,0.13,0.21,0.00,0.00
2.04,0.02,0.12,0.21,0.00,0.00
2.10,0.03,0.13,0.22,0.00,0.00
2.23,0.04,0.19,0.25,0.00,0.00
2.29,0.02,0.20,0.26,0.00,0.00
2.35,0.05,0.21,0.23,0.00,0.00
2.42,0.04,0.14,0.21,0.00,0.00
2.55,0.02,0.13,0.14,0.00,0.00
2.61,0.07,0.24,0.19,0.00,0.00
2.67,0.05,0.22,0.19,0.00,0.00
2.74,0.05,0.18,0.19,0.00,0.00
2.86,0.03,0.12,0.18,0.00,0.00
2.93,0.01,0.05,0.10,0.00,0.00
2.99,0.03,0.12,0.18,0.00,0.00
3.06,0.01,0.12,0.18,0.00,0.00
3.18,0.04,0.19,0.23,0.00,0.00
3.25,0.04,0.18,0.24,0.00,0.00
3.31,0.02,0.12,0.18,0.00,0.00
3.37,0.05,0.16,0.20,0.00,0.00
3.50,0.01,0.11,0.15,0.00,0.00
3.57,0.03,0.12,0.15,0.00,0.00
3.63,0.02,0.08,0.13,0.00,0.00
3.69,0.03,0.12,0.15,0.00,0.00
3.82,0.03,0.14,0.13,0.00,0.00
3.88,0.03,0.12,0.13,0.00,0.00
3.94,0.02,0.10,0.15,0.00,0.00
4.01,0.03,0.13,0.21,0.00,0.00
4.14,0.01,0.13,0.23,0.00,0.00
4.20,0.00,0.12,0.23,0.00,0.00
4.26,0.02,0.12,0.22,0.00,0.00
4.33,0.02,0.08,0.11,0.00,0.00
4.46,0.02,0.06,0.07,0.00,0.00
4.52,0.03,0.11,0.10,0.00,0.00
4.58,0.03,0.14,0.11,0.00,0.00
4.65,0.04,0.15,0.11,0.00,0.00
4.78,0.03,0.12,0.10,0.00,0.00
4.84,0.01,0.07,0.09,0.00,0.00
4.90,0.01,0.05,0.08,0.00,0.00
4.97,0.00,0.04,0.08,0.00,0.00
5.09,0.02,0.10,0.14,0.00,0.00
5.16,0.03,0.13,0.13,0.00,0.00
5.22,0.03,0.14,0.13,0.00,0.00
5.29,0.05,0.16,0.14,0.00,0.00
5.41,0.02,0.10,0.08,0.00,0.00
5.48,0.04,0.14,0.14,0.00,0.00
5.54,0.01,0.11,0.17,0.00,0.00
5.60,0.02,0.12,0.21,0.00,0.00
5.73,0.03,0.13,0.21,0.00,0.00
5.79,0.00,0.11,0.18,0.00,0.00
5.86,0.04,0.12,0.14,0.00,0.00
5.92,0.00,0.04,0.07,0.00,0.00
6.05,0.01,0.04,0.07,0.00,0.00
6.11,0.02,0.09,0.14,0.00,0.00
6.18,0.02,0.12,0.13,0.00,0.00
6.24,0.03,0.15,0.13,0.00,0.00
6.37,0.04,0.14,0.13,0.00,0.00
6.43,0.02,0.13,0.19,0.00,0.00
6.49,0.01,0.14,0.27,0.00,0.00
6.56,0.00,0.14,0.27,0.00,0.00
6.69,0.01,0.14,0.27,0.00,0.00
6.75,0.02,0.14,0.20,0.00,0.00
6.81,0.02,0.07,0.06,0.00,0.00
6.88,0.00,0.07,0.10,0.00,0.00
7.00,0.04,0.16,0.16,0.00,0.00
7.07,0.02,0.15,0.18,0.00,0.00
7.13,0.03,0.14,0.18,0.00,0.00
7.20,0.01,0.12,0.19,0.00,0.00
7.32,0.01,0.13,0.21,0.00,0.00
7.39,0.01,0.11,0.19,0.00,0.00
7.45,0.01,0.12,0.19,0.00,0.00
7.52,0.03,0.12,0.17,0.00,0.00
7.64,0.02,0.08,0.12,0.00,0.00
7.71,0.00,0.09,0.16,0.00,0.00
7.77,0.02,0.10,0.19,0.00,0.00
7.83,0.03,0.13,0.20,0.00,0.00
7.96,0.03,0.18,0.20,0.00,0.00
8.03,0.05,0.19,0.17,0.00,0.00
8.09,0.00,0.14,0.19,0.00,0.00
8.15,0.02,0.14,0.25,0.00,0.00
8.28,0.01,0.14,0.23,0.00,0.00
8.35,0.00,0.14,0.23,0.00,0.00
8.41,0.04,0.16,0.20,0.00,0.00
8.47,0.00,0.05,0.11,0.00,0.00
8.60,0.01,0.06,0.11,0.00,0.00
8.66,0.02,0.08,0.14,0.00,0.00
8.73,0.00,0.08,0.13,0.00,0.00
8.79,0.02,0.09,0.11,0.00,0.00
8.92,0.04,0.12,0.14,0.00,0.00
8.98,0.02,0.10,0.10,0.00,0.00
9.05,0.03,0.13,0.11,0.00,0.00
9.11,0.03,0.11,0.11,0.00,0.00
9.24,0.02,0.07,0.09,0.00,0.00
9.30,0.02,0.08,0.09,0.00,0.00
9.37,0.00,0.07,0.10,0.00,0.00
9.43,0.01,0.06,0.10,0.00,0.00
9.56,0.02,0.09,0.13,0.00,0.00
9.62,0.01,0.09,0.13,0.00,0.00
9.69,0.04,0.13,0.14,0.00,0.00
9.75,0.04,0.13,0.14,0.00,0.00
9.88,0.01,0.08,0.11,0.00,0.00
9.94,0.02,0.08,0.12,0.00,0.00
10.01,0.02,0.08,0.14,0.00,0.00
10.07,0.00,0.09,0.18,0.00,0.00
10.20,0.01,0.10,0.20,0.00,0.00
10.26,0.03,0.12,0.19,0.00,0.00
10.32,0.01,0.09,0.16,0.00,0.00
10.39,0.01,0.13,0.16,0.00,0.00
10.52,0.03,0.14,0.13,0.00,0.00
10.58,0.02,0.13,0.13,0.00,0.00
10.64,0.04,0.13,0.18,0.00,0.00
10.71,0.04,0.16,0.17,0.00,0.00
10.84,0.02,0.16,0.18,0.00,0.00
10.90,0.03,0.15,0.18,0.00,0.00
10.96,0.03,0.12,0.20,0.00,0.00
11.03,0.01,0.11,0.21,0.00,0.00
11.16,0.02,0.11,0.20,0.00,0.00
11.22,0.01,0.11,0.22,0.00,0.00
11.28,0.00,0.10,0.19,0.00,0.00
11.35,0.01,0.12,0.22,0.00,0.00
11.47,0.01,0.14,0.29,0.00,0.00
11.54,0.02,0.15,0.28,0.00,0.00
11.60,0.01,0.14,0.26,0.00,0.00
11.67,0.02,0.13,0.20,0.00,0.00
11.79,0.02,0.12,0.18,0.00,0.00
11.86,0.00,0.12,0.22,0.00,0.00
11.92,0.03,0.14,0.24,0.00,0.00
11.99,0.03,0.14,0.24,0.00,0.00
12.11,0.03,0.18,0.24,0.00,0.00
12.18,0.06,0.22,0.20,0.00,0.00
12.24,0.04,0.17,0.17,0.00,0.00
12.30,0.02,0.14,0.19,0.00,0.00
12.43,0.02,0.09,0.09,0.00,0.00
12.50,0.03,0.11,0.09,0.00,0.00
12.56,0.02,0.10,0.11,0.00,0.00
12.62,0.01,0.07,0.09,0.00,0.00
12.75,0.01,0.08,0.13,0.00,0.00
12.81,0.03,0.12,0.20,0.00,0.00
12.88,0.01,0.10,0.19,0.00,0.00
12.94,0.01,0.12,0.19,0.00,0.00
13.07,0.06,0.19,0.20,0.00,0.00
13.13,0.02,0.12,0.15,0.00,0.00
13.20,0.04,0.14,0.16,0.00,0.00
13.26,0.03,0.10,0.15,0.00,0.00
13.39,0.02,0.08,0.14,0.00,0.00
13.45,0.01,0.09,0.16,0.00,0.00
13.52,0.01,0.08,0.14,0.00,0.00
13.58,0.00,0.08,0.15,0.00,0.00
13.71,0.04,0.13,0.14,0.00,0.00
13.77,0.00,0.09,0.16,0.00,0.00
13.84,0.03,0.12,0.21,0.00,0.00
13.90,0.01,0.10,0.21,0.00,0.00
14.03,0.01,0.10,0.19,0.00,0.00
14.09,0.00,0.11,0.17,0.00,0.00
14.15,0.01,0.09,0.14,0.00,0.00
14.22,0.01,0.09,0.14,0.00,0.00
14.35,0.03,0.16,0.17,0.00,0.00
14.41,0.02,0.15,0.19,0.00,0.00
14.47,0.01,0.10,0.16,0.00,0.00
14.54,0.00,0.08,0.16,0.00,0.00
14.67,0.02,0.15,0.20,0.00,0.00
14.73,0.06,0.22,0.18,0.00,0.00
14.79,0.05,0.22,0.18,0.00,0.00
14.86,0.05,0.18,0.18,0.00,0.00
14.98,0.01,0.05,0.08,0.00,0.00
15.05,0.02,0.10,0.15,0.00,0.00
15.11,0.01,0.10,0.16,0.00,0.00
15.17,0.03,0.16,0.24,0.00,0.00
15.30,0.01,0.16,0.28,0.00,0.00
15.36,0.03,0.16,0.24,0.00,0.00
15.43,0.02,0.12,0.23,0.00,0.00
15.49,0.03,0.12,0.18,0.00,0.00
15.62,0.01,0.07,0.13,0.00,0.00
15.68,0.01,0.08,0.14,0.00,0.00
15.75,0.05,0.16,0.20,0.00,0.00
15.81,0.01,0.14,0.20,0.00,0.00
15.94,0.05,0.20,0.24,0.00,0.00
16.00,0.02,0.14,0.26,0.00,0.00
16.07,0.01,0.13,0.25,0.00,0.00
16.13,0.03,0.14,0.23,0.00,0.00
16.26,0.01,0.10,0.18,0.00,0.00
16.32,0.03,0.11,0.18,0.00,0.00
16.39,0.01,0.10,0.14,0.00,0.00
16.45,0.01,0.10,0.18,0.00,0.00
16.58,0.01,0.11,0.16,0.00,0.00
16.64,0.02,0.09,0.12,0.00,0.00
16.71,0.03,0.11,0.13,0.00,0.00
16.77,0.00,0.06,0.08,0.00,0.00
16.90,0.01,0.05,0.07,0.00,0.00
16.96,0.02,0.09,0.12,0.00,0.00
17.02,0.03,0.10,0.11,0.00,0.00
17.09,0.01,0.09,0.10,0.00,0.00
17.22,0.04,0.12,0.15,0.00,0.00
17.28,0.01,0.09,0.12,0.00,0.00
17.34,0.00,0.09,0.14,0.00,0.00
17.41,0.04,0.16,0.26,0.00,0.00
17.54,0.02,0.17,0.23,0.00,0.00
17.60,0.03,0.19,0.23,0.00,0.00
17.66,0.03,0.17,0.23,0.00,0.00
17.73,0.02,0.09,0.09,0.00,0.00
17.85,0.01,0.09,0.11,0.00,0.00
17.92,0.02,0.09,0.12,0.00,0.00
17.98,0.02,0.11,0.18,0.00,0.00
18.04,0.02,0.11,0.18,0.00,0.00
18.17,0.01,0.09,0.16,0.00,0.00
18.24,0.03,0.10,0.16,0.00,0.00
18.30,0.02,0.07,0.11,0.00,0.00
18.36,0.01,0.07,0.13,0.00,0.00
18.49,0.02,0.10,0.14,0.00,0.00
18.56,0.01,0.10,0.14,0.00,0.00
18.62,0.04,0.13,0.12,0.00,0.00
18.68,0.02,0.08,0.08,0.00,0.00
18.81,0.02,0.09,0.09,0.00,0.00
18.88,0.01,0.08,0.11,0.00,0.00
18.94,0.00,0.05,0.09,0.00,0.00
19.00,0.00,0.05,0.09,0.00,0.00
19.13,0.02,0.06,0.08,0.00,0.00
19.19,0.00,0.02,0.03,0.00,0.00
19.26,0.00,0.02,0.03,0.00,0.00
19.32,0.00,0.03,0.05,0.00,0.00
19.39,0.02,0.08,0.08,0.00,0.00
19.51,0.00,0.08,0.11,0.00,0.00
19.58,0.02,0.07,0.12,0.00,0.00
19.64,0.00,0.06,0.12,0.00,0.00
19.77,0.01,0.05,0.10,0.00,0.00
19.83,0.01,0.04,0.07,0.00,0.00
19.90,0.00,0.03,0.04,0.00,0.00
19.96,0.00,0.04,0.05,0.00,0.00
20.09,0.01,0.05,0.08,0.00,0.00
20.15,0.01,0.05,0.07,0.00,0.00
20.22,0.01,0.07,0.08,0.00,0.00
20.28,0.04,0.13,0.11,0.00,0.00
20.40,0.02,0.10,0.10,0.00,0.00
20.47,0.01,0.08,0.10,0.00,0.00
20.53,0.01,0.06,0.10,0.00,0.00
20.60,0.01,0.04,0.05,0.00,0.00
20.72,0.01,0.04,0.04,0.00,0.00
20.79,0.01,0.05,0.08,0.00,0.00
20.85,0.00,0.05,0.10,0.00,0.00
20.92,0.02,0.11,0.15,0.00,0.00
21.04,0.01,0.11,0.20,0.00,0.00
21.11,0.02,0.11,0.18,0.00,0.00
21.17,0.02,0.11,0.19,0.00,0.00
21.23,0.01,0.09,0.16,0.00,0.00
21.36,0.02,0.08,0.10,0.00,0.00
21.42,0.00,0.06,0.10,0.00,0.00
21.49,0.03,0.14,0.21,0.00,0.00
21.55,0.05,0.20,0.21,0.00,0.00
21.68,0.03,0.19,0.21,0.00,0.00
21.74,0.03,0.17,0.21,0.00,0.00
21.81,0.00,0.06,0.09,0.00,0.00
21.87,0.01,0.06,0.07,0.00,0.00
22.00,0.01,0.07,0.10,0.00,0.00
22.06,0.04,0.14,0.12,0.00,0.00
22.12,0.04,0.16,0.12,0.00,0.00
22.19,0.01,0.14,0.19,0.00,0.00
22.32,0.02,0.15,0.18,0.00,0.00
22.38,0.02,0.15,0.17,0.00,0.00
22.44,0.02,0.14,0.18,0.00,0.00
22.51,0.00,0.08,0.13,0.00,0.00
22.64,0.03,0.10,0.14,0.00,0.00
22.70,0.01,0.06,0.13,0.00,0.00
22.76,0.00,0.06,0.11,0.00,0.00
22.83,0.02,0.08,0.10,0.00,0.00
22.96,0.02,0.08,0.14,0.00,0.00
23.02,0.00,0.08,0.13,0.00,0.00
23.08,0.02,0.11,0.18,0.00,0.00
23.15,0.00,0.11,0.18,0.00,0.00
23.28,0.02,0.12,0.13,0.00,0.00
23.34,0.03,0.10,0.14,0.00,0.00
23.40,0.02,0.08,0.08,0.00,0.00
23.47,0.01,0.09,0.09,0.00,0.00
23.59,0.01,0.07,0.09,0.00,0.00
23.66,0.01,0.06,0.08,0.00,0.00
23.72,0.02,0.07,0.06,0.00,0.00
23.79,0.02,0.05,0.05,0.00,0.00
23.91,0.02,0.09,0.14,0.00,0.00
23.98,0.01,0.10,0.16,0.00,0.00
24.04,0.01,0.09,0.16,0.00,0.00
24.10,0.03,0.11,0.17,0.00,0.00
24.23,0.01,0.10,0.11,0.00,0.00
24.29,0.02,0.10,0.10,0.00,0.00
24.36,0.02,0.08,0.11,0.00,0.00
24.42,0.00,0.04,0.08,0.00,0.00
24.55,0.03,0.13,0.17,0.00,0.00
24.61,0.04,0.16,0.16,0.00,0.00
24.68,0.02,0.14,0.16,0.00,0.00
24.74,0.04,0.13,0.17,0.00,0.00
24.87,0.01,0.05,0.10,0.00,0.00
