# time (s), x(cm), y(cm), Turning Angle
0.81,8,9.4,-10.59
1.02,7.8,9.3,-8.66
1.09,8,9.3,-10.62
1.19,8,9.3,-10.37
1.25,8.1,8.8,55.22
1.39,8,8.8,55.1
1.47,8,8.8,55.1
1.75,8,8.8,55.1
1.75,7.1,8.7,-13.84
1.94,7,8.6,-11.53
2,7,8.5,-12.5
2.06,6.9,8.4,-13.01
2.13,6.9,8.4,-9.8
2.19,6.9,8.4,-6.93
2.25,6.8,8.3,-8.75
2.32,6.7,8.3,-6.11
2.44,6.7,8.3,-6.11
2.72,6.2,8,-13.35
2.79,6.1,8,-9.78
2.87,6.1,8,-9.78
3.04,6.1,8,-9.78
3.13,5.8,7.7,-2.82
3.2,5.8,7.7,-2.82
3.2,6.1,7.4,-0.24
3.39,6.1,7.3,-0.99
3.45,6.1,7.3,-0.29
3.51,6,7.2,-0.14
3.57,6.1,7.1,7.84
3.64,6.1,6.9,9.64
3.7,6.1,6.9,9.64
3.92,6.1,6.9,9.64
3.92,6.1,6.9,9.64
4.16,6.1,6.9,9.64
4.41,6.1,6.9,9.64
4.63,5.7,6.2,21.53
4.79,5.7,6.1,21.55
4.85,5.5,6.3,19.81
4.91,4.5,7.6,-3.87
4.98,6.3,5.8,53.91
5.04,6.3,5.9,51.92
5.1,6.2,5.8,48.92
5.16,6.2,5.8,49.39
5.23,6.1,5.8,48.85
5.29,6.1,5.8,48.48
5.35,6.1,5.8,47.71
5.42,6,5.7,47.65
5.48,6,5.7,48.34
5.54,6,5.6,49.14
5.6,6,5.6,49.14
5.76,6,5.6,49.14
6.04,6,5.6,49.14
6.04,6,5.6,49.14
6.46,6,5.6,49.14
6.46,6,5.6,49.14
6.72,6,5.6,49.14
6.89,6,5.6,49.14
7.09,6,5.6,49.14
7.09,6,5.6,49.14
7.36,6,5.6,49.14
7.47,6,5.6,49.14
7.47,6,5.6,49.14
7.66,6,5.6,49.14
7.87,6,5.6,49.14
7.87,6,5.6,49.14
8.14,6.3,5.8,48.94
8.25,6.4,5.8,38.5
8.31,6.5,5.8,39.35
8.37,6.5,5.8,38.27
8.44,6.3,5.7,45.03
8.5,6.5,5.8,34.16
8.56,6.5,5.8,32.73
8.63,6.5,5.8,32.33
8.69,6.5,5.9,30.7
8.75,6.4,5.8,26.06
8.82,6.9,5.8,29.54
8.88,6.6,5.7,27.47
9.07,6.6,5.8,20.16
9.13,7,6.1,11.77
9.19,6.6,5.9,15.1
9.26,6.8,5.4,24.79
9.36,6.8,5.4,24.79
9.52,6.8,5.4,24.79
9.52,7.1,5.4,6.25
9.66,7.2,5.4,4.35
9.73,7.2,5.4,4.67
9.79,7.3,5.5,-1.43
9.85,7.4,5.5,-3.79
9.92,7.4,5.4,-3.9
9.98,7.3,5.5,-4.93
10.04,7.4,5.4,-5.08
10.1,7.4,5.4,-2.8
10.17,7.5,5.4,-3.87
10.28,7.7,5.3,-13.31
10.51,7.7,5,-17.8
10.57,7.7,5.4,-22.06
10.64,7.8,5.4,-22.97
10.7,7.8,5.4,-25.09
10.77,7.6,6.2,-35.12
10.83,7.9,5.4,-27.15
10.89,8,5.4,-28.2
10.95,8.4,5.4,-29.57
11.02,8.7,5.6,-35.1
11.08,8.8,5.5,-43.11
11.22,8.3,5.3,-31.81
11.28,8.4,5.3,-30.94
11.35,8.9,5.3,-34.12
11.41,8.5,5.3,-35.1
11.47,8.6,5.3,-35.65
11.53,8.6,5.3,-36.49
11.6,8.6,5.3,-36.92
11.66,8.7,5.3,-36.19
11.72,8.7,5.1,-35.79
11.78,8.8,5,-35.66
11.85,9.1,5.1,-31.34
11.91,9.3,5,-29.08
11.97,9.1,5,-32.98
12.04,9.1,4.9,-39.27
12.1,9.3,4.8,-37.98
12.16,9.6,4.7,-37.73
12.23,9.6,4.7,-37.73
12.38,9.6,4.7,-37.73
12.38,9.6,4.7,-37.73
12.62,10,5,-44.26
12.69,10.2,5,-45.04
12.74,10.3,5,-44.35
12.81,10.4,5,-45.61
12.87,10.5,5,-43.79
12.93,10.6,4.9,-46.71
12.99,10.7,5,-42.55
13.06,10.9,4.9,-44.21
13.25,11.4,4.6,-43.47
13.31,11.7,4.5,-44.07
13.38,11.8,4.6,-44.53
13.44,12,4.5,-45.59
13.5,12.1,4.5,-31.85
13.56,12.1,4.4,-40.16
13.63,12.2,4.5,-33.8
13.69,12.3,4.5,-43.83
13.75,12.3,4.7,-48.67
13.82,12.6,4.5,-44.18
13.88,12.8,4.6,-45.24
13.94,13,4.6,-46.6
14.01,13.3,4.5,-47.42
14.07,13.5,4.5,-47.55
14.13,13.7,4.5,-48.08
14.19,13.8,4.6,-45.38
14.26,14,4.4,-46.12
14.32,14.2,4.5,-44.79
14.4,14.7,4.5,90.03
14.51,14.5,4.4,-48.37
14.57,14.6,4.3,-47.21
14.63,14.8,4.2,-46.14
14.7,14.9,4.1,-47.7
14.76,15.1,4,-47.75
14.82,15.4,4,-46.9
14.88,15.7,3.8,-48.26
14.95,15.7,4,-54.48
15.01,15.9,4,-50.53
15.07,16.1,4,-51.06
15.14,16.3,4,-53.06
15.2,16.5,4.1,-53.39
15.26,16.8,4.2,-54.25
15.33,16.9,4.2,-59.86
15.39,17.1,4.3,-62.26
15.46,17.2,4.3,-60.64
15.52,17.5,4.4,-63.08
15.58,17.7,4.3,-55.76
15.65,17.8,4.2,-59.7
15.71,18.1,4.3,-54.87
15.77,18.3,4.2,-57.02
15.83,18.6,4.1,-56.07
15.9,19,4,-52.85
15.96,19.1,4.1,-53.88
16.02,19.2,4.3,-55.33
16.08,19.4,4.3,-51.43
16.14,19.6,4.4,-55.09
16.21,19.8,4.5,-53.2
16.33,20.2,4.7,-56.44
16.4,20.6,4.7,-53.6
16.46,20.8,4.8,-50.63
16.52,20.9,4.7,-51.56
16.59,21.2,4.6,-50.67
16.65,21.5,4.5,-49.45
16.71,21.8,4.4,-48.71
16.78,22.1,4.4,-47.04
16.84,22.2,4.3,-38.53
16.9,23.2,4.9,-50.04
16.96,22.6,4.5,-48.37
17.03,22.8,4.6,-47.07
17.09,23.2,4.8,-44.03
17.16,23.5,4.8,-44.9
17.22,23.8,4.8,-38.63
17.28,24.1,4.9,-46.65
17.34,24.4,4.8,-46.85
17.41,24.6,4.9,-45.84
17.47,24.8,4.9,-45.59
17.53,25,4.7,-41.99
17.6,25.2,4.5,-45.12
17.66,25.4,4.4,-41.91
17.72,25.6,4.3,-48.48
17.78,26.8,5.1,-27.75
17.85,26,4.4,-42.01
17.91,26.2,4.5,-43.11
17.97,26.3,4.5,-45.03
18.03,26.5,4.5,-45.13
18.09,26.9,4.6,-47.98
18.16,27.2,4.7,-47
18.22,27.5,4.8,-47.32
18.28,27.8,4.8,-48.73
18.35,28,4.7,-40.77
18.41,28.1,4.7,-45.16
18.47,28.6,4.8,-47.12
18.53,28.5,4.4,-46.35
18.6,28.7,4.4,-45.41
18.66,28.9,4.3,-46.88
18.72,29.2,4.4,-45.87
18.79,29.4,4.4,-45.51
18.85,29.5,4.4,-47.48
18.91,29.7,4.5,-46.65
18.97,29.9,4.6,-47.57
19.04,30.1,4.6,-47.67
19.1,30.4,4.7,-46.58
19.16,30.6,4.8,-52.93
19.29,31.6,5,-51.64
19.35,31.3,4.6,-48.97
19.41,31.5,4.5,-47.49
19.48,31.7,4.4,-43.82
19.54,32,4.3,-34.74
19.6,32.3,4.2,-48.7
19.66,32.6,4.3,-45.43
19.72,32.8,4.3,-44.53
19.78,32.9,4.5,-47.08
19.85,33.2,4.5,-47.89
19.91,33.7,4.6,-44.2
