# time (s), x(cm), y(cm), Turning Angle
1.38,10,10.2,65.99
1.44,10,10.4,68.42
1.51,10,10.3,68.94
1.57,10,10.4,70.2
1.63,10.3,10.4,65.93
1.7,10,10.2,65.53
1.76,10,10.2,65.23
1.82,10,10.2,64.97
1.89,10,10.2,65.35
1.95,10,10.2,65.79
2.01,9.9,10.3,66.71
2.07,10,10.2,64.66
2.14,10,10.2,64.38
2.2,10,10.2,64.42
2.28,10,10.2,64.42
2.44,9.2,10.8,1.82
2.5,9.2,10.8,1.31
2.57,9.2,10.8,1.51
2.63,9.6,10.6,42.69
2.75,9.2,10.8,5.07
2.82,9.2,10.8,5.33
2.88,9.2,10.8,5.33
3.14,9.2,10.8,5.33
3.14,9.1,10.8,8.22
3.26,9.1,10.8,8.66
3.34,9.1,10.8,9.62
3.68,9.8,10.2,54.53
3.75,9.8,10.2,54.08
3.81,9.8,10.1,54.33
3.87,9.8,10.1,53.12
3.94,9.8,10.1,52.89
4.06,9.7,10.1,50.12
4.12,9.7,10.1,49.39
4.18,9.7,10.1,49.08
4.25,9.7,10.1,48.65
4.31,9.6,10.3,41.2
4.37,9.6,10.3,44.13
4.43,9.5,10.4,41.43
4.51,9.6,10.3,44.14
4.57,8.8,10.4,21.22
4.64,10,10.2,45.58
4.7,9.5,10.3,43.45
4.82,9.8,10,44.52
4.96,9.5,10,43.28
5.03,9.4,10.1,5.12
5.03,9.1,10,39.03
5.17,9.1,10,39.03
5.29,9.4,10,37.9
5.35,9.5,9.9,40.05
5.42,9.4,9.8,41.1
5.48,9.4,9.9,40.48
5.6,9.3,9.9,41.94
5.67,9.3,9.8,42.75
5.73,9.4,9.9,34.73
5.79,9.4,9.9,34.97
5.86,9.4,9.8,35.02
5.92,9.3,9.8,40.86
5.98,9.3,9.8,37.47
6.04,8.9,9.7,35.7
6.11,9.4,9.7,41.08
6.17,9.4,9.6,41.56
6.23,9.3,9.7,40.53
6.29,9.4,9.6,38.93
6.36,9.4,9.6,39.37
6.42,9.3,9.6,42.53
6.48,9.3,9.5,40.27
6.56,9.3,9.5,40.27
6.56,9.4,9.5,41.36
6.73,9.3,9.7,38.15
6.86,9.5,9.3,42.29
6.92,9.4,9.4,42.44
6.99,9.3,9.5,45.83
7.05,8.5,9.5,31.97
7.11,8.4,9.6,26.99
7.18,9.9,9.4,45.38
7.24,8.7,9.5,20.31
7.3,8.7,9.5,20.97
7.36,9.5,9.3,41.97
7.43,9.7,9.2,47.8
7.49,10.2,8.8,5.31
7.59,9.4,9.1,49.64
7.66,9.4,8.9,52.11
7.73,9.4,9,52.62
7.79,9.4,9,51.88
7.85,9.4,9,52.75
7.91,9.4,9,53.74
7.98,9.4,8.8,55.15
8.04,9.4,8.8,56.96
8.1,9.4,8.7,57.99
8.17,9.4,8.7,58.89
8.23,8.7,9.2,12.46
8.29,8.7,9.2,10.44
8.37,8.7,9.2,10.44
8.37,9.1,8.6,54.9
8.66,9.2,8.5,58.85
8.72,8.6,9,2.47
8.78,8.6,9.1,-0.6
8.85,8.6,9.1,-0.6
9.11,8.5,8.9,6.95
9.21,8.5,8.9,8.02
9.27,8.6,9,-0.47
9.33,8.9,8.6,41.76
9.39,9.2,8.3,67.46
9.46,9.3,8.2,66.42
9.52,9.2,8.2,66.49
9.58,9.2,8.1,64.98
9.64,9.3,7.9,62.47
9.71,8.5,8.8,2.4
9.77,8.5,8.9,-6.72
9.83,8.9,8.4,51.5
9.89,8.5,8.8,-3.67
9.95,9.2,8.4,48.24
10.02,8.5,8.8,-6.91
10.08,8.5,8.7,-4.87
10.14,8.4,8.7,-4.71
10.2,8.4,8.7,-4.71
10.5,8.2,8.4,20.97
10.56,8.6,8.5,-7.57
10.62,8.5,8.6,-8.88
10.69,8.5,8.5,-6.49
10.81,8.5,8.5,-6.49
10.81,9.4,7.8,76.97
11,9.2,7.7,76.63
11.06,8.5,8.4,-5.49
11.12,8.5,8.3,-8.79
11.19,8.5,8.3,-9.22
11.25,8.5,8.3,-9.69
11.31,8.5,8.3,-10.09
11.37,8.5,8.3,-10.87
11.44,8.5,8.3,-10.48
11.5,8.3,7.9,34.01
11.56,8.4,8.4,-11.63
11.62,8.5,8.2,-8.53
11.69,8.5,8.2,-6.79
11.76,8.5,8.2,-9.26
11.83,8.3,8.3,-4.31
11.89,8.4,8.1,-7.92
11.95,8.4,8.1,-7.92
12.09,9.2,7.5,78.5
12.18,9.2,7.6,78.71
12.25,9.1,7.5,78.73
12.34,8.3,8.1,-2.04
12.55,9.2,7.5,78.5
12.61,8.9,7.3,78.32
12.67,7.6,6.5,78.08
12.73,8.2,8.3,-11.81
12.8,8.4,8.1,-11.07
12.86,8.4,8.1,-7.9
12.94,8.4,8.1,-6.94
13,8.4,8.1,-10.78
13.06,8.4,8.2,-9.06
13.12,8.4,8.2,-8.49
13.18,8.4,8.1,-9.49
13.25,8.4,8.1,-9.7
13.31,8.4,8.2,-9.87
13.37,8.4,8.2,-9.87
13.51,8.4,8.2,-14.77
13.59,8.4,8.2,-14.77
13.71,8.4,8.3,-17.56
13.79,8.4,8.2,-10.36
13.89,8.4,8,-8.67
13.95,8.4,8,-8.67
13.95,8.9,7.4,79.25
14.12,8.9,7.3,79.18
14.19,8.9,7.3,79.54
14.25,8.9,7.3,79.23
14.31,8.8,7.3,79.23
14.37,8.8,7.3,79.12
14.43,8.8,7.3,79.17
14.5,8.8,7.3,79.17
14.56,8.8,7.3,79.06
14.62,8.8,7.3,79.21
14.68,8.8,7.3,79.17
14.75,8.8,7.3,79.1
14.81,8.8,7.3,79.23
14.87,8.8,7.3,79.19
14.93,8.8,7.3,79.07
15,8.8,7.3,79.11
15.06,8.8,7.3,79.17
15.12,8.8,7.3,79.11
15.19,8.8,7.3,79.23
15.25,8.8,7.3,78.99
15.31,8.8,7.3,79.15
15.37,8.8,7.3,79.17
15.44,8.8,7.3,79.11
15.5,8.8,7.3,79.09
15.56,8.8,7.3,79.06
15.62,8.8,7.3,79.18
15.69,8.8,7.3,79.11
15.75,8.8,7.3,78.93
15.81,8.8,7.3,79.08
15.94,8.8,7.3,79.08
16,8.8,7.3,79.12
16.07,8.8,7.3,78.96
16.13,8.8,7.3,79.15
16.19,8.8,7.3,79.12
16.25,8.8,7.3,79
16.32,8.8,7.3,79.12
16.38,8.8,7.3,78.98
16.44,8.8,7.3,79.14
16.51,8.8,7.3,79.12
16.57,8.8,7.3,79.19
16.63,8.8,7.3,79.1
16.69,8.8,7.3,79.15
16.76,8.8,7.3,79.09
16.82,8.8,7.3,79.22
16.88,8.8,7.3,79.08
16.95,8.8,7.3,78.95
17.01,8.8,7.3,78.91
17.07,8.8,7.3,79.09
17.14,8.8,7.3,79
17.2,8.8,7.3,79.09
17.26,8.8,7.3,79.1
17.32,8.8,7.3,79.07
17.39,8.8,7.3,79.13
17.45,8.8,7.3,79.01
17.51,8.8,7.3,79.08
17.58,8.8,7.3,79.09
17.64,8.8,7.3,79.02
17.71,8.8,7.3,78.94
17.77,8.8,7.3,78.91
17.83,8.8,7.3,79.08
17.89,8.8,7.3,78.87
17.96,8.8,7.3,78.91
18.02,8.8,7.3,79.09
18.08,8.8,7.3,78.99
18.14,8.8,7.3,79.13
18.21,8.8,7.3,79.05
18.27,8.8,7.3,79.02
18.33,8.8,7.3,79.22
18.4,8.8,7.3,79.18
18.46,8.8,7.3,78.98
18.52,8.8,7.3,79.09
18.58,8.8,7.3,78.93
18.65,8.8,7.3,79.08
18.71,8.8,7.3,79.03
18.77,8.8,7.3,79.04
18.84,8.8,7.3,79.04
18.9,8.8,7.3,79.04
18.96,8.8,7.3,78.99
19.03,8.8,7.3,79.11
19.09,8.8,7.3,79.01
19.15,8.8,7.3,79.05
19.22,8.8,7.3,79.04
19.28,8.8,7.3,79.06
19.34,8.8,7.3,79.03
19.41,8.8,7.3,79.03
19.47,8.8,7.3,78.96
19.53,8.8,7.3,78.99
19.59,8.8,7.3,78.95
19.66,8.8,7.3,79.02
19.72,8.8,7.3,79.17
19.78,8.8,7.3,78.93
19.84,8.8,7.3,79.05
19.91,8.8,7.3,78.94
19.97,8.8,7.3,79.07
20.03,8.8,7.3,78.96
20.09,8.8,7.3,78.99
20.16,8.8,7.3,78.96
20.22,8.8,7.3,78.99
20.28,8.8,7.3,79.1
20.34,8.8,7.3,79
20.41,8.8,7.3,79.07
20.47,8.8,7.3,78.99
20.53,8.8,7.3,79.06
20.59,8.8,7.3,78.99
20.66,8.8,7.3,78.99
20.72,8.8,7.3,78.97
20.78,8.8,7.3,78.99
20.85,8.8,7.3,79.02
20.91,8.8,7.3,78.97
20.97,8.8,7.3,79.02
21.03,8.8,7.3,79.05
21.09,8.8,7.3,79.05
21.16,8.8,7.3,79.16
21.22,8.8,7.3,78.99
