# time (s), x(cm), y(cm), Turning Angle
0,7.6,7.6,-121.38
0.06,7.5,7.5,-119.93
0.12,7.2,7.5,-120.24
0.18,7,7.4,-120.24
0.24,6.8,7.4,-120.41
0.31,6.7,7.3,-120.91
0.37,6.5,7.2,-120.41
0.43,6.4,7,-119.43
0.49,6.2,7,-119.02
0.56,5.9,6.9,-118.8
0.62,5.7,6.8,-117.1
0.68,5.5,6.7,-115.37
0.74,5.3,6.7,-113.68
0.81,5.2,6.6,-112.38
0.87,5.1,6.6,-111.21
0.93,5.1,6.6,-110.14
0.99,5,6.6,-109.2
1.06,4.9,6.6,-109.04
1.12,4.8,6.5,-108.44
1.2,4.6,6.5,-108.88
1.26,4.5,6.5,-109.12
1.32,4.5,6.4,-109.71
1.39,4.4,6.4,-110.58
1.45,4.4,6.3,-110.89
1.51,4.4,6.3,-110.52
1.58,4.3,6.3,-111.81
1.64,4.3,6.2,-113.02
1.7,4.2,6.1,-114.91
1.76,4.1,6,-117.04
1.83,4.2,6,-118.84
1.89,4.2,5.9,-119.53
1.95,4.2,5.9,-120.22
2.02,4.2,5.8,-121.86
2.08,4.2,5.7,-123.42
2.14,4.2,5.6,-123.81
2.21,4.2,5.6,-125.05
2.27,4.2,5.5,-126.4
2.33,4.1,5.4,-127.07
2.39,4.1,5.4,-128.02
2.46,4,5.3,-128.59
2.52,4,5.1,-130.07
2.58,4,5,-131.33
2.65,3.9,4.9,-132.78
2.71,3.9,4.8,-133.75
2.77,3.9,4.7,-135.02
2.84,3.9,4.6,-135.87
2.9,3.8,4.6,-136.7
2.96,3.8,4.5,-137.71
3.03,3.7,4.5,-138.31
3.09,3.7,4.4,-138.76
3.15,3.7,4.4,-138.77
3.21,3.7,4.4,-138.81
3.28,3.7,4.4,-139.07
3.34,3.6,4.4,-138.45
3.4,3.6,4.4,-138.86
3.46,3.6,4.3,-139.45
3.52,3.6,4.3,-140.05
3.59,3.6,4.3,-140.93
3.65,3.6,4.3,-141.81
3.71,3.5,4.2,-143.01
3.77,3.5,4.2,-143.51
3.84,3.5,4.2,-144.04
3.9,3.5,4.2,-144.42
3.96,3.5,4.1,-145.57
4.03,3.4,4.1,-146.29
4.09,3.4,4.1,-146.49
4.15,3.4,4.1,-146.9
4.22,3.4,4.1,-146.77
4.28,3.4,4.1,-146.96
4.34,3.4,4.1,-147.51
4.41,3.4,4.1,-147.46
4.47,3.4,4.1,-147.24
4.53,3.4,4.1,-147.77
4.6,3.4,4.1,-147.52
4.66,3.4,4.1,-147.48
4.72,3.4,4.1,-147.86
4.79,3.4,4.1,-147.78
4.85,3.4,4.1,-147.32
4.91,3.4,4.1,-147.65
4.98,3.4,4.1,-147.94
5.04,3.4,4.1,-147.99
5.1,3.4,4.1,-147.64
5.17,3.4,4.1,-148.03
5.23,3.4,4.1,-147.87
5.29,3.4,4.1,-147.78
5.35,3.4,4.1,-147.99
5.42,3.4,4.1,-147.98
5.48,3.4,4.1,-147.6
5.54,3.4,4.1,-147.61
5.61,3.4,4.1,-147.86
5.67,3.4,4.1,-147.89
5.73,3.4,4.1,-147.85
5.79,3.4,4.1,-149.65
5.86,3.4,4.1,-147.77
5.92,3.4,4.1,-147.79
5.98,3.4,4.1,-147.91
6.05,3.4,4.1,-147.86
6.11,3.4,4.1,-147.81
6.17,3.4,4.1,-147.67
6.24,3.4,4.1,-147.9
6.3,3.4,4.1,-147.86
6.36,3.4,4.1,-147.67
6.42,3.4,4.1,-147.61
6.48,3.4,4.1,-148.48
6.54,3.4,4.1,-147.84
6.61,3.4,4.1,-147.66
6.67,3.4,4.1,-147.66
6.73,3.4,4.1,-147.66
6.79,3.4,4.1,-147.58
6.86,3.4,4.1,-147.47
6.92,3.4,4.1,-147.76
6.98,3.4,4.1,-147.6
7.04,3.4,4.1,-147.6
7.1,3.4,4.1,-147.73
7.17,3.4,4.1,-147.5
7.23,3.4,4.1,-147.6
7.29,3.4,4.1,-147.44
7.35,3.4,4.1,-147.78
7.42,3.4,4.1,-147.55
7.48,3.4,4.1,-147.45
7.54,3.4,4.1,-147.46
7.6,3.4,4.1,-147.7
7.67,3.4,4.1,-148.68
7.73,3.4,4.1,-147.43
7.79,3.4,4.1,-147.46
7.86,3.4,4.1,-147.53
7.92,3.4,4.1,-148.53
7.98,3.4,4.1,-147.32
8.04,3.4,4.1,-147.44
8.1,3.4,4.1,-147.42
8.17,3.4,4,-147.71
8.23,3.4,4.1,-147.33
8.29,3.4,4.1,-147.37
8.35,3.4,4.1,-147.4
8.42,3.4,4.1,-147.37
8.48,3.4,4.1,-147.34
8.54,3.4,4.1,-147.41
8.6,3.4,4.1,-147.37
8.67,3.4,4.1,-147.34
8.73,3.4,4.1,-147.37
8.79,3.4,4.1,-147.37
8.85,3.4,4.1,-147.39
8.92,3.4,4.1,-147.35
8.98,3.4,4.1,-147.32
9.05,3.4,4.1,-147.35
9.11,3.4,4.1,-147.24
9.17,3.4,4.1,-147.31
9.23,3.4,4.1,-147.28
9.36,3.4,4.1,-147.41
9.42,3.4,4.1,-147.39
