# time (s), x(cm), y(cm), Turning Angle
0.51,7.9,9.2,-147.31
0.72,7.8,9.2,-145.1
0.78,7.6,9.1,-144.3
0.84,7.5,9.2,-143.1
0.9,7.3,9.1,-140.06
0.97,7.1,9.1,-138.11
1.03,7,9.1,-136.87
1.09,6.9,9,-135.79
1.15,6.8,9,-134.75
1.22,6.7,8.9,-133
1.28,6.5,8.9,-130.79
1.34,6.4,9,-127.93
1.41,6.4,9,-125.49
1.47,6.3,9,-123.3
1.53,6.2,9,-121.97
1.59,6.1,9,-120.08
1.66,5.7,8.6,-111.49
1.72,6,9,-119.32
1.78,6,9,-118.99
1.84,6,8.9,-119.22
1.91,6,8.9,-118.75
1.97,6,8.9,-118.67
2.03,6,8.9,-118.15
2.09,6,8.9,-117.68
2.16,6,8.9,-117.1
2.22,6,8.9,-115.76
2.28,5.9,8.9,-114.58
2.34,5.9,8.9,-113.42
2.4,5.9,9,-112.21
2.47,5.9,9,-111.65
2.53,5.8,8.9,-110.63
2.59,5.8,8.9,-109.62
2.66,5.7,8.9,-108.23
2.72,5.6,8.9,-106.16
2.78,5.6,8.9,-105.26
2.85,5.6,9,-102.37
2.91,5.6,9,-99
2.97,5.5,9.1,-95.77
3.04,5.5,9.2,-92.31
3.1,5.5,9.3,-89.3
3.16,5.4,9.3,-86.65
3.23,5.4,9.3,-84.99
3.29,5.4,9.4,-82.7
3.35,5.4,9.4,-80.53
3.41,5.3,9.5,-77.94
3.48,5.3,9.6,-76.14
3.54,5.2,9.7,-74.92
3.6,5.1,9.7,-72.72
3.67,5,9.8,-71.16
3.73,4.9,9.8,-68.05
3.79,4.8,9.9,-66.16
3.85,4.7,10,-63.55
3.92,4.8,10,-60.31
3.98,4.8,10.1,-57.34
4.05,4.8,10.2,-54.61
4.11,4.8,10.3,-52.1
4.17,4.8,10.4,-50.08
4.23,4.8,10.5,-47.97
4.3,4.8,10.5,-45.31
4.36,4.8,10.6,-46.23
4.42,4.7,10.7,-44.86
