# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,5.57,3.45,101.57,16.40,3.90,4.30
0.06,5.70,3.38,101.54,16.30,3.70,4.00
0.13,5.51,3.28,101.55,16.50,4.00,3.70
0.25,5.63,3.38,101.59,16.60,3.90,4.30
0.32,5.61,3.36,101.50,16.10,4.10,4.50
0.38,5.68,3.28,101.47,15.80,4.10,4.00
0.45,5.57,3.40,101.62,15.80,4.00,4.00
0.57,5.63,3.28,101.50,16.80,3.70,4.20
0.64,5.68,3.28,101.53,16.20,3.60,4.20
0.70,5.65,3.28,101.51,16.00,3.70,4.50
0.76,5.68,3.31,101.52,16.50,4.00,4.40
0.89,5.65,3.34,101.54,16.20,3.80,4.40
0.95,5.60,3.33,101.57,16.00,4.00,3.80
1.02,5.57,3.29,101.50,15.70,3.70,4.00
1.08,5.58,3.34,101.62,16.10,3.50,3.90
1.21,5.73,3.28,101.49,16.10,3.90,3.60
1.27,5.62,3.27,101.54,16.00,3.70,4.00
1.33,5.62,3.12,101.57,16.10,3.60,3.70
1.40,5.80,3.28,101.56,16.50,3.90,3.80
1.52,5.59,3.38,101.59,16.30,3.50,4.10
1.59,3.36,3.64,101.73,16.00,3.70,4.10
1.65,9.11,4.27,101.37,15.50,3.50,4.20
1.71,3.04,2.21,102.50,16.40,3.60,4.00
1.84,-0.18,2.06,97.50,15.90,4.00,4.40
1.90,6.46,4.81,102.89,15.30,3.60,4.50
1.97,9.64,5.76,101.90,15.30,3.50,5.00
2.03,2.87,3.17,101.23,15.60,4.10,4.80
2.16,11.52,3.03,102.11,15.20,3.50,4.40
2.22,8.17,2.73,103.62,15.00,3.30,4.70
2.28,-0.69,3.21,100.12,14.90,3.10,4.40
2.35,6.59,2.45,101.84,14.40,3.50,4.20
2.48,11.83,3.43,100.75,14.40,4.10,4.10
2.54,6.06,3.55,101.57,14.00,3.90,4.30
2.60,0.13,5.68,100.96,14.10,3.80,4.50
2.67,7.58,4.01,103.58,14.00,5.10,4.40
2.79,8.84,0.12,100.96,14.10,5.80,4.20
2.86,5.35,6.15,101.09,14.00,5.90,4.60
2.92,4.73,-0.04,100.64,14.40,5.40,4.40
2.99,4.17,0.17,101.24,13.90,5.10,4.50
3.11,3.72,2.53,101.27,14.40,5.90,4.90
3.18,7.81,-2.26,102.48,13.70,6.30,5.10
3.24,5.51,-0.97,101.73,13.90,6.10,4.90
3.30,2.59,-0.21,102.01,14.00,5.80,4.80
3.43,4.05,0.11,101.76,13.60,5.50,5.10
3.49,3.47,-0.94,102.15,13.90,5.70,4.60
3.56,3.88,4.16,103.00,14.10,5.20,4.70
3.62,4.28,-1.03,101.38,13.40,5.00,5.30
3.75,5.87,-1.71,102.58,13.60,4.80,5.20
3.81,0.83,-0.20,101.10,13.20,4.50,6.00
3.87,10.47,-3.02,100.85,13.30,4.20,5.70
3.94,0.32,-0.34,105.29,13.00,4.20,5.80
4.07,4.99,4.53,100.63,12.50,4.40,6.00
4.13,7.30,2.10,102.51,13.10,4.50,6.50
4.19,3.39,2.15,101.92,13.10,4.60,6.20
4.26,3.66,4.70,101.68,12.90,4.40,6.80
4.39,0.93,2.23,103.79,12.70,4.20,6.70
4.45,-3.11,2.29,107.51,12.70,4.10,6.90
4.51,7.75,1.01,98.37,11.70,4.40,7.30
4.58,4.88,2.87,100.45,12.10,4.00,8.10
4.71,4.79,5.13,102.81,12.10,3.20,7.90
4.77,2.96,7.57,100.84,11.10,3.50,7.80
4.83,3.88,13.79,103.31,10.80,3.90,8.20
4.96,7.73,12.37,100.76,10.40,5.30,8.40
5.02,3.99,12.37,100.76,10.10,5.30,8.30
5.09,-3.15,10.04,101.07,10.30,5.10,9.20
5.22,4.17,14.72,100.24,10.50,4.90,9.50
5.28,8.26,7.06,103.49,10.70,5.60,9.90
5.34,4.55,10.69,101.50,10.40,5.70,10.10
5.41,3.31,7.59,101.76,9.70,5.50,9.90
5.54,4.59,16.78,99.26,10.00,5.70,11.00
5.60,12.19,7.34,102.08,9.40,6.30,11.10
5.66,4.80,1.87,101.68,9.20,6.80,10.70
5.73,6.91,6.04,101.50,9.50,6.20,10.50
5.85,6.70,7.87,100.36,9.20,6.30,10.60
5.92,3.91,8.06,100.81,9.00,5.90,10.70
5.98,5.36,6.79,101.33,9.70,6.60,11.00
6.04,5.63,6.94,101.21,9.30,6.80,11.50
6.17,5.58,6.95,100.96,9.30,6.40,11.00
6.23,5.26,7.08,101.31,8.70,6.20,10.90
6.30,4.85,7.81,101.18,9.10,5.80,11.20
6.36,5.75,6.66,101.04,9.40,6.60,11.00
6.49,4.47,7.15,101.53,9.30,5.90,11.20
6.55,-1.92,-8.36,102.53,10.20,5.50,11.10
6.62,7.90,2.34,101.20,11.00,4.70,10.60
6.68,5.83,2.85,104.66,12.60,4.80,10.30
6.81,12.84,6.60,99.31,13.60,4.80,9.10
6.87,5.40,-9.16,95.37,14.80,4.40,8.70
6.94,12.11,7.20,98.88,20.40,4.40,7.80
7.00,9.59,-7.99,105.41,20.70,4.00,7.40
7.13,11.94,-11.97,98.25,25.60,4.60,7.80
7.19,10.34,-2.70,101.75,33.10,3.20,7.60
7.26,23.82,2.63,99.16,37.50,3.10,8.00
7.32,9.06,-7.38,101.56,37.30,3.60,7.60
7.45,9.93,-6.60,102.17,35.40,3.70,7.90
7.51,10.58,-2.05,100.36,36.40,3.40,7.80
7.57,7.48,-4.92,101.94,36.50,3.40,7.70
7.64,4.24,-5.05,101.71,34.50,3.40,7.70
7.76,6.04,-1.88,102.34,31.40,3.70,7.20
7.83,15.32,-7.32,99.93,29.60,3.50,7.60
7.89,9.05,-10.08,101.14,30.50,4.00,7.40
7.96,9.20,-7.51,101.57,30.40,3.90,7.40
8.08,8.92,-7.26,102.12,31.00,3.60,8.00
8.15,9.72,-7.75,101.39,30.80,3.60,7.60
8.21,13.62,-9.06,101.75,29.90,3.70,7.90
8.27,11.51,-9.19,101.80,27.10,3.60,8.40
8.40,12.40,-21.45,100.73,24.30,3.70,8.10
8.47,0.40,-20.29,97.80,23.10,3.00,7.70
8.53,2.45,-23.67,98.80,21.80,3.20,8.50
8.59,7.96,-6.41,105.02,18.90,3.50,8.50
8.72,12.67,-27.45,101.53,25.10,3.60,7.70
8.79,10.87,-17.21,102.51,23.70,3.90,8.00
8.85,4.32,-21.03,95.79,21.60,3.70,8.40
8.91,10.56,-12.44,101.75,18.50,3.50,8.50
9.04,9.52,-13.68,101.27,17.80,3.20,8.60
9.10,9.13,-10.47,100.12,17.40,3.50,8.40
9.17,7.53,-13.02,101.26,18.10,3.80,8.70
9.29,7.00,-12.59,101.62,18.00,3.40,8.50
9.36,4.79,-9.91,103.15,17.10,3.60,8.80
9.42,5.29,-7.21,101.59,20.60,3.20,8.00
9.49,11.91,-15.60,101.87,25.20,4.00,8.40
9.61,6.67,-12.52,104.71,25.10,3.60,8.20
9.68,10.68,-9.34,102.62,22.50,4.00,8.30
9.74,12.08,-3.07,100.41,18.60,3.20,8.40
9.81,6.76,-7.64,101.60,17.40,3.10,8.60
9.93,8.40,-5.80,101.35,17.30,3.10,8.60
9.99,10.16,-11.54,101.97,17.50,3.30,8.50
10.06,9.61,-10.32,101.81,17.50,3.10,9.00
10.12,8.33,-13.40,99.76,18.10,3.10,8.70
10.25,10.56,-14.52,101.72,18.40,3.30,8.50
10.31,11.10,-10.81,101.51,19.10,3.40,8.40
10.38,6.63,-13.35,101.47,18.60,3.10,8.70
10.44,7.79,-12.23,99.79,18.80,2.90,8.40
10.57,10.87,-14.37,102.25,19.60,3.30,8.60
10.63,7.98,-13.53,102.48,20.50,3.50,8.20
10.69,7.26,-14.52,101.64,21.20,3.00,8.00
10.76,8.53,-15.01,103.34,21.70,3.40,8.10
10.89,9.67,-15.66,98.03,20.80,3.30,8.10
10.95,8.54,-15.61,101.74,21.10,3.40,7.10
11.01,6.25,-17.06,102.22,23.60,3.40,7.90
11.08,8.96,-17.94,101.04,24.10,3.50,7.30
11.21,2.27,-15.72,100.18,22.90,3.40,8.00
11.27,9.64,-17.29,101.67,22.80,3.60,8.20
11.33,9.27,-18.43,101.03,22.00,3.40,8.20
11.46,6.52,-9.55,101.12,22.00,2.90,8.00
11.53,7.76,-10.52,101.75,22.40,3.40,7.80
11.59,7.71,-12.15,103.50,21.00,3.20,8.50
11.65,4.71,-11.31,101.26,18.50,3.40,8.10
11.78,-0.18,-11.57,100.36,18.70,3.20,8.10
