# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-3.34,109.96,26.16,120.00,2.80,120.00
0.07,-32.62,76.70,-1.19,120.00,3.30,120.00
0.13,-38.76,77.26,-52.14,120.00,2.50,120.00
0.26,-34.93,82.57,-27.51,9.00,3.10,120.00
0.32,-35.86,79.02,-35.57,6.00,2.60,8.80
0.38,-40.48,66.93,-61.75,120.00,1.70,120.00
0.44,-47.91,60.35,-62.30,120.00,1.00,120.00
0.57,-43.18,67.54,-52.79,120.00,2.00,120.00
0.63,-40.03,72.49,-50.88,120.00,1.90,120.00
0.70,-44.12,74.60,-33.78,120.00,2.10,120.00
0.76,-46.14,78.55,-36.93,120.00,2.90,120.00
0.89,-40.69,83.28,-26.95,120.00,2.90,120.00
0.95,-39.12,81.81,-21.65,120.00,2.90,120.00
1.02,-41.96,85.23,-34.25,120.00,2.80,120.00
1.08,-42.36,79.43,-35.02,120.00,2.30,71.50
1.20,-41.42,81.36,-38.00,120.00,2.70,120.00
1.27,-35.14,87.98,-24.51,120.00,2.90,120.00
1.33,-42.33,78.58,-22.75,120.00,3.10,120.00
1.40,-40.70,84.57,-31.62,62.80,3.10,34.60
1.52,-39.20,83.30,-31.49,120.00,3.00,120.00
1.59,-35.98,81.47,-39.68,120.00,2.20,120.00
1.65,-34.97,80.90,-42.07,120.00,2.50,120.00
1.71,-33.92,79.60,-41.47,120.00,2.30,120.00
1.84,-37.05,74.38,-52.23,43.10,2.20,120.00
1.90,-39.02,78.52,-45.16,120.00,2.10,120.00
1.97,-39.39,78.88,-27.47,120.00,2.60,120.00
2.03,-43.80,79.34,-31.93,120.00,2.70,120.00
2.16,-38.60,77.78,-30.71,120.00,1.90,120.00
2.22,-37.08,74.55,-55.56,13.70,1.80,120.00
2.28,-35.38,75.64,-51.76,15.40,1.70,120.00
2.35,-34.52,75.68,-48.11,34.50,1.10,120.00
