# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.06,-4.34,93.78,5.74,40.40,3.40,21.10
0.12,-3.79,99.11,-1.94,35.90,2.90,120.00
0.18,-2.77,95.20,6.20,36.10,2.80,120.00
0.31,-1.33,95.26,2.91,32.80,2.30,120.00
0.38,-1.77,94.66,1.87,26.00,2.40,120.00
0.44,1.54,98.12,-1.26,24.00,2.10,120.00
0.50,-4.10,98.46,-0.02,31.90,1.10,120.00
0.63,-5.69,86.36,33.65,56.10,2.90,0.00
0.76,-7.62,71.41,56.12,60.40,2.10,120.00
0.82,-10.60,95.15,13.79,50.10,2.60,120.00
0.88,-7.90,99.58,0.99,44.40,2.90,120.00
1.01,-8.04,91.22,30.55,50.20,3.10,35.50
1.14,-10.15,76.67,50.01,49.60,2.70,120.00
1.20,-8.98,89.12,35.19,56.20,3.00,120.00
1.27,-10.32,98.48,8.37,54.10,1.90,120.00
1.33,-9.48,98.83,3.32,52.30,2.30,0.00
1.46,-10.50,92.43,18.60,52.10,2.80,120.00
1.52,-11.98,92.24,21.45,55.00,2.20,123.40
1.59,-12.34,93.85,17.58,54.20,2.70,120.00
1.65,-8.26,98.80,-4.58,44.40,1.60,120.00
1.78,-8.67,95.78,-18.82,44.70,1.70,120.00
1.84,-7.79,95.68,-1.69,47.90,1.90,120.00
1.90,-11.07,95.78,2.29,49.70,3.50,120.00
1.97,-6.83,96.08,10.41,35.60,2.90,120.00
2.09,-7.52,96.88,3.14,27.00,2.80,120.00
2.16,-2.69,98.54,-5.36,22.90,2.60,120.00
2.22,-4.22,95.19,-10.83,25.50,3.20,120.00
2.28,-9.24,95.54,-1.39,49.00,2.30,120.00
2.41,-9.96,94.68,7.10,52.70,3.30,120.00
2.47,-9.06,98.50,0.73,35.90,2.40,120.00
2.54,-7.12,97.13,-7.21,28.40,1.70,122.10
2.60,-6.01,96.73,-9.23,24.80,2.50,120.00
2.73,-4.37,96.23,-7.32,24.60,1.90,120.00
2.79,-6.00,96.31,-16.13,33.00,1.80,120.00
2.85,-10.13,95.18,-9.16,48.80,2.30,120.00
2.92,-9.38,94.70,-6.96,42.90,1.80,120.00
3.05,-7.04,95.50,-8.69,30.00,1.60,120.00
3.11,-5.79,96.83,-6.76,29.80,1.60,120.00
3.17,-6.43,96.37,-10.42,39.10,2.20,120.00
3.24,-12.74,94.62,-14.56,50.90,1.70,120.00
3.36,-9.78,96.53,-7.09,39.30,2.00,120.00
3.43,-9.84,94.83,-9.31,32.50,1.50,120.00
3.49,-12.71,94.09,-10.25,22.50,1.60,120.00
3.56,-11.54,94.82,-14.26,21.10,2.10,120.00
3.68,-10.71,95.20,-14.05,21.20,2.40,120.00
3.75,-15.26,92.41,-21.69,26.10,2.90,120.00
3.81,-15.51,86.55,-36.90,48.30,2.30,12.30
3.94,-23.50,84.98,-39.45,38.50,2.20,13.80
4.00,-20.16,90.66,-30.93,28.40,2.30,120.00
4.07,-16.28,93.07,-22.98,24.30,1.90,120.00
4.13,-17.85,92.17,-18.19,21.00,2.30,120.00
4.26,-17.67,93.68,-17.96,27.90,2.20,120.00
4.32,-19.02,92.94,-18.00,37.90,2.50,120.00
4.39,-19.10,93.52,-16.78,30.50,1.90,0.00
4.45,-17.83,88.21,-10.83,27.00,1.50,105.00
4.58,-17.11,90.55,-29.46,38.00,1.80,120.00
4.64,-19.85,89.17,-32.86,46.20,1.70,120.00
4.70,-20.13,90.95,-27.49,31.40,2.40,120.00
4.77,-19.29,92.82,-18.80,26.00,1.50,120.00
4.90,-18.76,92.37,-9.80,25.90,1.90,120.00
4.96,-20.10,95.14,-18.43,41.60,2.30,120.00
5.02,-21.91,92.68,-22.80,30.00,1.90,120.00
5.09,-21.08,91.71,-14.75,26.20,1.80,120.00
5.21,-20.57,92.43,-7.76,27.70,2.80,0.90
5.28,-19.95,90.72,-7.85,35.70,2.60,120.00
5.34,-20.55,95.34,-20.04,34.90,1.80,120.00
5.41,-20.73,96.82,-18.21,120.00,2.00,9.70
5.53,-20.31,93.30,-9.57,36.50,2.20,0.00
5.60,-19.24,93.70,-4.43,41.10,3.10,4.80
5.66,-20.22,94.00,-9.06,120.00,3.00,120.00
5.73,-20.24,93.59,-20.14,44.70,1.50,120.00
5.85,-21.77,95.36,-19.32,29.30,1.70,120.00
5.92,-21.41,92.63,-7.79,27.90,1.50,120.00
5.98,-20.10,93.52,-5.85,120.00,2.50,6.90
6.05,-21.39,93.77,-12.02,47.10,3.00,0.00
6.17,-22.22,93.80,-12.07,120.00,3.40,120.00
6.24,-19.20,90.12,-1.65,49.60,3.00,7.40
6.30,-20.20,94.53,-20.16,120.00,2.50,120.00
6.36,-21.39,90.70,-26.84,120.00,2.30,120.00
6.49,-23.22,92.69,-19.92,42.10,1.60,120.00
6.55,-20.29,90.25,-8.82,37.60,2.20,120.00
6.62,-21.60,94.17,-18.98,30.60,1.50,120.00
6.68,-22.85,90.98,-22.88,47.30,1.40,120.00
6.81,-22.96,91.91,-19.96,38.70,2.20,120.00
6.87,-21.78,95.03,-16.20,48.40,2.60,6.50
7.00,-20.75,92.54,-7.41,120.00,3.10,6.50
7.06,-19.82,96.53,-16.20,52.00,2.30,120.00
7.13,-19.98,93.49,-18.70,42.80,2.60,120.00
7.19,-21.07,96.03,-19.85,38.60,2.00,120.00
7.32,-21.64,94.61,-10.53,53.20,2.80,120.00
7.38,-20.45,93.43,-5.64,53.80,2.50,120.00
7.44,-21.59,89.45,4.39,49.30,2.40,120.00
7.51,-21.45,92.79,1.50,55.90,2.80,120.00
7.64,-21.96,94.53,-15.44,54.30,2.40,120.00
