# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-32.79,-98.99,23.65,5.20,120.00,2.60
0.06,-36.02,-81.15,44.56,9.30,11.30,3.00
0.13,-39.98,-77.31,47.81,12.00,9.80,2.20
0.25,-38.27,-88.46,38.16,10.10,10.10,2.20
0.32,-43.57,-92.80,22.31,8.50,11.50,2.20
0.38,-32.11,-94.87,29.00,5.00,120.00,3.20
0.45,-29.30,-85.00,44.81,10.70,15.20,2.60
0.57,-45.65,-75.65,48.12,13.80,9.00,2.30
0.64,-41.72,-82.49,48.90,16.30,9.00,3.00
0.70,-39.44,-81.25,50.24,11.00,8.20,2.10
0.76,-42.71,-86.51,43.55,10.60,8.30,2.80
0.89,-39.80,-79.82,46.46,16.80,8.40,1.90
0.96,-32.18,-94.78,35.66,7.70,13.00,3.00
1.02,-32.43,-97.86,20.22,5.40,120.00,2.80
1.08,-34.91,-96.48,19.12,6.40,120.00,3.20
1.21,-35.71,-94.53,23.77,6.50,23.30,2.70
1.28,-38.17,-92.26,29.32,10.80,9.60,2.40
1.34,-38.45,-75.09,49.26,13.70,9.40,2.40
1.40,-39.15,-85.93,43.77,12.90,120.00,2.40
1.53,-38.67,-90.08,38.02,10.20,12.20,2.40
1.60,-36.86,-88.20,36.35,9.40,10.40,2.50
1.66,-37.73,-90.31,32.96,9.10,11.00,2.30
1.72,-35.25,-87.97,35.19,9.70,8.50,2.40
1.85,-36.69,-95.39,29.23,10.30,9.00,2.20
1.91,-43.17,-87.36,29.12,14.30,9.10,2.30
1.98,-38.70,-90.03,33.51,12.80,9.10,2.40
2.04,-38.98,-89.16,34.96,10.70,17.40,2.40
2.17,-27.33,-92.65,46.53,8.30,35.40,2.80
2.23,-36.86,-90.68,34.77,7.10,28.60,2.70
2.29,-36.10,-92.03,32.86,6.70,120.00,2.60
2.36,-35.86,-91.46,34.95,6.80,120.00,2.60
2.49,-39.30,-92.02,34.47,8.00,120.00,2.80
2.55,-35.85,-86.45,40.95,9.10,120.00,2.60
2.61,-38.56,-87.10,38.56,9.10,120.00,2.40
2.68,-37.10,-88.85,38.69,8.20,120.00,2.70
2.81,-35.49,-90.41,37.79,7.80,120.00,2.20
2.87,-35.45,-90.61,34.99,7.60,120.00,2.60
2.93,-35.19,-90.48,39.70,7.90,120.00,2.20
3.00,-35.12,-93.66,27.61,6.80,120.00,2.40
3.13,-33.36,-86.57,45.28,8.20,120.00,2.30
3.19,-30.13,-86.82,45.74,8.70,120.00,2.70
3.25,-28.19,-95.54,37.25,6.60,120.00,1.10
3.32,-34.72,-96.03,26.79,6.20,120.00,2.30
3.44,-35.75,-94.27,31.12,6.80,120.00,2.30
3.51,-33.00,-92.94,34.26,6.80,120.00,2.70
3.57,-32.15,-77.76,51.14,9.60,120.00,2.30
3.63,-36.90,-84.91,49.77,8.60,120.00,2.40
3.76,-32.17,-91.84,41.11,7.10,120.00,3.30
3.82,-30.41,-90.89,42.85,6.50,120.00,1.80
3.89,-24.49,-92.22,41.28,6.00,120.00,3.00
3.95,-23.07,-93.95,38.09,5.90,120.00,2.50
4.08,-29.26,-95.59,34.79,6.10,120.00,2.40
4.14,-31.79,-96.48,32.70,6.10,120.00,1.80
4.21,-24.71,-90.33,38.92,7.40,120.00,2.60
4.27,-25.45,-87.72,47.13,7.10,120.00,2.70
4.40,-26.06,-93.34,41.44,6.40,120.00,3.00
4.46,-25.09,-93.38,39.70,6.00,120.00,3.00
4.52,-24.64,-94.45,39.49,5.70,18.10,3.10
4.59,-24.92,-91.48,42.00,6.50,0.00,2.40
4.72,-24.05,-91.05,42.10,5.80,120.00,3.10
4.78,-22.86,-91.63,42.84,5.70,120.00,2.90
4.84,-30.67,-92.82,37.61,6.40,120.00,3.20
4.91,-32.83,-93.43,33.68,6.60,120.00,2.10
