# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.06,-28.27,4.49,98.13,17.30,36.80,2.40
0.12,-29.76,6.33,97.71,18.00,36.80,2.10
0.18,-31.23,10.66,95.19,17.50,34.40,2.30
0.31,-29.47,7.64,97.49,16.20,35.70,2.40
0.38,-34.80,-10.63,91.75,14.70,36.10,2.40
0.44,-28.76,3.72,99.07,18.90,36.50,2.80
0.50,-31.10,0.01,96.78,18.00,120.00,3.80
0.63,-36.38,10.33,92.36,19.20,34.90,3.90
0.69,-32.76,3.59,97.38,120.00,39.60,2.90
0.76,-36.05,4.13,95.95,120.00,40.20,3.30
0.82,-39.11,15.12,94.88,120.00,29.90,5.20
0.95,-47.92,19.90,85.00,120.00,30.40,4.20
1.01,-45.31,11.55,93.37,120.00,34.60,3.40
1.08,-44.89,-15.26,89.19,120.00,50.30,2.30
1.14,-48.89,4.13,88.54,120.00,41.70,2.80
1.27,-51.03,5.73,87.18,120.00,43.70,2.70
1.33,-48.68,-3.49,93.90,120.00,49.20,2.40
1.40,-49.62,12.39,79.39,120.00,39.00,2.30
1.46,-51.05,6.75,84.74,120.00,38.90,2.60
1.59,-52.28,2.08,83.92,120.00,39.50,2.60
1.65,-48.25,14.00,89.01,120.00,32.50,3.40
1.71,-49.80,9.98,86.26,120.00,31.00,4.20
1.78,-50.87,28.91,85.52,20.80,26.10,5.70
1.91,-42.19,11.07,90.21,120.00,34.60,5.30
1.97,-46.10,15.47,92.01,120.00,38.10,5.30
2.03,-51.25,3.35,87.73,120.00,41.50,4.70
2.09,-56.12,7.79,83.23,120.00,39.20,4.80
2.22,-51.20,0.27,89.36,120.00,43.80,3.40
2.29,-48.00,-2.47,89.40,120.00,45.80,2.80
2.35,-50.13,-0.20,90.80,120.00,47.10,3.00
2.41,-56.67,17.71,81.96,120.00,31.80,3.60
2.54,-55.22,14.42,83.61,120.00,35.60,3.30
2.61,-56.45,9.16,83.40,120.00,41.00,3.30
2.67,-50.75,2.40,87.62,120.00,41.40,2.80
2.73,-57.62,13.78,83.46,120.00,39.80,3.80
2.86,-60.79,17.01,82.20,120.00,31.60,4.40
2.92,-59.33,20.62,80.60,120.00,32.20,4.00
2.98,-53.01,11.77,84.52,120.00,42.90,3.80
3.05,-54.38,5.81,85.14,120.00,48.60,3.20
3.17,-50.92,-4.17,88.48,3.80,53.30,3.30
3.24,-56.85,17.71,84.41,120.00,32.90,4.20
3.30,-47.02,14.38,85.68,120.00,36.40,3.40
3.43,-49.85,17.28,85.71,120.00,36.40,3.50
3.49,-59.28,12.89,82.37,120.00,36.90,4.00
3.55,-57.58,19.51,80.74,120.00,29.90,4.40
