# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-41.97,-16.60,88.87,120.00,4.00,12.90
0.06,-61.26,-5.07,79.49,120.00,2.20,12.50
0.12,-56.07,-9.43,83.29,120.00,3.00,11.00
0.25,-54.89,-29.69,81.77,120.00,7.00,11.50
0.31,-59.28,-21.57,80.55,120.00,7.40,11.90
0.37,-61.09,1.48,79.62,98.40,61.90,15.60
0.44,-56.37,8.20,84.31,120.00,120.00,27.30
0.56,-67.07,23.91,68.12,120.00,30.50,120.00
0.63,-63.67,14.29,76.26,120.00,35.50,42.00
0.69,-58.71,13.73,81.07,120.00,42.10,30.00
0.75,-46.78,-3.06,86.35,120.00,120.00,13.40
0.88,-34.44,-13.68,86.24,120.00,75.80,13.10
0.94,-39.56,-7.90,101.12,120.00,59.90,13.80
1.01,-35.77,0.72,92.53,120.00,43.50,18.50
1.07,-36.13,7.99,98.67,120.00,48.90,17.70
1.20,-32.62,1.65,96.77,120.00,45.30,15.00
1.26,-32.68,-1.40,97.14,65.30,51.00,15.10
1.33,-34.33,-0.04,95.47,120.00,55.90,14.20
1.39,-36.62,-6.63,94.34,120.00,66.40,12.90
1.52,-38.40,-5.80,94.67,120.00,57.00,12.40
1.58,-41.01,-16.32,93.62,120.00,120.00,11.40
1.64,-42.00,-6.67,92.83,120.00,60.30,12.60
1.71,-42.66,-4.54,91.80,120.00,66.10,12.80
1.83,-42.94,-2.76,91.12,120.00,62.60,13.00
1.90,-41.35,-14.38,92.27,120.00,120.00,11.90
1.96,-46.97,-12.19,90.23,120.00,49.50,12.30
2.02,-45.90,-5.36,89.37,120.00,68.20,12.40
2.15,-43.12,-10.10,91.08,120.00,55.70,12.40
2.21,-47.11,-15.00,85.30,120.00,48.90,12.00
2.28,-37.85,-6.03,92.44,120.00,120.00,12.30
2.34,-51.59,-13.75,87.26,120.00,120.00,11.70
2.47,-55.87,-19.93,83.80,120.00,120.00,11.80
2.53,-46.36,-9.55,89.32,120.00,120.00,12.40
2.60,-53.38,1.95,84.78,120.00,61.50,14.30
2.66,-48.83,-11.25,87.01,120.00,120.00,12.20
2.79,-48.00,-18.43,88.10,120.00,120.00,11.60
2.85,-46.13,-33.90,86.58,120.00,120.00,10.80
2.92,-46.85,-29.88,87.24,120.00,120.00,11.30
2.98,-49.55,-24.50,86.79,103.70,120.00,12.00
3.11,-51.20,0.15,85.31,120.00,51.80,14.40
3.17,-48.15,-0.55,92.38,120.00,120.00,13.90
3.23,-43.00,-27.91,88.04,120.00,120.00,11.20
3.30,-44.31,-27.00,87.45,120.00,120.00,11.20
3.42,-44.62,-24.63,87.00,120.00,120.00,11.60
3.49,-46.88,-15.06,88.51,120.00,120.00,11.80
3.55,-49.08,-4.91,87.37,120.00,120.00,12.90
3.62,-45.26,-8.59,93.74,120.00,83.40,11.70
3.74,-44.60,-34.87,88.02,120.00,120.00,11.20
3.81,-46.83,-28.31,85.69,120.00,120.00,11.20
3.87,-44.80,-20.12,88.11,120.00,120.00,11.90
3.93,-44.40,1.95,88.39,120.00,54.50,15.00
4.06,-41.27,-3.35,86.87,120.00,46.60,12.40
4.13,-42.29,-25.79,87.62,120.00,120.00,11.20
4.19,-43.70,-41.20,86.72,120.00,120.00,10.50
4.25,-49.22,-36.00,87.75,120.00,120.00,11.20
4.38,-43.60,-12.63,90.59,65.50,120.00,12.30
4.44,-46.83,-6.44,88.01,120.00,57.60,13.80
4.51,-41.02,-14.09,93.43,120.00,120.00,11.40
4.57,-42.65,-23.39,90.97,120.00,120.00,11.00
4.70,-48.67,-40.25,77.67,120.00,120.00,11.00
4.76,-55.82,-44.31,71.55,120.00,120.00,11.00
4.83,-59.95,-54.67,68.32,120.00,120.00,11.50
4.89,-63.58,-52.67,65.83,120.00,120.00,11.70
5.02,-50.45,-18.57,94.65,120.00,120.00,11.90
5.08,-52.16,-22.57,81.23,120.00,120.00,12.40
5.15,-57.71,-17.61,86.42,120.00,33.60,14.10
5.21,-49.88,7.47,87.54,120.00,53.80,26.70
5.34,-49.15,7.75,84.70,120.00,54.20,26.90
5.40,-46.59,12.42,89.12,118.40,58.60,19.70
5.47,-49.33,-32.28,85.39,120.00,120.00,10.80
5.53,-49.81,-32.92,85.14,120.00,120.00,10.70
5.66,-53.79,-13.46,83.67,120.00,70.90,13.80
5.72,-48.68,2.57,97.67,120.00,120.00,17.00
5.79,-41.35,-9.37,96.69,120.00,120.00,13.90
5.85,-44.55,-17.76,88.75,120.00,120.00,11.90
5.98,-47.78,-23.91,87.96,120.00,120.00,12.00
6.04,-47.93,-25.34,87.43,120.00,120.00,12.30
6.10,-45.94,-19.83,88.03,120.00,120.00,12.70
6.17,-46.87,-22.74,88.50,120.00,120.00,11.90
6.29,-49.92,-41.64,83.86,120.00,120.00,12.00
6.36,-46.89,-40.98,87.26,120.00,120.00,12.60
6.42,-44.92,-6.05,88.04,120.00,120.00,14.60
6.49,-41.93,-8.46,89.19,120.00,58.00,14.70
6.61,-42.00,-19.61,91.21,120.00,120.00,13.10
6.68,-36.89,-12.04,92.58,120.00,120.00,12.20
6.74,-44.37,-43.30,84.83,120.00,120.00,12.50
6.80,-41.81,-31.99,86.29,120.00,120.00,12.00
6.93,-40.03,-8.41,92.26,120.00,120.00,14.50
7.00,-43.12,-10.29,90.55,120.00,120.00,15.40
7.06,-41.64,-11.80,92.39,0.00,120.00,15.10
7.12,-39.70,-20.94,93.09,120.00,88.50,13.90
7.25,-32.72,-29.74,93.52,120.00,120.00,14.00
7.32,-30.80,-14.66,92.87,120.00,120.00,14.20
7.38,-36.72,-19.00,93.24,120.00,120.00,14.00
7.44,-44.32,-17.96,90.22,120.00,120.00,13.30
7.57,-44.42,-28.01,88.26,120.00,120.00,13.10
7.63,-41.72,-33.86,87.71,9.40,120.00,12.40
7.70,-42.13,-31.68,87.88,120.00,120.00,12.80
7.76,-42.13,-31.87,87.74,120.00,120.00,12.90
7.89,-44.31,-26.86,87.79,120.00,120.00,12.20
