# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.33,0.00,0.00,0.00,0.00,0.00,0.00
1.45,94.67,19.37,13.72,3.00,5.90,17.50
1.52,97.81,6.90,14.03,2.80,5.30,13.10
1.58,100.86,10.97,14.03,1.80,5.50,11.20
1.71,95.27,25.38,14.58,1.70,5.50,12.50
1.77,94.80,25.59,10.78,2.10,5.40,13.20
1.83,95.07,32.90,17.95,2.10,5.60,13.50
1.90,98.39,21.97,12.54,2.50,5.20,11.80
2.02,98.88,21.31,12.51,1.90,4.90,12.40
2.09,97.41,20.43,11.56,1.90,4.40,11.90
2.15,96.70,28.53,15.88,2.10,6.00,13.20
2.21,92.35,28.29,13.78,3.00,6.00,13.80
2.34,95.70,27.90,15.89,2.40,6.00,13.60
2.40,100.32,22.25,10.40,2.10,5.80,12.10
2.47,97.09,27.98,10.30,1.80,5.10,11.70
2.53,96.45,16.71,8.13,1.50,5.10,11.20
2.66,95.36,26.58,18.84,2.40,5.30,11.80
2.72,96.12,22.45,17.74,2.40,4.70,11.80
2.79,99.08,18.84,19.43,2.10,4.70,12.00
2.85,98.36,12.92,16.38,2.10,4.60,12.30
2.98,98.45,16.99,15.83,2.20,4.80,11.30
3.04,98.05,18.43,14.17,2.00,4.50,11.60
3.11,98.58,12.51,16.08,1.70,4.30,13.40
3.17,99.16,9.41,15.83,2.40,4.60,14.70
3.30,99.32,10.83,14.87,2.20,4.40,15.30
3.36,99.85,9.96,13.66,2.40,4.30,13.80
3.43,107.23,17.94,13.14,2.10,4.60,11.60
3.49,105.19,-9.73,10.92,1.80,5.00,12.50
3.62,97.53,8.44,12.66,2.00,3.50,15.00
3.68,98.41,-12.24,18.54,2.40,3.90,15.40
3.75,93.87,-3.12,35.05,3.30,3.80,15.70
3.81,88.42,-12.63,38.84,3.60,3.90,12.30
3.94,85.94,-0.02,46.70,3.70,4.30,12.40
4.00,87.76,10.00,35.51,2.60,3.90,13.40
4.06,101.68,11.91,42.82,2.30,3.70,14.80
4.13,101.39,5.12,32.01,2.80,3.70,14.50
4.26,98.63,-0.68,29.71,2.80,4.00,13.70
4.32,94.64,7.45,28.08,2.50,3.40,14.20
4.38,92.04,8.37,25.45,2.30,3.90,13.90
4.45,95.84,4.44,32.71,2.00,4.20,12.50
4.57,96.70,1.89,31.31,2.40,3.80,14.00
4.64,95.67,5.25,31.82,2.90,4.20,16.00
4.70,96.36,5.67,30.85,2.40,3.40,16.50
4.77,95.61,17.29,35.17,2.50,4.00,15.50
4.89,88.79,5.63,46.80,2.00,3.80,13.10
4.96,87.13,17.25,46.14,2.40,4.00,14.40
5.02,90.79,17.74,45.27,2.20,4.00,15.40
5.08,86.57,21.91,48.57,2.70,3.80,16.70
5.21,87.04,19.37,47.49,2.50,3.70,18.60
5.28,85.75,3.81,52.64,2.50,3.80,20.00
5.34,87.41,19.67,48.57,1.90,3.80,26.50
5.40,86.85,19.98,49.02,2.30,4.00,28.40
5.53,87.32,13.81,50.68,2.40,3.90,20.20
5.60,85.70,9.88,52.21,2.40,3.70,21.10
5.66,86.33,20.44,50.23,1.80,4.00,25.00
5.72,85.79,10.10,52.94,2.40,3.90,15.70
5.85,86.43,2.21,52.12,2.20,3.90,14.70
5.91,85.99,16.45,51.98,1.70,3.70,15.40
5.98,88.95,-4.57,55.16,2.40,4.20,12.60
6.04,85.80,1.37,54.92,2.20,3.80,12.50
6.17,88.95,2.19,49.61,2.60,3.90,12.30
6.23,90.50,-8.21,39.51,2.70,4.40,11.80
6.29,98.52,0.47,41.76,2.30,4.10,11.90
6.36,95.22,-29.42,36.52,2.60,4.20,17.20
6.48,95.20,-15.05,34.78,2.20,4.50,15.50
6.55,98.54,-12.37,45.45,2.40,3.50,13.90
6.61,88.79,2.57,27.71,2.70,4.30,13.90
6.67,91.30,-10.57,39.01,3.80,4.60,13.40
6.80,92.83,-10.41,44.45,3.70,4.50,13.30
6.87,89.63,-12.79,42.96,4.10,4.50,12.80
6.93,87.80,-14.64,42.99,4.60,4.20,13.10
6.99,85.63,-9.57,46.19,4.30,4.40,13.30
7.12,92.93,7.68,43.91,4.00,4.60,13.00
7.18,96.83,-8.33,37.80,3.40,3.90,14.70
7.25,95.53,-5.00,41.30,3.40,3.90,14.90
7.31,90.75,-7.49,45.45,3.10,3.90,15.20
7.44,88.01,-9.02,39.89,2.80,3.20,16.70
7.50,90.58,1.97,47.19,3.10,4.20,17.60
7.57,87.57,-1.17,48.77,2.90,4.20,19.00
7.63,91.24,-0.89,46.15,2.20,4.00,19.70
7.76,90.04,-1.34,41.36,1.90,4.20,25.60
7.82,93.76,-1.13,48.64,1.80,4.20,40.60
7.89,90.56,-0.90,47.33,2.40,4.10,37.70
7.95,89.64,0.11,47.82,2.30,4.00,35.90
8.08,88.53,0.20,50.08,1.70,4.00,44.10
8.14,85.80,-1.40,50.87,1.80,4.10,46.80
8.20,86.74,-0.95,50.46,2.40,4.50,56.30
8.27,89.82,2.26,54.64,2.10,4.60,60.20
8.40,86.73,0.26,54.41,2.50,4.60,71.10
8.46,83.43,3.66,43.38,2.30,4.40,59.50
8.52,86.30,4.93,53.92,2.50,4.60,57.20
8.59,87.23,3.59,53.83,2.90,4.50,34.70
8.71,89.92,7.84,48.04,2.30,4.10,21.00
8.78,89.58,-0.79,43.60,2.70,4.20,16.20
8.84,91.97,2.00,42.49,2.40,4.30,15.50
8.90,93.52,1.96,42.14,2.70,4.80,15.80
9.03,95.16,-4.23,53.97,2.70,4.70,12.40
9.10,94.35,-0.05,47.90,3.40,4.80,12.90
9.16,89.04,1.56,45.50,3.00,4.10,13.40
9.22,92.18,2.23,51.12,3.60,4.40,14.60
9.35,88.87,2.67,45.82,3.50,4.20,15.30
9.42,90.48,0.31,46.21,3.80,4.30,14.40
9.48,90.28,2.65,43.97,3.60,4.30,13.40
9.54,91.33,3.83,45.89,3.60,4.10,13.80
9.67,89.59,0.71,42.76,3.20,4.50,14.80
9.73,91.75,3.42,42.19,3.00,4.30,17.00
9.80,91.04,4.30,43.80,3.40,4.20,17.40
9.86,92.30,8.20,44.64,2.80,4.10,17.10
9.99,90.69,7.71,45.65,2.30,4.00,16.70
10.05,90.03,5.43,45.25,2.60,4.50,17.90
10.12,89.83,6.52,45.09,2.80,4.20,17.00
10.18,91.83,1.58,42.85,2.60,4.40,15.40
10.31,95.72,6.48,46.69,2.60,4.10,15.40
10.37,92.81,7.67,43.26,2.80,4.10,16.20
10.43,91.03,1.57,41.07,1.70,4.40,26.40
10.50,91.76,6.33,45.68,2.20,4.80,29.60
10.63,92.32,-0.57,44.89,2.30,4.80,21.60
10.69,92.90,7.74,46.50,2.10,4.20,15.30
10.75,91.17,3.39,42.49,2.40,3.80,14.80
10.82,92.42,0.85,43.54,2.10,4.10,21.50
10.94,93.79,-0.71,41.03,1.70,5.10,39.00
11.01,95.31,4.14,40.47,2.30,4.30,19.30
11.07,95.08,5.20,41.11,2.30,4.30,17.60
11.20,91.83,1.54,38.74,2.50,5.10,48.20
11.26,89.38,6.58,52.22,2.00,4.60,54.70
11.33,88.43,1.88,49.50,2.10,4.60,64.60
11.39,90.95,2.27,49.70,2.40,4.80,57.30
11.52,88.71,2.91,50.01,2.30,4.70,40.40
11.58,88.97,0.40,49.63,2.40,4.90,35.80
11.65,88.54,0.10,50.28,2.20,4.80,49.00
11.71,88.69,3.81,49.36,2.40,5.10,57.10
11.84,88.11,-2.93,51.38,2.70,4.90,55.80
11.90,89.07,-5.40,49.76,2.00,5.70,52.90
11.97,88.16,-7.71,49.49,2.90,5.00,49.90
12.03,91.02,-0.31,57.79,2.50,5.50,58.00
12.16,81.70,-8.91,51.20,2.10,6.20,58.70
12.22,87.34,6.52,66.63,2.00,5.70,64.80
12.29,84.33,4.25,62.92,1.80,5.50,65.30
12.35,83.47,7.41,56.87,2.30,5.80,65.80
12.48,83.48,10.36,57.42,2.50,6.10,70.20
12.54,83.32,7.68,57.97,2.40,5.90,52.50
12.60,83.54,4.77,57.82,2.60,5.80,75.50
12.67,82.79,5.55,57.86,2.50,5.90,72.20
12.79,85.30,4.13,56.59,2.20,5.70,69.30
12.86,84.77,6.72,56.46,2.20,5.90,67.40
