# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-84.57,6.88,48.64,120.00,28.50,11.40
0.07,-86.33,4.84,54.76,120.00,27.30,12.00
0.13,-84.08,6.20,55.29,36.50,26.50,12.10
0.26,-82.93,9.64,52.55,120.00,27.00,12.40
0.32,-85.79,7.35,54.87,120.00,27.00,12.20
0.39,-81.84,6.53,54.05,120.00,31.50,12.10
0.45,-84.77,-4.57,51.48,120.00,39.10,12.10
0.58,-87.27,-0.45,49.33,120.00,32.70,12.30
0.64,-87.38,0.79,50.07,120.00,31.80,12.60
0.70,-87.80,2.45,49.02,120.00,32.30,12.20
0.77,-87.46,-3.61,52.09,120.00,29.70,12.90
0.89,-86.41,-3.85,49.65,120.00,20.90,12.90
0.96,-85.78,-6.21,47.48,120.00,29.00,12.90
1.02,-88.15,9.05,43.09,120.00,29.00,12.80
1.08,-91.05,-3.83,51.48,120.00,27.80,12.50
1.21,-85.35,3.38,47.34,120.00,26.60,13.00
1.27,-91.35,0.67,48.22,120.00,26.90,12.60
1.34,-88.07,0.44,45.76,120.00,31.50,12.80
1.40,-89.02,2.23,45.10,120.00,24.20,12.80
1.53,-88.85,1.98,45.15,120.00,28.20,12.70
1.59,-90.58,1.08,44.69,120.00,30.10,12.70
1.65,-89.49,4.25,44.61,120.00,120.00,12.80
1.72,-89.84,3.15,43.95,120.00,26.50,12.80
1.84,-89.24,1.62,45.14,120.00,30.70,12.80
1.91,-88.34,8.62,42.60,120.00,20.30,11.30
1.97,-87.48,6.72,49.57,120.00,25.70,12.50
2.03,-84.75,8.99,50.92,120.00,20.70,13.00
2.16,-82.05,7.15,49.32,120.00,20.20,12.80
2.22,-86.33,8.29,50.89,120.00,20.20,12.80
2.29,-83.02,12.60,50.05,120.00,19.80,13.00
2.35,-80.87,11.80,54.49,4.10,22.70,12.10
2.48,-83.68,2.92,60.63,7.30,26.40,11.70
2.54,-76.39,0.93,58.55,120.00,19.60,12.70
2.61,-79.93,2.22,62.30,41.70,11.70,13.30
2.67,-80.88,-1.59,65.12,120.00,11.70,12.90
2.80,-74.22,0.10,63.33,120.00,12.10,12.60
2.86,-76.41,5.94,65.51,9.10,22.60,12.70
2.92,-80.11,-1.15,61.97,9.90,30.20,11.90
2.99,-79.67,6.99,62.98,9.20,28.50,12.40
3.12,-75.29,6.56,60.63,9.40,28.40,12.30
3.18,-77.62,8.61,63.98,8.70,24.70,12.90
3.24,-76.26,10.50,62.88,7.90,21.40,13.20
3.31,-81.24,10.78,68.14,8.40,23.20,13.50
3.43,-77.17,8.44,63.45,8.20,26.60,12.30
3.50,-76.84,12.74,63.15,7.60,26.40,12.00
3.56,-74.52,5.63,64.04,7.60,26.20,11.70
3.63,-76.60,8.80,65.39,7.60,28.10,12.30
3.75,-76.41,8.09,65.05,7.20,25.80,12.20
3.82,-76.74,5.74,64.33,7.60,30.40,12.30
3.88,-75.72,8.15,64.51,8.50,27.40,12.20
3.94,-75.42,10.44,61.24,7.70,27.50,12.10
4.07,-80.28,8.59,62.97,8.20,120.00,12.50
4.14,-79.13,9.53,61.09,8.30,25.60,12.20
