# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-59.34,2.42,85.23,4.20,3.10,4.60
0.12,-56.25,-1.52,84.20,3.80,3.10,3.70
0.18,-60.52,-5.73,79.16,3.80,2.60,4.30
0.25,-69.02,-1.15,72.47,4.50,3.10,5.10
0.31,-71.14,-3.22,72.17,4.60,3.00,5.60
0.44,-69.45,1.06,72.39,5.00,3.30,6.10
0.50,-69.85,4.86,69.91,6.60,3.20,7.00
0.56,-73.01,6.59,73.30,7.20,3.00,6.40
0.63,-75.62,-5.40,66.57,6.20,3.20,6.10
0.75,-74.01,-3.83,68.05,6.60,3.20,6.50
0.82,-72.80,-6.90,67.77,6.80,3.10,6.80
0.88,-75.94,-4.08,65.95,8.70,3.30,6.60
0.95,-77.39,5.39,64.17,10.10,3.50,6.70
1.07,-75.65,0.21,66.00,7.70,3.80,7.10
1.14,-76.47,-4.27,65.11,7.00,3.60,7.00
1.20,-77.26,-2.78,65.05,8.10,3.20,6.80
1.26,-78.06,-2.92,64.27,8.60,3.70,7.00
1.39,-79.18,-1.62,65.55,8.50,3.50,6.90
1.45,-77.19,1.53,64.49,9.00,4.10,7.00
1.52,-77.34,1.67,63.76,9.80,3.40,6.40
1.58,-77.25,-2.87,65.01,7.90,2.90,6.30
1.71,-77.15,-8.95,62.26,8.30,3.50,6.20
1.77,-77.58,-15.39,61.80,7.40,3.20,5.70
1.84,-77.63,-18.74,61.57,7.10,3.30,5.30
1.90,-79.17,-10.31,60.47,7.80,3.80,6.80
2.03,-84.47,-2.50,58.74,120.00,3.30,8.00
2.09,-82.35,-0.34,57.03,120.00,3.80,8.20
2.15,-82.71,-0.99,57.10,120.00,3.00,7.70
2.22,-83.69,-4.96,57.58,120.00,4.00,7.30
2.34,-79.85,-6.51,56.32,6.40,3.80,6.40
2.41,-81.56,-3.37,57.87,120.00,3.20,6.60
2.47,-82.71,-0.34,56.97,120.00,3.20,7.10
2.54,-82.56,-0.93,57.29,0.00,3.80,7.10
2.66,-83.20,0.78,56.01,120.00,3.60,7.80
2.73,-83.44,0.65,58.33,120.00,3.50,8.30
2.79,-81.53,-1.01,52.58,120.00,4.00,8.30
2.85,-85.88,-0.95,53.39,0.00,3.70,7.90
2.98,-85.66,0.40,51.97,6.00,3.90,7.00
3.05,-85.24,1.75,53.30,120.00,3.30,7.70
3.11,-84.70,1.55,53.63,120.00,3.40,8.10
3.17,-84.73,0.54,53.95,120.00,3.50,7.80
3.30,-88.45,4.01,55.92,120.00,3.30,7.90
3.37,-75.64,2.06,56.09,120.00,3.20,7.50
3.43,-83.64,8.14,51.75,0.00,4.20,7.90
3.56,-85.97,3.27,58.42,120.00,4.00,7.50
3.62,-83.32,4.72,56.80,0.00,3.30,7.00
3.68,-81.39,-13.70,52.19,120.00,3.30,6.00
3.75,-83.88,-15.73,54.36,120.00,2.90,6.70
3.87,-80.00,19.88,48.33,120.00,4.00,9.60
3.94,-84.95,9.72,50.63,120.00,3.90,8.70
4.00,-88.55,-1.38,50.84,120.00,3.50,7.80
4.07,-85.52,-6.45,50.10,120.00,3.50,7.00
4.19,-90.03,-19.95,52.23,120.00,3.20,5.40
4.26,-87.02,-19.99,50.20,120.00,3.50,6.20
4.32,-86.65,-5.94,47.79,120.00,3.50,7.90
4.38,-85.00,8.46,46.42,120.00,3.80,7.10
4.51,-87.79,5.68,46.66,120.00,3.70,7.80
4.58,-90.53,-10.88,47.08,120.00,3.60,7.30
4.64,-92.21,-8.88,45.21,120.00,2.60,6.80
4.70,-87.49,-11.68,43.03,120.00,3.00,6.60
4.83,-87.58,-10.82,41.50,120.00,3.00,7.00
4.89,-92.72,-12.50,43.51,120.00,3.00,6.60
4.96,-91.42,-14.44,39.72,120.00,3.30,5.20
5.02,-91.33,-11.22,39.75,120.00,3.20,5.40
5.15,-89.18,-11.04,40.59,120.00,2.40,6.90
5.21,-84.99,-4.32,48.74,120.00,2.70,6.90
5.28,-85.19,-4.05,53.88,120.00,3.60,6.70
5.34,-81.51,0.56,58.33,120.00,3.50,6.30
5.47,-78.42,4.76,56.78,45.20,3.30,6.50
5.53,-81.13,8.31,59.79,11.00,3.90,6.90
5.59,-83.62,10.30,59.69,10.90,3.30,6.90
5.66,-81.21,7.31,55.33,10.60,3.00,6.40
5.78,-79.10,7.49,59.14,9.60,3.30,6.30
5.85,-77.57,5.35,60.56,10.40,2.90,6.00
5.91,-78.25,7.41,62.23,8.90,3.90,6.10
5.98,-77.29,2.81,66.09,8.80,3.30,5.50
6.10,-75.65,2.58,66.10,8.40,2.80,5.60
6.17,-75.15,-0.12,66.54,7.50,3.00,4.80
6.23,-75.87,-0.28,66.33,8.40,3.10,5.00
6.29,-76.14,-1.73,66.91,8.40,3.10,5.90
6.42,-76.32,2.09,65.40,8.90,2.50,5.40
6.48,-75.77,1.11,65.83,8.60,3.20,5.70
6.54,-72.75,5.13,59.07,8.00,3.20,6.30
6.61,-74.39,-5.60,59.19,8.40,2.90,5.20
6.74,-79.09,-4.06,61.59,7.30,2.90,5.10
6.80,-81.02,-2.91,59.95,120.00,2.70,5.60
6.86,-80.43,-0.73,58.14,27.70,3.10,6.10
6.93,-80.03,0.07,58.20,120.00,3.50,6.10
7.06,-82.84,6.38,55.98,3.70,3.20,6.90
7.12,-82.25,2.36,55.99,24.20,2.80,6.60
7.18,-83.09,0.98,57.60,120.00,3.30,6.40
7.25,-81.42,3.18,56.26,120.00,3.50,7.30
7.37,-82.73,1.45,57.12,18.10,3.50,7.10
7.44,-81.97,0.77,57.09,120.00,3.50,6.60
7.50,-83.23,2.06,58.06,0.00,3.10,6.80
7.56,-81.10,-4.49,60.49,120.00,3.00,5.30
7.69,-78.73,-12.84,59.78,9.00,3.20,5.00
7.75,-79.59,-15.79,59.59,7.40,3.30,5.50
7.82,-81.45,-6.66,61.50,120.00,3.20,6.10
7.88,-84.23,-0.09,55.21,120.00,3.70,7.40
8.01,-85.27,-0.68,54.20,14.90,3.00,8.20
8.07,-84.70,1.43,53.82,120.00,3.50,7.80
8.14,-85.32,-2.22,53.10,120.00,3.70,6.10
8.20,-78.25,-15.69,59.11,8.40,3.30,4.70
8.33,-80.88,-14.79,60.91,7.50,3.20,4.90
8.39,-82.19,-9.82,55.72,120.00,3.30,6.00
8.46,-86.72,-6.96,54.06,120.00,3.60,7.20
8.58,-81.88,-3.00,52.71,69.60,3.30,7.40
8.65,-84.66,-3.16,53.15,120.00,3.20,8.10
8.71,-85.91,-7.30,53.64,120.00,3.70,6.80
8.78,-84.51,-18.99,54.61,120.00,3.40,5.10
8.90,-83.86,-11.82,55.68,76.00,2.90,5.80
8.97,-83.80,-8.95,55.29,15.60,3.50,8.00
9.03,-81.33,-5.24,54.63,120.00,3.20,8.40
9.10,-82.40,-5.40,56.51,120.00,3.70,8.70
9.22,-84.88,-6.71,58.89,120.00,3.20,8.00
9.29,-79.02,-9.31,57.02,120.00,3.70,7.50
9.35,-81.44,-12.18,59.52,120.00,3.20,7.10
9.41,-78.73,-7.45,58.25,120.00,3.00,6.50
9.54,-80.24,-3.08,58.44,120.00,3.40,7.10
9.61,-82.01,-5.55,59.12,120.00,3.80,7.10
9.67,-81.12,-5.63,58.89,120.00,4.20,7.20
9.73,-81.65,-6.26,57.38,120.00,3.50,9.00
9.86,-81.55,-6.76,57.50,120.00,3.20,7.90
9.92,-80.83,-7.80,57.23,55.60,3.30,7.40
9.99,-81.77,-9.67,55.71,120.00,3.80,6.60
10.05,-85.97,-11.74,56.74,120.00,2.70,6.60
10.18,-83.87,-11.52,51.53,42.30,3.20,6.40
10.24,-85.08,-11.90,52.84,120.00,3.20,6.20
10.31,-83.71,-11.24,51.00,120.00,3.00,6.60
10.37,-84.18,-14.58,48.91,120.00,3.00,6.40
10.50,-85.05,-19.20,47.56,120.00,3.30,6.10
10.56,-86.21,-20.21,48.38,120.00,3.10,5.80
10.63,-87.59,-19.79,47.81,120.00,3.20,6.50
10.69,-86.76,-15.03,49.14,120.00,3.00,8.20
10.82,-87.41,-11.71,49.49,0.00,3.20,9.20
10.88,-85.51,-3.67,49.88,0.00,3.60,11.40
10.94,-85.93,-12.80,47.72,120.00,3.30,8.70
11.01,-89.29,-22.97,49.63,120.00,3.60,6.40
11.14,-88.04,-17.52,47.46,120.00,2.80,6.90
11.20,-87.47,-18.19,46.01,120.00,2.70,7.00
11.26,-87.02,-18.15,45.22,7.50,3.20,7.30
11.33,-88.32,-17.68,46.16,120.00,2.80,7.90
11.45,-86.11,-14.48,44.59,120.00,3.10,8.60
11.52,-84.44,-13.43,46.06,120.00,3.40,8.50
11.58,-85.85,5.44,48.50,120.00,3.70,8.70
11.64,-83.36,-4.24,49.08,0.00,2.90,8.30
11.77,-85.96,1.42,52.28,120.00,3.10,7.10
11.83,-75.65,15.88,68.56,5.60,2.70,6.70
11.90,-63.04,7.24,83.99,6.30,2.70,6.70
11.96,-65.11,7.51,77.00,5.70,3.90,5.90
12.09,-70.59,12.13,69.51,5.30,3.30,5.90
12.15,-65.91,0.63,76.16,6.50,3.60,5.90
12.22,-65.53,8.75,76.16,5.60,3.10,5.80
12.28,-67.03,7.68,75.30,6.00,3.10,5.20
12.41,-67.13,6.79,75.68,5.60,3.20,5.40
12.47,-68.86,6.93,75.04,6.30,2.70,5.70
12.53,-68.87,0.78,71.94,6.60,3.30,5.40
12.60,-70.21,2.89,70.31,6.60,2.70,5.70
12.72,-74.32,-2.57,69.78,5.70,3.00,5.60
12.79,-74.08,-6.27,67.17,6.90,3.00,5.40
12.85,-76.96,-7.21,66.22,7.80,3.10,5.00
12.91,-76.40,-8.17,66.31,7.90,3.40,4.90
13.04,-76.81,-8.02,65.58,9.70,3.70,5.50
13.10,-78.06,-10.20,64.94,11.30,3.40,6.00
13.17,-81.17,-0.63,56.67,120.00,3.60,7.30
13.23,-81.41,0.12,56.92,120.00,3.70,6.70
13.36,-81.08,-8.47,56.78,120.00,3.30,5.30
13.42,-82.17,-17.65,56.60,120.00,3.80,4.10
13.49,-84.55,-17.66,52.21,120.00,4.10,3.70
13.55,-84.01,-18.07,50.29,120.00,3.80,3.80
13.68,-84.97,-21.09,52.39,120.00,4.00,4.00
13.74,-85.13,-21.44,46.98,120.00,4.20,3.80
13.81,-85.64,-23.26,45.92,120.00,4.30,3.10
13.87,-85.71,-28.80,46.08,120.00,5.20,3.00
14.00,-88.69,-27.61,43.07,120.00,4.50,2.90
14.06,-86.68,-29.85,44.19,120.00,4.10,3.90
14.12,-83.91,-31.07,43.68,120.00,4.00,4.40
14.19,-82.44,-28.10,42.96,120.00,3.80,4.30
14.32,-90.44,-28.44,44.31,34.80,4.70,3.40
14.38,-87.46,-28.87,42.82,120.00,5.40,3.20
14.44,-86.74,-28.25,40.33,120.00,5.60,2.70
14.51,-88.27,-30.84,39.34,120.00,6.00,3.00
14.63,-86.23,-35.61,38.94,120.00,6.00,2.60
14.70,-85.66,-35.38,39.34,120.00,6.70,2.40
14.76,-87.97,-35.22,38.54,120.00,6.80,2.90
14.82,-87.10,-35.12,36.60,120.00,7.30,2.80
14.95,-89.97,-31.62,40.29,120.00,6.00,2.90
15.02,-85.52,-29.53,36.62,8.00,4.50,3.80
15.08,-93.15,-25.84,37.46,120.00,4.40,4.40
15.14,-91.09,-24.22,35.96,120.00,3.90,4.90
15.27,-94.76,-21.64,39.89,120.00,3.70,5.20
15.33,-76.87,-22.16,55.33,52.10,2.70,6.20
15.40,-82.97,-18.35,57.79,120.00,3.00,6.40
15.46,-78.76,-7.90,61.94,25.00,3.30,7.90
15.59,-80.03,-6.94,58.32,58.50,3.70,8.40
15.65,-76.33,6.99,56.35,120.00,3.60,10.30
15.72,-77.51,12.87,56.88,120.00,3.60,11.30
15.78,-77.08,19.32,61.11,120.00,3.90,10.30
15.91,-82.83,17.26,61.43,120.00,3.10,10.70
15.97,-74.01,19.35,60.64,10.80,4.10,11.70
16.04,-73.05,30.73,65.61,7.50,3.70,10.20
16.10,-74.84,23.81,63.54,8.90,4.20,10.10
16.23,-77.11,17.35,63.39,9.50,3.30,9.50
16.29,-79.83,17.50,64.78,9.20,4.10,10.30
16.35,-81.74,9.69,58.73,120.00,4.00,13.10
16.42,-82.32,5.83,53.40,120.00,4.00,12.90
16.55,-86.85,2.51,54.25,120.00,3.70,15.00
16.61,-85.20,3.76,56.52,120.00,4.10,15.30
16.67,-80.71,-2.72,53.57,120.00,4.10,14.50
16.74,-83.17,-6.74,53.77,120.00,3.30,13.60
16.86,-84.76,-0.57,54.28,120.00,4.10,13.00
16.93,-84.89,-0.22,55.35,120.00,3.70,9.20
16.99,-83.07,5.06,53.23,120.00,3.30,9.90
17.05,-86.13,-7.39,52.70,120.00,4.00,12.40
17.18,-88.46,-14.91,52.33,120.00,3.50,11.60
17.25,-84.36,-12.34,51.59,120.00,3.10,11.20
17.31,-85.63,-12.13,50.68,120.00,3.20,12.80
17.37,-85.10,-11.47,51.77,120.00,3.60,11.80
17.50,-84.83,-1.94,53.20,120.00,3.40,14.00
17.56,-85.71,-0.27,55.18,120.00,3.20,12.10
17.63,-82.36,2.92,54.48,120.00,3.20,12.80
17.69,-83.18,-4.26,54.58,5.10,4.10,14.90
17.82,-85.82,-15.03,54.39,120.00,3.50,11.50
17.88,-84.51,-16.94,54.09,120.00,3.20,10.70
