# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,-54.90,16.70,-52.00,22.20,12.40,10.10
0.06,0.00,0.00,-56.10,16.40,-52.00,21.20,12.00,9.80
0.12,0.00,0.00,-56.10,16.40,-52.00,22.20,12.00,10.40
0.19,0.00,0.00,-55.90,16.60,-52.60,22.40,12.40,10.00
0.25,0.00,0.00,-57.30,15.10,-50.80,23.10,12.50,10.40
0.31,0.00,0.00,-57.10,15.20,-52.00,22.20,11.80,9.20
0.38,0.00,0.00,-56.80,17.20,-51.00,22.00,12.20,10.00
0.44,0.00,0.00,-54.70,16.60,-53.70,22.20,12.50,10.00
0.50,0.00,0.00,-56.10,17.20,-50.20,22.00,12.10,10.30
0.57,0.00,0.00,-56.20,17.00,-51.10,22.10,12.10,9.80
0.63,0.00,0.00,-56.20,16.10,-50.40,21.70,12.70,9.80
0.70,0.00,0.00,-56.20,16.10,-50.40,22.20,12.10,9.90
0.76,0.00,0.00,-56.40,17.90,-53.50,21.50,12.00,9.80
0.82,0.00,0.00,-56.40,17.90,-53.50,22.40,11.80,9.90
0.89,0.00,0.00,-55.30,17.50,-50.50,22.40,12.30,9.80
0.95,0.00,0.00,-55.50,16.10,-51.10,21.90,12.30,10.10
1.01,0.00,0.00,-55.30,17.20,-51.10,22.00,12.20,9.60
1.08,0.00,0.00,-56.50,16.10,-51.90,22.30,12.40,9.80
1.14,0.00,0.00,-54.90,17.90,-50.50,21.50,12.10,9.70
1.21,0.00,0.00,-54.90,16.40,-51.00,22.40,12.60,10.10
1.27,0.00,0.00,-54.90,16.40,-51.00,22.60,12.70,10.00
1.33,0.00,0.00,-55.90,15.40,-51.90,22.10,12.60,10.00
1.40,0.00,0.00,-56.50,17.00,-48.90,23.10,12.20,10.30
1.46,0.00,0.00,-56.50,17.00,-48.90,22.40,12.00,9.90
1.52,0.00,0.00,-56.50,17.30,-51.90,21.30,11.50,9.70
1.59,0.00,0.00,-56.20,14.70,-50.40,22.80,12.30,9.70
1.65,0.00,0.00,-56.20,14.70,-50.40,22.10,12.10,9.90
1.72,0.00,0.00,-54.90,17.50,-51.30,22.80,12.10,9.40
1.78,0.00,0.00,-56.50,15.40,-51.40,23.50,12.10,10.10
1.84,0.00,0.00,-56.50,15.10,-49.30,22.00,11.90,9.60
1.91,0.00,0.00,-56.50,15.10,-49.30,22.10,12.80,9.90
1.97,0.00,0.00,-57.70,17.30,-51.10,23.20,12.50,10.00
2.03,0.00,0.00,-57.10,17.20,-51.70,22.30,12.10,10.00
2.10,0.00,0.00,-54.70,16.60,-50.80,21.20,12.60,9.90
2.16,0.00,0.00,-55.20,16.10,-51.40,22.00,12.30,9.70
2.23,0.00,0.00,-57.70,16.10,-50.40,22.90,12.60,10.00
2.29,0.00,0.00,-57.70,16.10,-50.40,22.70,12.20,10.20
2.35,0.00,0.00,-56.20,17.00,-51.10,22.90,12.50,9.90
2.42,0.00,0.00,-55.90,17.30,-50.80,22.40,12.30,9.80
2.48,0.00,0.00,-57.60,14.50,-50.50,22.50,12.50,10.00
2.54,0.00,0.00,-55.60,15.20,-51.70,22.90,12.20,9.80
2.61,0.00,0.00,-55.90,15.10,-50.40,22.60,12.20,9.90
2.67,0.00,0.00,-57.70,15.10,-51.10,23.00,12.50,10.10
2.74,0.00,0.00,-57.70,15.10,-51.10,22.50,12.20,9.80
2.80,0.00,0.00,-56.80,18.40,-50.20,22.00,12.00,9.80
2.86,0.00,0.00,-55.30,16.00,-52.50,22.10,12.00,9.30
2.93,0.00,0.00,-55.30,16.00,-52.50,22.10,12.10,9.70
2.99,0.00,0.00,-55.90,17.00,-50.40,23.20,12.50,9.70
3.05,0.00,0.00,-56.10,16.70,-51.30,22.20,12.50,10.20
3.12,0.00,0.00,-56.80,17.20,-50.50,22.70,12.10,9.80
3.18,0.00,0.00,-57.70,14.70,-50.80,22.10,12.20,9.90
3.24,0.00,0.00,-57.10,18.40,-52.00,22.50,11.80,10.10
3.31,0.00,0.00,-57.10,18.40,-52.00,22.40,12.20,10.00
3.37,0.00,0.00,-57.00,15.10,-52.20,22.90,12.40,10.00
3.44,0.00,0.00,-57.70,18.50,-51.90,21.70,12.40,10.10
3.50,0.00,0.00,-54.60,16.40,-51.30,21.30,12.20,10.10
3.56,0.00,0.00,-56.10,15.70,-51.00,22.50,12.00,9.60
3.63,0.00,0.00,-55.60,16.70,-51.30,22.60,12.70,9.80
3.69,0.00,0.00,-55.60,16.70,-51.30,22.30,11.90,9.80
3.75,0.00,0.00,-56.50,16.60,-50.80,21.30,12.00,9.60
3.82,0.00,0.00,-55.30,17.20,-52.50,21.20,12.40,9.70
3.88,0.00,0.00,-55.50,15.80,-51.10,22.30,12.60,10.20
3.94,0.00,0.00,-57.00,17.30,-51.40,22.20,10.70,10.10
4.01,0.00,0.00,-57.00,17.30,-51.40,21.80,7.40,10.20
4.07,0.00,0.00,-55.90,15.40,-52.60,22.30,6.60,9.90
4.14,0.00,0.00,-54.60,16.70,-50.50,22.40,2.70,10.00
4.20,0.00,0.00,-56.40,16.70,-51.30,22.30,2.90,10.20
4.26,0.00,0.00,-56.10,15.70,-52.00,22.20,2.80,9.60
4.33,0.00,0.00,-55.60,17.90,-51.30,21.50,3.20,9.30
4.39,0.00,0.00,-55.60,17.90,-51.30,21.80,2.80,9.90
4.45,0.00,0.00,-55.90,15.80,-49.60,21.50,2.90,9.90
4.52,0.00,0.00,-55.50,20.80,-51.40,23.40,2.30,9.60
4.58,0.00,0.00,-55.30,17.50,-51.70,22.20,2.70,10.20
4.64,0.00,0.00,-54.60,18.40,-51.00,23.30,2.60,9.50
4.71,0.00,0.00,-56.20,16.10,-54.00,22.20,3.00,9.80
4.77,0.00,0.00,-56.20,16.10,-54.00,23.40,2.50,9.60
4.84,0.00,0.00,-54.90,16.70,-49.50,21.90,2.30,9.60
4.90,0.00,0.00,-57.00,16.60,-51.40,22.30,2.90,9.90
4.96,0.00,0.00,-56.50,15.40,-51.10,20.80,3.10,9.70
5.03,0.00,0.00,-56.10,15.40,-51.10,22.50,3.00,9.90
5.09,0.00,0.00,-54.60,15.70,-49.80,22.80,3.30,9.80
5.15,0.00,0.00,-57.10,16.00,-49.50,22.40,2.90,9.60
5.22,0.00,0.00,-55.30,17.20,-52.50,22.20,2.60,9.80
5.28,0.00,0.00,-55.30,16.40,-51.00,22.00,3.60,9.70
5.35,0.00,0.00,-56.10,16.00,-51.70,22.70,3.00,9.80
5.41,0.00,0.00,-55.60,17.20,-51.30,22.50,3.20,9.70
5.47,0.00,0.00,-55.60,17.20,-51.30,22.20,3.10,10.40
5.54,0.00,0.00,-57.30,17.00,-52.60,22.90,3.20,9.60
5.60,0.00,0.00,-55.50,15.10,-50.40,22.90,2.80,10.30
5.67,0.00,0.00,-58.30,16.40,-51.00,22.40,3.50,10.30
5.73,1.00,0.00,-55.20,16.10,-50.40,21.70,3.30,9.80
5.79,1.00,0.00,-56.10,16.40,-41.40,24.90,3.20,10.80
5.86,1.00,0.00,-55.60,13.00,-46.60,28.20,2.80,10.50
5.92,1.00,0.00,-58.00,14.40,-42.80,27.80,10.10,11.40
5.98,1.00,0.00,-55.20,14.40,-45.30,31.40,11.70,11.70
6.05,1.00,0.00,-49.80,9.90,-47.20,29.00,13.90,17.00
6.11,1.00,0.00,-49.80,9.90,-47.20,25.90,15.10,19.50
6.18,1.00,0.00,-41.40,6.60,-49.30,4.80,20.50,23.00
6.24,1.00,0.00,-38.70,3.40,-50.50,9.20,22.40,21.70
6.30,1.00,0.00,-38.70,3.40,-50.50,16.30,25.40,18.90
6.36,1.00,0.00,-37.50,7.20,-45.90,13.60,39.30,16.60
6.43,1.00,0.00,-37.10,5.80,-50.10,12.80,44.10,16.10
6.49,1.00,0.00,-37.10,5.80,-50.10,13.40,120.00,16.10
6.56,1.00,0.00,-38.70,5.20,-52.00,14.30,31.40,17.90
6.62,1.00,0.00,-39.60,5.10,-51.10,15.20,30.40,18.50
6.68,1.00,0.00,-39.90,5.50,-51.90,14.70,28.60,18.30
6.75,1.00,0.00,-38.90,6.30,-51.10,14.90,29.40,18.00
6.81,1.00,0.00,-38.70,5.20,-51.00,14.50,29.00,18.40
6.88,0.00,0.00,-37.50,4.90,-50.50,14.70,30.00,18.30
6.94,0.00,0.00,-37.50,4.90,-50.50,14.90,28.10,18.80
7.00,0.00,0.00,-38.70,4.50,-50.20,14.90,29.50,17.60
7.07,0.00,0.00,-39.60,4.30,-50.40,15.10,30.00,18.40
7.13,0.00,0.00,-40.40,4.80,-50.40,14.70,29.80,18.60
7.19,0.00,0.00,-39.90,5.80,-52.90,14.60,28.10,18.40
7.26,0.00,0.00,-38.40,5.10,-52.20,14.40,30.30,19.00
7.32,0.00,0.00,-38.40,5.10,-52.20,14.40,27.70,18.10
7.38,0.00,0.00,-41.00,5.20,-50.50,15.00,28.90,18.60
7.45,0.00,0.00,-40.40,4.80,-50.80,14.80,30.20,18.20
7.51,0.00,0.00,-39.00,3.70,-50.20,14.60,29.80,18.20
7.58,0.00,0.00,-39.00,3.70,-50.20,15.00,28.70,18.10
7.64,0.00,0.00,-38.70,4.90,-51.30,15.40,29.80,18.10
7.70,0.00,0.00,-39.80,6.90,-51.00,14.00,29.90,18.50
7.77,0.00,0.00,-40.50,5.20,-51.00,14.40,29.80,18.80
7.83,0.00,0.00,-39.90,5.80,-51.10,15.00,28.20,18.50
7.89,0.00,0.00,-38.90,3.90,-50.10,14.70,29.50,18.70
7.96,0.00,0.00,-38.90,3.90,-50.10,14.90,29.30,18.50
8.02,0.00,0.00,-38.70,5.70,-51.30,14.70,30.70,18.90
8.08,0.00,0.00,-39.00,4.90,-49.80,15.00,30.10,17.90
8.15,0.00,0.00,-39.80,5.20,-51.30,14.20,28.40,18.60
8.21,0.00,0.00,-39.60,3.90,-51.40,15.10,30.00,18.50
8.28,0.00,0.00,-39.80,5.20,-50.50,14.80,29.00,18.70
8.34,0.00,0.00,-38.40,5.50,-51.10,14.50,28.80,18.70
8.40,0.00,0.00,-38.40,5.50,-51.10,14.90,28.50,18.70
8.47,0.00,0.00,-38.00,7.20,-49.80,15.10,32.10,18.30
8.53,0.00,0.00,-38.90,4.80,-51.40,14.70,29.50,18.80
8.59,0.00,0.00,-37.80,4.30,-50.80,14.00,29.70,18.00
8.66,0.00,0.00,-37.80,4.30,-50.80,14.60,30.00,18.60
8.72,0.00,0.00,-39.50,4.90,-52.80,14.00,30.00,17.70
8.79,0.00,0.00,-39.50,4.90,-52.80,14.50,30.60,18.00
8.85,0.00,0.00,-39.00,5.70,-53.10,14.60,30.70,18.30
8.91,0.00,0.00,-38.70,4.90,-51.30,14.00,29.30,18.30
8.98,0.00,0.00,-39.00,6.10,-49.50,14.50,30.00,18.30
9.04,0.00,0.00,-39.00,4.90,-51.30,14.00,29.70,18.80
9.10,0.00,0.00,-41.10,5.50,-50.80,15.20,31.20,18.20
9.17,0.00,0.00,-39.50,5.70,-50.20,15.20,30.10,19.20
9.23,0.00,0.00,-39.20,5.50,-52.20,14.60,28.80,18.50
9.29,0.00,0.00,-39.80,4.50,-51.70,14.50,27.70,18.80
9.35,0.00,0.00,-39.80,4.50,-51.70,14.20,26.50,18.30
9.42,0.00,0.00,-39.50,4.50,-51.00,14.70,30.90,18.60
9.48,0.00,0.00,-39.50,4.50,-51.00,14.60,27.60,18.60
9.55,0.00,0.00,-39.00,5.20,-52.00,13.90,28.40,18.20
9.61,0.00,0.00,-39.60,2.80,-51.90,14.30,29.40,19.10
9.67,0.00,0.00,-39.20,2.80,-52.20,14.70,30.20,18.40
9.74,0.00,0.00,-39.20,2.80,-52.20,15.00,30.50,18.80
9.80,0.00,0.00,-39.90,6.30,-49.60,14.60,28.00,18.30
9.87,0.00,0.00,-39.90,6.30,-49.60,15.20,30.60,18.10
9.93,0.00,0.00,-39.20,6.30,-50.40,14.70,27.40,18.40
9.99,0.00,0.00,-41.30,4.20,-52.00,15.70,30.50,19.10
10.06,0.00,0.00,-39.20,5.80,-51.10,14.70,28.00,18.40
10.12,0.00,0.00,-41.30,4.20,-52.00,14.50,28.70,18.30
10.18,0.00,0.00,-39.80,4.90,-50.20,14.30,29.60,18.20
10.25,0.00,0.00,-39.90,5.80,-51.40,13.80,27.60,18.40
10.31,0.00,0.00,-39.90,5.80,-51.40,14.50,31.60,18.20
10.38,0.00,0.00,-39.00,4.90,-51.70,15.40,29.80,18.50
10.44,0.00,0.00,-39.80,3.70,-51.70,14.60,30.30,18.70
10.50,0.00,0.00,-38.90,5.50,-51.40,15.20,29.20,18.50
10.57,0.00,0.00,-38.90,5.50,-51.40,15.00,28.90,18.60
10.63,0.00,0.00,-39.00,3.70,-52.50,14.30,30.60,18.50
10.69,0.00,0.00,-39.90,4.30,-50.10,14.00,27.30,18.00
10.76,0.00,0.00,-39.90,4.30,-50.10,14.00,30.00,18.60
10.82,0.00,0.00,-40.20,5.70,-51.00,15.40,30.80,18.20
10.88,0.00,0.00,-37.80,4.80,-52.90,14.40,28.10,18.80
10.95,0.00,0.00,-37.80,4.80,-52.90,14.00,29.80,18.10
11.01,0.00,0.00,-41.10,4.30,-50.80,15.40,31.80,18.60
11.08,0.00,0.00,-38.40,4.30,-50.80,15.10,28.30,18.60
11.14,0.00,0.00,-38.40,4.30,-50.80,14.90,29.70,18.10
11.20,0.00,0.00,-39.60,4.30,-49.60,14.30,29.90,18.10
11.27,0.00,0.00,-40.40,4.30,-48.90,14.90,29.20,18.90
11.33,0.00,0.00,-39.80,5.20,-52.00,15.20,30.30,17.80
11.39,0.00,0.00,-38.90,3.90,-49.30,14.10,30.90,17.90
11.46,0.00,0.00,-39.20,6.60,-52.20,14.00,28.70,18.10
11.52,0.00,0.00,-40.50,4.90,-49.80,15.30,28.00,18.40
11.59,0.00,0.00,-40.50,4.90,-49.80,14.70,27.30,18.30
11.65,0.00,0.00,-38.90,5.50,-51.10,14.80,30.90,18.30
11.71,0.00,0.00,-38.40,4.80,-52.20,14.80,28.30,18.30
11.78,0.00,0.00,-39.80,3.70,-51.00,14.30,29.10,18.40
11.84,0.00,0.00,-39.50,4.50,-50.50,14.70,29.10,18.00
11.90,0.00,0.00,-39.00,6.10,-49.50,14.40,28.80,18.60
11.97,0.00,0.00,-39.50,4.50,-49.50,15.40,28.90,19.00
12.03,0.00,0.00,-39.80,3.70,-51.70,13.90,28.90,18.20
12.10,0.00,0.00,-39.50,5.20,-52.00,14.30,29.70,18.80
12.16,0.00,0.00,-40.20,5.20,-51.00,13.90,28.80,18.20
12.22,0.00,0.00,-40.20,5.20,-51.00,15.20,29.60,18.10
12.29,0.00,0.00,-39.60,3.90,-50.80,14.70,28.40,18.30
12.35,0.00,0.00,-39.00,4.90,-51.00,14.20,30.00,18.90
12.41,0.00,0.00,-38.70,6.10,-50.50,14.20,28.40,18.70
12.48,0.00,0.00,-38.00,4.20,-49.50,14.80,27.40,17.90
12.54,0.00,0.00,-40.50,4.90,-52.00,14.00,27.80,18.80
12.60,0.00,0.00,-40.50,4.90,-52.00,15.00,27.30,18.20
12.67,0.00,0.00,-39.80,4.20,-49.20,14.30,28.40,18.90
12.80,0.00,0.00,-38.70,5.70,-50.20,14.20,29.40,18.00
12.86,0.00,0.00,-39.00,5.20,-50.50,14.30,29.50,18.60
12.92,0.00,0.00,-39.00,6.40,-51.30,15.20,30.40,19.10
12.99,0.00,0.00,-38.40,4.30,-51.10,14.60,29.60,19.10
13.05,0.00,0.00,-40.50,4.20,-51.30,14.80,30.30,18.70
13.12,0.00,0.00,-37.80,5.10,-51.40,14.70,30.60,18.30
13.18,0.00,0.00,-39.00,5.20,-51.30,14.30,30.20,18.30
13.24,0.00,0.00,-41.00,5.70,-50.50,14.60,29.20,18.00
13.31,0.00,0.00,-41.00,5.70,-50.50,14.10,28.60,18.60
13.37,0.00,0.00,-38.70,5.20,-49.80,14.20,28.00,18.20
13.50,0.00,0.00,-38.90,3.60,-51.10,14.70,31.00,18.20
13.56,0.00,0.00,-38.90,3.60,-51.10,14.40,29.60,19.00
13.62,0.00,0.00,-39.50,5.20,-50.50,14.10,28.80,18.70
13.69,0.00,0.00,-39.60,6.30,-50.10,15.30,28.70,18.50
13.75,0.00,0.00,-41.30,6.40,-52.50,14.90,28.90,18.50
13.82,0.00,0.00,-39.00,4.50,-51.70,15.00,29.70,18.30
13.88,0.00,0.00,-38.70,6.10,-51.30,14.60,29.60,18.60
13.94,0.00,0.00,-41.00,4.90,-50.20,14.60,27.90,18.90
14.01,0.00,0.00,-38.90,4.80,-50.40,14.20,29.50,18.70
14.07,0.00,0.00,-38.90,4.80,-50.40,14.40,31.10,18.50
14.13,0.00,0.00,-40.70,7.00,-50.80,14.40,27.50,18.30
14.20,0.00,0.00,-38.70,4.90,-50.50,14.80,31.30,18.90
14.26,0.00,0.00,-40.40,4.30,-50.40,14.20,27.90,18.50
14.33,0.00,0.00,-40.40,5.80,-49.30,14.90,28.50,18.60
14.39,0.00,0.00,-38.90,5.80,-51.90,15.20,28.90,18.70
14.45,0.00,0.00,-38.90,5.80,-51.90,14.60,27.70,18.40
14.52,0.00,0.00,-40.50,4.90,-49.50,14.70,29.10,18.00
14.58,0.00,0.00,-41.00,4.20,-49.80,14.90,27.40,18.20
14.64,0.00,0.00,-39.50,4.50,-49.80,14.90,28.90,18.00
14.71,0.00,0.00,-39.60,5.50,-50.40,15.30,29.60,18.70
14.77,0.00,0.00,-39.60,5.50,-50.40,14.70,27.50,18.90
14.83,0.00,0.00,-38.90,3.60,-50.40,14.80,30.30,18.50
14.90,0.00,0.00,-39.90,5.50,-52.20,14.50,27.40,18.30
14.96,0.00,0.00,-42.20,5.80,-51.90,14.60,27.10,18.90
15.02,0.00,0.00,-42.20,5.80,-51.90,14.60,28.60,18.50
15.09,0.00,0.00,-38.00,3.70,-51.30,14.60,30.00,18.90
15.15,0.00,0.00,-38.00,3.70,-51.30,14.50,30.90,18.40
15.21,0.00,0.00,-39.90,5.80,-53.70,14.50,28.10,18.40
15.28,0.00,0.00,-39.00,4.90,-50.50,14.40,29.90,18.60
15.34,0.00,0.00,-40.20,6.40,-50.50,14.60,30.00,18.10
15.47,0.00,0.00,-38.30,5.20,-50.50,15.10,26.50,19.00
15.53,0.00,0.00,-38.40,5.80,-50.10,13.90,30.80,18.30
15.60,0.00,0.00,-38.40,5.80,-50.10,13.90,28.40,18.40
15.66,0.00,0.00,-41.10,5.50,-50.40,15.20,26.70,18.10
15.72,0.00,0.00,-41.10,5.50,-50.40,14.10,31.60,17.90
15.79,0.00,0.00,-40.20,4.90,-50.20,14.10,29.10,18.50
15.85,0.00,0.00,-39.80,5.20,-50.20,13.90,29.00,18.40
15.92,0.00,0.00,-37.80,5.50,-51.10,15.30,29.00,19.20
15.98,0.00,0.00,-37.80,5.50,-51.10,14.80,32.50,18.30
16.04,0.00,0.00,-38.70,4.20,-52.00,14.40,28.20,18.30
16.11,0.00,0.00,-38.70,4.20,-52.00,15.40,30.60,18.90
16.17,0.00,0.00,-39.20,3.60,-52.20,15.00,28.80,18.50
16.24,0.00,0.00,-39.50,5.70,-50.50,15.10,31.10,18.60
16.30,0.00,0.00,-40.40,6.60,-51.10,14.90,28.70,18.30
16.36,0.00,0.00,-38.40,5.50,-52.60,14.40,29.80,18.30
16.43,0.00,0.00,-38.40,5.50,-52.60,14.80,27.00,17.90
16.49,0.00,0.00,-40.50,3.40,-53.10,14.20,30.00,18.20
16.55,0.00,0.00,-39.00,5.20,-49.80,14.50,29.20,18.40
16.62,0.00,0.00,-39.80,5.20,-49.80,15.00,28.80,19.00
16.68,0.00,0.00,-39.90,4.80,-51.10,14.00,30.50,18.50
16.75,0.00,0.00,-38.30,6.40,-51.30,13.60,28.90,18.60
16.81,0.00,0.00,-38.30,6.40,-51.30,15.40,31.90,18.20
16.87,0.00,0.00,-39.60,4.30,-50.80,14.30,28.90,18.70
16.94,0.00,0.00,-39.60,4.30,-50.80,13.70,29.30,18.40
17.00,0.00,0.00,-38.40,5.10,-51.40,15.00,29.30,18.20
17.06,0.00,0.00,-39.60,4.30,-50.10,14.40,29.50,18.10
17.13,0.00,0.00,-40.20,4.20,-52.00,14.50,30.00,18.50
17.19,0.00,0.00,-40.20,6.40,-50.50,14.40,27.50,18.20
17.26,0.00,0.00,-39.00,3.40,-49.80,15.10,28.30,18.50
17.32,0.00,0.00,-39.80,5.20,-51.70,15.20,28.60,18.10
17.38,0.00,0.00,-39.60,5.50,-51.90,14.40,28.00,18.50
17.45,0.00,0.00,-40.70,5.10,-51.10,13.90,27.90,18.40
17.51,0.00,0.00,-40.70,5.10,-51.10,15.10,29.40,18.60
17.57,0.00,0.00,-38.00,6.10,-52.00,14.30,28.90,18.20
