# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.05,1.00,0.00,-56.80,-34.10,-14.20,31.30,4.70,6.30
0.12,1.00,0.00,-56.80,-34.10,-14.20,32.40,4.60,6.10
0.18,1.00,0.00,-57.10,-32.90,-12.70,30.20,4.70,6.30
0.24,1.00,0.00,-57.30,-33.50,-14.40,30.50,4.90,6.00
0.31,1.00,0.00,-56.50,-33.00,-13.60,28.30,4.50,6.80
0.37,1.00,0.00,-57.70,-31.50,-12.90,28.80,4.60,6.40
0.43,1.00,0.00,-57.70,-31.50,-12.90,28.00,4.40,6.00
0.50,1.00,0.00,-56.10,-33.20,-11.70,28.40,5.20,6.20
0.56,1.00,0.00,-56.50,-31.50,-11.40,28.10,4.50,5.80
0.63,1.00,0.00,-57.30,-32.30,-13.20,29.40,4.40,6.20
0.69,1.00,0.00,-56.80,-32.40,-11.70,29.90,4.00,6.20
0.75,1.00,0.00,-54.40,-34.20,-12.60,30.50,3.70,6.10
0.82,1.00,0.00,-55.60,-33.60,-12.30,30.40,4.30,6.50
0.88,1.00,0.00,-55.90,-32.70,-10.30,29.70,4.20,6.20
0.94,1.00,0.00,-57.00,-31.50,-11.80,30.80,4.50,6.50
1.01,1.00,0.00,-56.50,-31.80,-11.80,31.90,4.40,6.00
1.07,1.00,0.00,-56.50,-31.80,-11.80,30.20,4.50,6.20
1.13,1.00,0.00,-56.50,-31.10,-10.00,29.00,4.20,6.10
1.20,1.00,0.00,-57.70,-31.80,-10.00,27.80,4.90,6.40
1.26,1.00,0.00,-56.20,-33.50,-11.80,30.20,4.80,6.70
1.33,1.00,0.00,-56.20,-33.50,-11.80,29.20,5.00,6.20
1.39,1.00,0.00,-57.60,-33.60,-14.20,28.30,5.00,6.20
1.45,1.00,0.00,-57.60,-33.60,-17.50,28.00,4.70,6.20
1.52,1.00,0.00,-57.30,-35.40,-14.40,29.00,5.00,5.80
1.58,1.00,0.00,-57.30,-35.40,-14.40,27.90,4.20,5.90
1.64,1.00,0.00,-57.70,-34.20,-12.10,25.80,4.90,6.20
1.71,1.00,0.00,-59.70,-33.20,-11.20,22.30,4.40,7.30
1.77,1.00,0.00,-61.10,-33.20,-9.70,21.10,4.00,6.80
1.84,1.00,0.00,-59.90,-31.80,-9.60,23.10,5.10,6.30
1.90,1.00,0.00,-59.20,-31.80,-11.40,23.80,4.30,6.70
1.96,1.00,0.00,-59.20,-31.80,-11.40,23.60,4.30,6.60
2.03,1.00,0.00,-58.50,-31.10,-10.00,26.20,4.60,6.60
2.09,1.00,0.00,-57.10,-32.40,-10.20,29.50,4.30,7.20
2.16,1.00,0.00,-56.20,-33.80,-10.60,29.00,4.30,6.90
2.22,1.00,0.00,-56.20,-33.80,-10.60,22.90,4.50,6.90
2.28,1.00,0.00,-62.30,-28.30,-8.70,15.30,4.30,7.40
2.35,1.00,0.00,-62.60,-29.50,-10.90,16.10,4.20,7.40
2.41,1.00,0.00,-60.70,-31.50,-10.60,23.80,4.70,6.80
2.47,1.00,0.00,-60.70,-31.50,-10.60,24.80,4.60,6.80
2.54,1.00,0.00,-57.10,-32.90,-9.40,23.50,4.40,7.00
2.60,1.00,0.00,-57.10,-32.90,-9.40,22.80,4.50,6.80
2.67,0.00,0.00,-58.00,-30.30,-10.00,23.10,4.70,6.70
2.73,1.00,0.00,-56.50,-30.80,-10.60,26.20,4.50,6.70
2.79,1.00,0.00,-56.40,-31.40,-8.40,28.00,4.40,6.80
2.86,1.00,0.00,-54.70,-31.80,-8.80,27.20,3.70,6.80
2.92,1.00,0.00,-58.00,-31.10,-6.30,21.20,4.30,7.50
2.98,1.00,0.00,-59.20,-30.00,-6.00,21.50,3.70,6.90
3.05,1.00,0.00,-59.20,-30.00,-6.00,27.60,4.10,7.10
3.11,1.00,0.00,-56.20,-32.30,-9.30,29.90,4.40,6.60
3.17,1.00,0.00,-57.10,-32.10,-9.40,31.30,4.20,6.90
3.24,1.00,0.00,-55.50,-30.00,-6.70,26.10,4.30,7.10
3.30,1.00,0.00,-57.30,-28.90,-7.80,27.30,4.50,6.70
3.36,1.00,0.00,-53.70,-32.70,-6.70,34.00,4.30,6.80
3.43,1.00,0.00,-53.70,-32.70,-6.70,32.80,4.20,6.50
3.49,1.00,0.00,-53.70,-32.70,-6.70,33.60,3.70,7.20
3.56,1.00,1.00,-60.80,-29.00,-6.10,13.60,3.80,7.90
3.62,1.00,0.00,-55.90,-29.00,-6.10,23.30,4.50,6.80
3.68,1.00,0.00,-55.90,-29.60,-6.30,30.70,4.20,6.80
3.75,1.00,0.00,-49.20,-30.30,-7.80,32.10,4.30,7.00
3.81,1.00,0.00,-49.20,-30.30,-7.80,30.30,3.60,7.10
3.88,1.00,0.00,-46.90,-32.30,-5.20,27.50,4.00,7.00
3.94,1.00,0.00,-47.70,-32.70,-6.00,28.50,3.30,6.70
4.00,1.00,0.00,-49.20,-30.80,-4.50,33.30,4.10,7.10
4.07,1.00,0.00,-49.20,-30.80,-4.50,32.70,3.60,7.20
4.13,1.00,0.00,-51.60,-30.90,-4.30,33.70,3.50,7.30
