# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,-13.20,-7.60,-30.90,8.30,62.40,1.80
0.06,1.00,0.00,-12.30,-3.60,-31.40,8.10,60.30,0.10
0.13,1.00,0.00,-14.20,-7.30,-31.10,8.60,120.00,1.70
0.19,1.00,0.00,-14.70,-7.60,-31.70,8.50,57.20,2.50
0.25,1.00,0.00,-14.70,-7.60,-31.70,7.90,120.00,3.10
0.32,1.00,0.00,-15.40,-9.10,-30.20,8.00,60.90,3.70
0.38,0.00,0.00,-15.50,-10.90,-30.30,8.90,56.00,3.70
0.44,0.00,0.00,-15.50,-10.90,-30.30,8.40,58.40,2.20
0.51,1.00,0.00,-14.70,-10.30,-27.70,7.90,59.00,1.60
0.57,1.00,0.00,-15.80,-13.00,-29.20,8.20,55.80,1.60
0.64,1.00,0.00,-18.50,-15.80,-28.10,8.20,52.50,3.40
0.70,1.00,0.00,-19.30,-17.00,-29.60,7.80,60.20,3.30
0.76,1.00,0.00,-17.60,-15.70,-30.20,7.20,57.10,2.20
0.83,1.00,0.00,-17.60,-15.70,-30.20,7.10,120.00,2.20
0.89,1.00,0.00,-14.50,-11.70,-28.60,7.00,58.30,1.90
0.95,1.00,0.00,-13.60,-8.70,-26.90,6.30,63.80,1.90
1.02,1.00,0.00,-13.90,-7.60,-29.50,6.50,57.40,4.20
1.08,0.00,0.00,-13.90,-7.60,-29.50,6.40,54.50,3.00
1.14,1.00,0.00,-15.80,-9.60,-29.20,6.10,54.40,1.80
1.21,1.00,0.00,-14.70,-7.90,-29.20,6.10,52.20,2.40
1.27,1.00,0.00,-13.90,-9.10,-27.70,6.10,62.60,2.30
1.34,1.00,0.00,-13.90,-9.10,-27.70,5.50,47.50,2.30
1.40,1.00,0.00,-12.40,-7.60,-26.90,6.10,120.00,2.50
1.46,1.00,0.00,-13.60,-10.60,-27.70,5.80,120.00,2.60
1.53,1.00,0.00,-13.60,-10.60,-27.70,5.90,66.50,1.40
1.59,1.00,0.00,-16.60,-11.40,-26.90,5.50,57.90,1.70
1.65,1.00,0.00,-14.20,-12.40,-27.80,5.80,120.00,1.70
1.72,1.00,0.00,-14.20,-12.40,-27.80,5.80,68.10,2.40
1.78,1.00,0.00,-13.60,-10.60,-25.90,5.30,54.20,1.80
1.84,1.00,0.00,-11.50,-9.70,-27.80,4.90,56.10,2.50
1.97,1.00,0.00,-11.50,-9.70,-27.80,4.10,120.00,2.00
2.04,1.00,0.00,-10.50,-5.80,-26.80,4.60,52.70,2.50
2.10,1.00,0.00,-9.30,-4.30,-25.60,4.40,120.00,2.60
2.16,1.00,0.00,-10.30,-4.20,-25.40,4.10,49.00,1.70
2.23,1.00,0.00,-11.50,-10.50,-24.50,4.60,45.00,2.20
2.29,1.00,0.00,-15.10,-12.60,-26.50,4.10,120.00,1.80
2.35,1.00,0.00,-13.60,-11.40,-26.90,4.00,120.00,1.30
2.42,1.00,0.00,-12.00,-10.50,-26.00,4.10,60.60,1.30
2.48,1.00,0.00,-9.70,-8.50,-25.60,3.70,120.00,1.70
2.54,1.00,0.00,-11.10,-6.90,-25.40,4.20,120.00,1.60
2.61,1.00,0.00,-11.40,-11.10,-25.90,3.60,120.00,1.40
2.67,1.00,0.00,-11.40,-11.10,-25.90,3.70,120.00,1.40
2.73,1.00,0.00,-14.20,-12.70,-24.50,3.80,44.80,2.10
2.80,1.00,0.00,-14.20,-12.70,-24.50,3.70,45.20,4.30
2.86,1.00,0.00,-14.80,-15.40,-22.30,4.30,45.10,6.00
2.93,1.00,0.00,-14.80,-15.40,-22.30,3.70,47.00,5.40
2.99,1.00,0.00,-16.30,-14.70,-21.70,4.00,49.90,5.20
3.05,1.00,0.00,-16.70,-18.10,-20.50,3.70,56.10,4.40
3.12,1.00,0.00,-20.20,-19.10,-23.30,3.80,120.00,3.70
3.18,1.00,0.00,-19.40,-19.40,-23.60,2.80,120.00,3.40
3.24,1.00,0.00,-19.40,-19.40,-23.60,4.30,120.00,3.30
3.31,1.00,0.00,-20.00,-19.30,-24.80,3.40,120.00,3.60
3.37,1.00,0.00,-19.10,-19.10,-24.70,2.90,120.00,3.40
3.43,1.00,0.00,-18.50,-19.60,-26.30,3.00,120.00,3.50
3.50,1.00,0.00,-17.80,-17.80,-24.80,2.60,120.00,3.30
