# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.05,1.00,4.00,-67.90,-0.70,-42.60,13.90,23.10,120.00
0.12,1.00,4.00,-65.90,3.00,-42.90,13.00,24.80,120.00
0.18,1.00,4.00,-67.00,2.40,-40.20,12.10,24.50,120.00
0.24,1.00,4.00,-67.00,2.40,-40.20,12.00,24.60,120.00
0.31,1.00,4.00,-67.90,3.40,-42.60,11.90,25.10,40.50
0.37,1.00,4.00,-68.00,3.60,-38.70,12.60,25.90,120.00
0.43,0.00,4.00,-67.70,3.10,-39.50,12.50,24.40,120.00
0.50,1.00,4.00,-67.90,3.00,-36.80,13.00,24.30,120.00
0.56,0.00,4.00,-67.90,3.70,-36.00,13.50,23.90,120.00
0.63,1.00,4.00,-67.90,1.00,-36.00,14.50,18.80,120.00
0.69,1.00,4.00,-67.30,0.90,-38.00,14.00,18.80,120.00
0.75,1.00,4.00,-66.20,0.10,-38.40,13.90,19.10,120.00
0.82,1.00,4.00,-67.10,1.50,-36.30,14.00,19.40,120.00
0.88,1.00,4.00,-67.30,0.90,-36.50,14.30,20.10,120.00
0.94,0.00,4.00,-66.40,1.80,-37.80,14.00,21.30,120.00
1.01,0.00,4.00,-66.40,2.50,-40.80,13.50,22.20,120.00
1.07,0.00,4.00,-67.00,-0.10,-42.30,13.40,22.80,120.00
1.14,0.00,4.00,-67.70,3.60,-42.30,13.90,23.60,120.00
1.20,1.00,4.00,-65.90,0.70,-42.20,13.70,22.70,120.00
1.26,1.00,4.00,-66.70,0.70,-44.00,13.70,23.00,120.00
1.33,1.00,4.00,-67.30,2.40,-43.50,12.90,23.70,120.00
1.39,1.00,4.00,-68.80,4.30,-41.30,12.20,25.50,120.00
1.45,1.00,4.00,-67.70,3.90,-42.00,11.80,25.80,120.00
1.52,1.00,4.00,-67.00,3.90,-37.70,12.70,25.90,120.00
1.58,1.00,4.00,-68.80,3.10,-40.50,13.00,25.20,120.00
1.65,1.00,4.00,-68.00,2.10,-40.50,12.70,24.70,120.00
1.71,1.00,4.00,-68.90,1.50,-40.40,12.90,24.80,120.00
1.77,1.00,4.00,-66.70,1.50,-40.10,12.60,24.70,120.00
1.84,1.00,4.00,-68.80,1.60,-41.00,12.90,23.20,120.00
1.90,0.00,4.00,-68.30,2.10,-37.70,14.00,23.40,120.00
1.97,0.00,4.00,-69.50,-0.10,-35.90,13.10,22.40,120.00
2.03,0.00,4.00,-68.80,0.40,-33.90,13.20,21.80,120.00
2.09,0.00,4.00,-68.80,0.40,-33.90,13.90,22.70,120.00
2.16,0.00,4.00,-69.10,2.10,-33.30,13.80,20.90,120.00
2.22,0.00,4.00,-66.70,1.50,-36.00,13.50,20.50,120.00
2.29,0.00,4.00,-68.00,2.10,-34.70,13.40,21.00,120.00
2.35,0.00,4.00,-68.00,2.10,-34.70,13.50,22.10,120.00
2.41,0.00,4.00,-67.70,-1.20,-34.40,13.80,21.10,120.00
2.48,0.00,4.00,-67.30,0.90,-35.40,14.20,21.50,120.00
2.54,0.00,4.00,-67.30,0.90,-35.40,13.90,21.00,120.00
2.60,1.00,4.00,-68.30,1.20,-36.90,14.30,20.30,120.00
2.67,1.00,4.00,-65.50,-0.10,-35.40,13.60,19.60,120.00
2.73,1.00,4.00,-65.50,-0.10,-35.40,14.00,18.50,120.00
2.80,1.00,4.00,-67.30,-1.60,-32.90,13.60,18.20,120.00
2.86,0.00,4.00,-65.90,-2.20,-34.20,13.40,17.70,49.10
2.92,0.00,4.00,-68.20,-1.00,-33.00,14.70,17.90,120.00
2.99,1.00,4.00,-68.20,-1.00,-33.00,14.10,17.50,120.00
3.05,1.00,4.00,-65.20,-3.70,-36.80,14.50,16.80,120.00
3.11,1.00,4.00,-65.20,-4.20,-37.50,13.70,16.30,120.00
3.18,1.00,4.00,-65.20,-4.20,-37.50,14.30,16.10,120.00
3.24,1.00,4.00,-65.20,-1.80,-34.50,14.30,15.00,120.00
3.31,1.00,4.00,-66.50,-4.30,-40.50,13.20,15.60,120.00
3.37,1.00,4.00,-64.90,-2.50,-41.90,13.10,15.90,120.00
3.43,1.00,4.00,-64.30,-5.80,-41.00,13.10,16.40,120.00
3.50,1.00,4.00,-66.70,-4.50,-41.40,13.00,16.30,120.00
