# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,4.00,-39.00,-9.60,-31.70,19.60,48.70,48.00
0.06,1.00,4.00,-39.00,-9.60,-31.70,19.70,47.30,48.80
0.13,1.00,4.00,-41.00,-9.10,-31.70,18.70,48.70,50.80
0.19,1.00,4.00,-38.70,-8.70,-31.70,18.60,51.00,46.60
0.26,1.00,4.00,-38.10,-8.20,-32.60,17.90,51.30,44.80
0.32,1.00,4.00,-39.60,-7.80,-31.40,18.00,55.60,49.40
0.38,1.00,4.00,-39.20,-9.30,-31.10,17.70,49.30,53.30
0.45,1.00,4.00,-40.70,-8.20,-31.80,18.10,53.60,47.00
0.51,1.00,4.00,-40.70,-8.20,-31.80,18.60,51.70,48.20
0.58,1.00,4.00,-40.40,-10.00,-32.60,18.00,53.20,49.30
0.64,1.00,4.00,-40.20,-8.40,-31.70,17.80,50.30,44.30
0.70,1.00,4.00,-39.90,-9.30,-30.30,17.50,55.70,47.60
0.77,1.00,4.00,-39.90,-9.30,-30.30,17.50,49.70,51.40
0.83,1.00,4.00,-41.30,-8.70,-31.20,17.90,46.80,48.40
0.89,1.00,4.00,-41.30,-8.70,-31.20,17.70,51.10,49.50
0.96,1.00,4.00,-39.90,-8.50,-30.60,16.60,48.40,45.60
1.02,1.00,4.00,-39.60,-8.20,-30.30,16.70,51.70,49.10
1.09,1.00,4.00,-39.80,-8.70,-32.30,16.20,49.00,53.50
1.15,1.00,4.00,-40.40,-8.20,-31.10,16.40,45.70,51.40
1.21,1.00,4.00,-39.60,-8.20,-30.60,17.30,45.00,50.80
1.34,1.00,4.00,-39.60,-8.20,-30.60,16.70,48.50,48.80
1.40,1.00,4.00,-41.90,-10.00,-30.60,17.50,53.90,48.40
1.47,1.00,4.00,-41.90,-8.50,-31.40,17.60,47.90,48.70
1.53,1.00,4.00,-41.90,-8.50,-31.40,17.10,47.20,46.20
1.59,1.00,4.00,-41.30,-10.30,-31.20,17.80,49.50,47.70
1.66,1.00,4.00,-40.70,-9.30,-31.40,17.90,46.50,49.10
1.72,1.00,4.00,-40.20,-7.90,-30.20,18.20,47.90,55.80
1.79,1.00,4.00,-40.40,-10.50,-29.60,18.40,50.00,44.50
1.85,1.00,4.00,-40.70,-8.20,-32.10,18.60,51.50,46.60
1.91,0.00,4.00,-39.60,-10.50,-30.60,17.50,52.40,50.00
1.98,0.00,4.00,-39.60,-10.50,-30.60,17.00,50.00,46.80
2.04,0.00,4.00,-41.40,-8.50,-32.10,17.40,45.90,46.60
2.10,0.00,4.00,-40.20,-9.90,-30.50,16.80,46.70,45.40
2.17,0.00,4.00,-39.90,-9.00,-31.10,16.70,47.70,43.50
2.23,0.00,4.00,-39.90,-7.80,-31.80,16.30,46.10,42.80
2.30,1.00,4.00,-40.20,-7.90,-33.50,15.70,46.20,47.20
2.36,1.00,4.00,-39.80,-7.90,-31.70,16.20,40.20,50.20
2.42,1.00,4.00,-38.70,-9.90,-32.00,15.20,42.00,58.20
2.49,1.00,4.00,-38.30,-9.60,-31.70,15.60,37.40,60.00
2.55,1.00,4.00,-39.20,-10.50,-31.40,14.30,36.50,50.50
2.61,1.00,4.00,-39.80,-6.90,-32.00,13.90,34.10,61.10
2.68,1.00,4.00,-38.30,-9.60,-32.00,14.00,32.90,120.00
2.74,1.00,4.00,-37.40,-8.50,-31.40,14.00,34.10,50.50
2.81,1.00,4.00,-37.40,-8.50,-31.40,14.50,34.70,56.60
2.87,1.00,4.00,-36.50,-9.10,-31.20,14.40,36.40,48.60
2.93,1.00,4.00,-38.00,-8.40,-30.20,13.90,38.10,53.30
3.00,1.00,4.00,-39.80,-8.40,-32.00,13.10,35.70,44.30
3.06,1.00,4.00,-39.80,-8.40,-33.00,13.10,36.90,47.60
3.13,1.00,4.00,-38.00,-9.60,-31.70,12.50,34.00,48.60
3.19,1.00,4.00,-38.30,-8.40,-32.70,12.40,31.90,47.90
3.25,1.00,4.00,-38.30,-8.40,-32.70,12.50,29.50,58.20
3.32,1.00,4.00,-35.90,-7.00,-30.60,11.70,29.40,52.10
3.38,1.00,4.00,-38.90,-12.70,-26.00,13.60,29.00,120.00
3.44,1.00,4.00,-38.90,-12.70,-26.00,14.20,31.20,120.00
3.51,1.00,4.00,-40.20,-10.30,-26.90,12.60,29.60,82.40
3.57,1.00,4.00,-37.50,-9.90,-26.90,12.60,27.00,120.00
3.63,1.00,4.00,-37.50,-9.90,-26.90,11.40,26.30,120.00
3.70,1.00,4.00,-38.40,-9.00,-27.80,11.70,27.40,120.00
3.76,1.00,4.00,-38.00,-9.90,-26.90,12.20,26.20,120.00
3.82,1.00,4.00,-39.90,-8.50,-26.30,11.90,27.40,120.00
3.89,1.00,4.00,-37.50,-11.80,-27.20,12.30,27.40,120.00
3.95,0.00,4.00,-39.20,-9.30,-28.60,12.20,26.80,120.00
4.02,1.00,4.00,-37.50,-9.10,-28.70,10.90,26.10,59.20
4.08,1.00,4.00,-35.90,-8.50,-27.10,10.20,24.50,50.20
4.14,1.00,4.00,-35.40,-9.10,-25.10,10.50,23.90,120.00
4.21,1.00,4.00,-39.50,-10.60,-28.00,10.80,26.40,52.00
4.27,1.00,4.00,-39.50,-10.60,-28.00,10.30,25.00,58.40
4.33,1.00,4.00,-37.50,-9.90,-26.20,10.30,23.90,43.70
4.40,1.00,4.00,-36.80,-9.60,-25.40,9.30,24.10,44.10
4.46,1.00,4.00,-36.80,-9.60,-25.40,9.90,23.00,120.00
