# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,-37.40,24.70,-38.00,10.80,3.30,7.40,-74.80,170.70,-8.02
0.06,1.00,0.00,-37.40,24.70,-38.00,11.80,3.10,7.20,-74.80,170.70,-8.02
0.29,1.00,5.00,-30.80,25.40,-33.30,8.90,2.90,7.90,-74.80,170.70,-4.80
0.35,1.00,3.00,-27.80,22.70,-33.60,10.20,3.40,7.90,-74.80,170.70,-5.57
0.42,1.00,3.00,-27.20,20.20,-42.60,7.90,2.70,7.80,-74.80,170.70,-5.02
0.48,1.00,3.00,-28.60,22.70,-40.20,12.60,3.60,7.90,-74.90,170.70,-6.34
0.54,1.00,5.00,-28.60,22.70,-40.20,12.90,4.00,8.10,68.40,-105.00,131.02
0.60,1.00,5.00,-28.40,31.70,-35.00,12.50,7.80,18.10,594.90,-1118.20,7.77
0.67,1.00,0.00,-28.40,31.70,-35.00,12.80,11.40,16.50,8.90,9.90,-130.49
0.73,1.00,3.00,-29.30,24.20,-38.00,9.90,11.20,17.50,8.90,9.90,-130.49
0.79,1.00,5.00,-31.50,26.90,-37.70,10.20,11.90,17.90,8.50,9.80,-124.58
0.85,1.00,5.00,-30.50,29.00,-37.50,11.30,12.00,17.10,8.50,9.70,-124.45
0.92,1.00,5.00,-30.80,26.90,-37.20,9.60,12.40,17.00,8.50,9.50,-119.02
0.98,1.00,3.00,-30.80,25.00,-37.20,8.50,13.10,16.50,8.50,9.40,-114.43
1.04,1.00,5.00,-29.80,26.30,-36.30,8.40,13.20,16.50,8.60,9.50,-110.79
1.10,1.00,5.00,-29.80,26.30,-36.30,8.10,16.40,15.70,8.60,9.60,-105.59
1.17,1.00,3.00,-28.90,23.90,-36.90,7.40,22.20,15.20,8.30,9.70,-103.56
1.23,1.00,3.00,-27.80,25.70,-35.40,7.70,120.00,15.70,8.40,9.70,-108.66
1.29,1.00,3.00,-25.30,25.40,-32.90,7.50,120.00,16.40,8.50,9.70,-110.07
1.35,1.00,3.00,-27.40,23.90,-34.40,7.50,38.00,15.60,8.60,9.80,-115.52
1.42,1.00,3.00,-28.60,23.50,-39.50,6.30,25.20,16.50,8.50,9.70,-111.23
1.48,1.00,3.00,-30.00,23.50,-40.20,7.30,18.50,16.60,8.50,9.70,-107.95
1.54,1.00,5.00,-30.90,23.30,-38.90,7.10,20.40,15.20,-74.90,170.70,-6.06
1.61,1.00,5.00,-30.20,26.80,-38.90,7.30,20.80,16.10,8.60,9.80,-96.75
1.67,1.00,5.00,-30.00,23.20,-37.20,7.30,23.00,15.70,8.20,10.00,-91.13
1.73,1.00,3.00,-29.50,22.60,-37.50,7.50,120.00,15.30,8.40,10.00,-88.85
1.79,1.00,3.00,-27.10,24.20,-34.40,8.00,120.00,15.70,8.40,10.10,-86.51
1.86,1.00,3.00,-27.40,18.80,-36.20,6.80,120.00,16.50,8.10,10.20,-82.78
1.92,1.00,3.00,-27.80,19.30,-35.40,6.80,120.00,16.20,7.70,10.50,-80.64
1.98,1.00,3.00,-28.40,17.20,-37.10,7.10,43.60,16.60,7.80,10.80,-73.84
2.04,1.00,3.00,-26.00,18.10,-35.90,6.80,35.10,17.30,7.70,10.90,-71.28
2.11,1.00,3.00,-29.20,15.70,-38.60,6.70,29.10,18.40,7.70,10.80,-67.51
2.17,1.00,3.00,-30.80,13.50,-39.20,6.60,21.50,18.00,7.80,10.90,-65.80
2.23,1.00,3.00,-29.50,9.90,-38.90,6.80,21.30,18.90,8.00,10.80,-68.98
2.29,1.00,3.00,-29.50,10.60,-37.50,7.10,20.90,18.80,7.60,11.00,-61.21
2.36,1.00,3.00,-29.50,10.60,-37.50,7.90,22.00,18.20,7.30,11.40,-60.50
2.42,1.00,3.00,-30.00,12.00,-36.50,7.30,20.90,17.70,7.00,12.00,-58.38
2.48,1.00,3.00,-28.10,10.50,-38.40,7.60,23.10,17.40,5.90,12.80,-57.19
2.55,1.00,3.00,-29.20,12.60,-38.10,7.30,21.70,16.30,4.10,13.20,-63.54
2.61,1.00,3.00,-29.60,7.30,-37.70,6.40,14.80,14.80,5.50,12.80,-66.54
2.67,1.00,4.00,-39.00,4.50,-44.00,3.90,13.90,13.50,5.30,12.10,106.26
2.73,1.00,1.00,-37.50,5.20,-44.00,3.90,11.80,12.80,5.00,12.00,100.16
2.80,1.00,0.00,-37.50,5.20,-44.00,3.70,21.80,11.90,4.90,12.90,-53.03
2.86,1.00,0.00,-36.00,9.90,-43.70,3.70,19.20,11.60,4.80,13.20,-44.77
2.92,1.00,0.00,-35.60,10.90,-42.30,4.00,20.00,11.70,4.70,13.40,-48.09
2.98,1.00,0.00,-35.60,10.90,-42.30,4.50,19.90,10.90,5.00,13.20,-58.05
3.05,1.00,3.00,-30.30,4.30,-35.90,5.90,14.10,11.00,5.30,13.00,-53.08
3.11,1.00,3.00,-30.30,4.30,-35.90,5.50,13.30,10.80,5.30,12.90,-54.72
3.17,1.00,3.00,-29.60,3.60,-36.90,5.20,16.60,11.00,5.10,12.80,-57.51
3.23,1.00,3.00,-28.40,6.40,-35.30,5.80,17.80,11.10,5.00,12.80,-58.90
3.30,1.00,3.00,-25.00,7.20,-33.80,6.10,18.60,11.40,5.00,12.80,-57.40
3.36,1.00,3.00,-24.10,9.30,-34.70,5.70,20.20,11.40,4.90,12.90,-58.35
3.42,1.00,3.00,-25.00,8.70,-32.00,6.30,20.10,11.50,4.90,13.40,-53.48
3.55,1.00,5.00,-24.80,9.30,-31.80,6.10,18.70,11.70,4.80,14.30,-58.54
3.61,1.00,5.00,-24.80,5.10,-28.90,6.20,17.20,11.50,4.50,14.40,-59.29
3.67,1.00,3.00,-27.10,-4.30,-26.00,6.60,6.30,14.00,-78.20,177.20,-2.51
3.74,1.00,3.00,-24.10,-0.10,-28.10,6.20,9.20,13.80,-74.90,170.70,-5.96
3.80,1.00,3.00,-23.80,5.50,-22.00,8.00,9.80,15.70,-74.90,170.70,-4.98
3.86,1.00,3.00,-23.80,5.50,-22.00,7.10,11.40,14.20,-74.80,170.70,-5.01
3.92,1.00,3.00,-20.90,9.10,-22.60,7.70,15.40,12.80,-74.80,170.70,-5.57
3.99,1.00,5.00,-20.50,5.50,-20.90,8.70,12.20,13.50,-74.80,170.70,-4.35
4.05,1.00,5.00,-21.80,5.50,-20.90,10.30,12.30,13.10,-74.90,170.70,-4.79
4.11,1.00,5.00,-22.30,5.50,-20.20,11.90,11.10,13.60,-74.80,170.70,-4.94
4.17,1.00,3.00,-22.60,2.80,-20.20,9.70,9.20,12.70,-74.90,170.70,-4.49
4.24,1.00,3.00,-22.60,2.80,-20.20,11.20,9.00,13.10,-74.90,170.70,-5.67
4.30,1.00,3.00,-23.30,-0.10,-19.70,11.40,7.60,12.90,-74.80,170.70,-4.82
4.36,1.00,3.00,-23.90,-2.20,-18.80,10.30,6.70,12.90,-74.80,170.70,-4.86
4.42,1.00,3.00,-25.60,-6.60,-20.20,9.30,5.00,14.00,-74.90,170.70,-5.57
4.49,1.00,3.00,-25.00,-2.50,-18.10,16.40,7.00,12.60,-74.80,170.70,-5.48
