# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0,0,0,0,0,0,0,0,0
0,1,0,-48.4,17,-54,9.6,3.2,11.5
0.07,1,0,-41,12.6,-52,9.3,16.5,11.7
0.13,1,0,-38.7,10.3,-52,8.9,19.1,11.6
0.19,1,0,-38.7,10.3,-52,8.3,20.1,11.1
0.26,1,0,-38.1,8.5,-53.4,8,20.5,10.9
0.32,1,0,-40.7,10.5,-53.7,8,23.7,10.9
0.39,1,0,-40.4,10.9,-52.6,7.5,22.4,10.5
0.45,1,0,-40.4,10.5,-52.2,7.7,26.5,10.3
0.51,1,0,-39,9.9,-53.1,7,31.8,10.5
0.57,1,0,-38.3,9.6,-52.5,7.3,25.2,10.8
0.64,1,0,-42.2,9,-51.9,7.2,19.8,10.7
0.7,1,0,-41,10.6,-53.1,8.7,17.3,11.1
0.76,1,0,-39.6,7.8,-52.6,7.7,15.5,11.8
0.83,1,3,-36.6,9.7,-50.4,8.7,16.2,11.5
0.89,1,0,-36.6,9.7,-50.4,8.7,16.3,10.6
0.95,1,0,-38.4,14.7,-50.8,8,16.2,9.9
1.02,1,0,-39.5,13.8,-51.3,8,15.6,9.6
1.08,1,0,-40.4,9.7,-51.9,7.9,13.8,9.8
1.14,1,0,-38.4,13.2,-51.1,8.7,13,10.5
1.21,1,5,-38.4,17,-48.9,7.5,13.8,9.4
1.27,1,0,-39.6,13.2,-51.4,6.8,14.5,9.1
1.33,1,0,-39.6,13.2,-51.4,6.4,12.4,9.1
1.4,1,3,-35,9.6,-49.5,6.1,11.2,9.8
1.46,1,0,-34.8,6.3,-48.6,4.7,10.4,9.3
1.53,1,3,-34.8,6.3,-48.6,5.2,8.1,8.8
1.65,1,0,-35,13.3,-48.7,5.4,6.8,9.3
1.72,1,0,-35.4,15.7,-49.2,6.7,5.9,8.9
1.78,1,0,-38.4,18.5,-47.5,7.7,5.2,9.4
1.84,1,0,-38.4,18.5,-47.5,7.7,5.8,9.3
1.91,1,0,-38.1,18.8,-48.9,7.6,5.2,10
1.97,1,0,-37.1,22.3,-47.8,6.4,5.9,7.8
2.03,1,0,-37.1,20,-46.3,6.2,5.2,7.5
2.1,1,0,-35.7,19.9,-48.7,5.6,4.9,8
2.16,1,0,-36.5,19.9,-46.6,6.5,4.8,9.4
2.22,1,5,-36.5,19.9,-46.9,6.6,5.3,11.2
2.29,1,5,-38.1,18.1,-48.1,6.4,5.2,30.3
2.35,1,5,-40.5,20.6,-49.2,6.2,4.9,38.5
2.41,1,5,-40.7,21.5,-50.1,5.5,4.8,45.2
2.48,1,5,-42.6,20.5,-50.1,5.4,5.3,45.2
2.54,1,0,-47.8,24.5,-52.5,5.5,6.1,31.9
2.6,1,0,-47.8,24.5,-52.5,5.5,6.2,38
2.67,1,0,-50.8,22.6,-52.5,6.5,7.3,32.9
2.73,1,0,-53.1,23.6,-52,7.9,8.9,21.9
2.79,1,0,-53.1,23.6,-52,8.4,10.1,18.7
2.92,1,3,-58,17,-54.4,11.4,8,20.8
2.99,1,0,-57.9,17.5,-53.8,12.9,7.8,22
3.05,1,0,-57.9,16.4,-55,13.9,6.7,23
3.11,1,0,-62.8,13.9,-55.5,16.9,7.6,22.1
3.17,1,0,-62.8,13.9,-55.5,16.7,7.1,21.8
3.24,1,0,-61.9,14.1,-56.1,20.8,7.6,22.4
3.3,1,5,-59.7,11.4,-55.3,23.7,7.5,24.9
3.36,1,3,-60.2,10.5,-57.3,120,7.1,33.8
3.43,1,3,-62.8,-1.2,-54,64.4,6.1,120
3.49,1,0,-64.1,1.8,-56.4,59.7,7.3,32.5
3.56,1,0,-66.4,-1.5,-54.6,52.8,8.5,20.7
3.62,1,0,-66.4,-1.5,-54.6,52.7,9.4,21
3.68,1,3,-66.4,0.3,-55.3,52,11.2,18.1
3.75,1,0,-70.1,-1.5,-53.8,26.7,11.1,18.2
3.81,1,3,-69.5,-3.6,-53.4,25.3,12.9,16.2
3.87,1,0,-69.5,1.6,-54,15.8,15.8,13.9
3.94,1,0,-61.4,-2.8,-55.5,22.8,16.4,14.2
4,1,3,-56.5,-2.4,-55.5,27,17.5,14
4.06,1,4,-56.5,-2.4,-55.5,11.3,19.4,15.4
4.13,1,4,-68.9,-4.2,-51.3,9.5,18.9,20.8
4.19,1,0,-64,-7.8,-52.6,12.9,18.7,20.1
4.26,1,0,-56.4,-8.4,-53.1,17.4,22.6,17.3
4.32,1,0,-56.4,-8.4,-53.1,21.2,26,16.1
4.38,1,3,-47.5,-6.1,-51.7,120,28.7,14.5
4.44,1,0,-48.3,-4.9,-51.7,15.3,32.1,14.6
4.51,1,3,-48.3,-4.9,-51.7,26.5,37.7,14.1
4.57,1,0,-46.5,-7.6,-49.8,24.3,41,13.8
4.64,1,3,-42.9,-7,-48.9,120,42,12.8
4.7,1,3,-42.9,-7,-48.9,120,34.5,13.9
4.76,1,3,-39.8,-7.9,-45.1,120,27.1,14.4
4.82,1,3,-39.2,-3.9,-46,120,40.1,13.9
4.89,1,0,-36.6,-3.6,-45,44.5,41.4,13.7
4.95,1,3,-37.1,-3.6,-43.8,120,40.9,13.8
5.01,1,3,-31.2,2.5,-41.9,89.5,53.3,13.2
5.08,1,3,-36.3,9.3,-44.6,120,120,11.9
5.14,1,3,-39,11.4,-46.6,17.8,120,10.9
5.27,1,3,-38.7,5.7,-48.7,22.3,120,11.9
5.33,1,0,-40.2,1.8,-49.2,24.6,55.5,11.8
5.39,1,3,-37.1,0.1,-44.3,120,45.4,12.3
5.46,1,3,-34.8,-0.4,-45.3,120,40.3,11.6
5.52,1,3,-31.5,-0.1,-42,120,30.7,12.1
5.59,1,3,-32.3,-2.1,-41.3,120,39.4,12.2
5.65,1,3,-31.5,1.2,-41.7,120,120,11.4
5.71,1,3,-32.6,3.1,-42,8.6,120,11
5.77,1,0,-32.7,-2.2,-41.9,21.5,16.9,10.6
5.84,1,0,-34.1,0.9,-46.3,12.3,11.5,10.4
5.9,1,0,-34.4,-1.2,-43.8,12,8.7,10.1
5.96,1,0,-30.8,1.6,-42.3,8.6,9.4,10.8
6.03,1,3,-28.4,5.2,-38.1,120,13.9,9.8
6.09,1,3,-28.9,3.6,-38.7,120,16.5,8.6
6.15,1,0,-32.3,-0.4,-42.8,7.8,120,8.1
6.22,1,0,-31.1,-2.8,-43.5,5.8,9,8.2
6.28,1,0,-27.8,-0.9,-39.8,7.4,10.6,7.7
6.34,1,0,-26,5.1,-36.9,5.9,18,7.4
6.41,1,0,-27.1,7.8,-33.9,8.8,13.7,7.9
6.47,1,3,-24.1,12,-30,13.6,120,8.4
6.53,1,3,-25.3,17.3,-27.8,10.8,120,8.2
6.6,1,2,-27.2,21.8,-26.5,6.4,120,8.2
6.66,1,0,-27.2,21.8,-26.5,5.5,120,8.3
