# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.06,1,0,-33.5,20.6,-43.4,11.3,5.7,3.5,8.7,8.7,-145.19
0.12,1,5,-34.8,22,-45.3,10.4,5.7,10.3,8.5,8.6,-149.17
0.19,1,0,-34.8,22,-45.3,10.7,11.4,12.2,8.3,8.5,-148.78
0.25,1,0,-36.3,22,-43.8,11,9.8,12.4,8.4,8.3,-148.83
0.31,1,0,-32.9,22,-43.8,9.9,8.9,13.4,8.2,8.3,-159.94
0.37,1,0,-35,22.1,-46.6,9.2,7.9,13.6,8.3,8.4,-164.94
0.44,1,0,-34.7,22.6,-45.1,8.9,8,13.5,8.1,8.3,-154.91
0.5,1,0,-34.8,23.5,-43.8,8.3,7.3,13.7,8.3,8.4,-170.3
0.56,1,0,-38.3,24.5,-48,7,6.9,18,8.5,8.5,179.75
0.62,0,0,-37.8,22.3,-45.3,7.5,7,17.3,8.4,8.4,178.16
0.69,1,5,-35.4,23.6,-45.9,7,6.7,21.3,8.5,8.3,178.89
0.75,1,5,-38.1,27.4,-43.5,6.5,8,24.5,8.9,8.1,178.22
0.81,1,5,-40.2,26,-43.7,6,7.3,32.5,8.8,8,177.24
0.88,1,5,-41.1,25.4,-46,5.7,8.1,28.5,8.8,7.9,168.37
0.94,1,0,-43.4,28.9,-45.3,6,8.5,22,8.6,8.1,162.47
1,1,0,-43.4,28.1,-46.3,5.8,8.3,21.8,8.7,8.4,173.99
1.07,1,0,-43.4,28.1,-46.3,5.1,8.6,23.1,9.2,8.1,177.98
1.13,1,0,-44.1,26.6,-47.8,6.4,8.6,33.6,9.1,8.1,-180.04
1.19,1,5,-43.7,26.6,-46.3,6.4,8.8,31.1,9,8,-179.09
1.25,1,0,-40.5,28.7,-45.4,5.7,8.8,16.8,9.1,7.9,-179.24
1.32,1,0,-43.5,29.8,-45.1,6,8.6,18.1,9.2,7.8,-177.51
1.38,1,5,-41.4,26.6,-45,5.5,8.4,21.5,9.3,8.3,-176.19
1.44,1,0,-42,28,-46.2,5.7,8.1,21.1,9.3,8.5,-176.47
1.51,1,0,-42,28,-46.2,5.2,8.3,20.1,9.3,8.7,-172.5
1.57,1,5,-40.5,25.6,-45.4,6.6,8.6,20.3,9.9,8.7,-161.82
1.63,1,0,-40.5,27.5,-44.7,7,8.9,18.1,10.3,8.8,-157.61
1.76,1,0,-40.5,27.5,-44.7,6.4,8.5,17.4,10.5,8.4,-142.69
1.82,1,5,-39.6,30.8,-42.8,6.7,10.6,13.8,10.4,8.5,-126.83
1.88,1,0,-34.4,24.2,-41.3,8.6,11,14.2,10.7,8.4,-126.82
1.94,1,0,-34.4,24.2,-41.3,9.2,12.6,12.4,10.7,8.4,-118.91
2.01,1,5,-34.8,25,-42,9.5,13.8,12.1,10.8,8.3,-120.99
2.07,1,3,-30.8,16.6,-42,11.4,15.4,11.1,11.7,7.4,168.15
2.13,1,3,-31.5,19.3,-44.6,11.7,16.9,10.6,11,8.1,-107.47
2.2,1,5,-30.5,18.4,-42.6,11.3,18.5,10.4,10.7,7.6,-91.49
2.26,1,0,-32,17.9,-41.9,10.1,19.7,9.9,10.5,7.5,-80.34
2.32,1,5,-31.2,20.9,-42.6,10.1,21.1,9.7,10.2,8.1,-72.51
2.39,1,3,-29.2,19.1,-41.1,9.8,32.3,9.9,9.3,8.1,-63.29
2.45,1,3,-33.9,13.8,-45.9,8.9,120,9.2,8.1,7.7,-58.09
2.51,1,0,-31.5,8.5,-43.1,9.1,23.4,11.2,7.9,7.4,-49.02
2.58,1,3,-31.5,8.5,-43.1,8.8,16.7,11.7,7.8,7.5,-46.35
2.64,1,0,-39.9,-3.6,-46.3,6.7,16.8,13.1,8.2,7.7,-43.88
2.7,1,0,-39.6,-1.2,-46,7.2,20.1,12.5,8.2,8.2,-46.48
2.77,0,0,-37.4,-1.6,-46,9,24.7,10.7,7.7,8.6,-44.64
2.83,1,0,-36.6,-1.6,-45.6,10.2,18.7,11.3,7.2,9.2,-36.47
2.9,1,3,-36,-7.2,-42.6,11.5,16.9,11.7,6.9,9.6,-25.88
2.96,1,3,-36,-7.2,-42.6,10.3,18.1,11.2,6.5,10,-21.21
3.02,1,3,-33.6,-3.1,-43.1,9.2,20.3,10.5,6.2,11.1,-11.86
3.09,1,0,-36.8,0.3,-45.9,10.5,27.5,8.3,-76.8,220,163.56
3.15,1,0,-37.8,0.4,-48.9,13.7,47.9,7.2,5.9,12.3,-9.04
3.21,1,3,-37.8,0.4,-48.9,22.8,31.5,7.4,5.8,12.7,-5.81
3.27,1,0,-45.4,-3.9,-50.1,19.5,32.6,7.8,5.7,12.9,-6.05
3.34,1,0,-41.1,-3.9,-47.5,23.5,38.4,7.3,5.8,13.7,-6.55
3.4,1,0,-41.1,-3.9,-47.5,19.3,35.1,7.8,5.9,14.6,-5.97
3.46,1,3,-39,-6.9,-46.2,120,120,7.8,5.9,15.7,-8.3
3.53,1,3,-40.4,-5.5,-45.3,120,31.5,7.6,6,16.1,-9.16
