# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.06,1,0,-42.9,-2.8,-45.6,19.1,47,4,4.3,15.3,8.01
0.12,1,0,-44.3,-2.5,-46.9,17.9,48.3,3.9,4.4,15.3,7.63
0.18,1,0,-44.3,-1.5,-46.9,18.3,51.2,3.5,4.5,15.4,8.24
0.25,1,0,-42.8,-1.8,-47.7,20.2,51.9,4.6,4.6,15.6,7.62
0.31,1,0,-42.8,-1.8,-47.7,25.1,55.8,4.3,5.5,15.8,-0.33
0.37,1,0,-42.8,-1.8,-47.7,18.5,47.9,3.9,6.6,15.7,-24.24
0.44,1,0,-43.1,-3,-46.6,25.1,49.9,4.4,6.8,16,-29.98
0.5,1,0,-45.1,-3.6,-45.6,18.2,11.6,5.1,6.2,15.5,-30.56
0.56,1,1,-45.9,-10.5,-41.7,16.1,8.6,5.5,5.8,15.2,-27.48
0.62,1,3,-38.9,-5.5,-41.7,8.4,8,7.2,5.6,15.2,-23.47
0.68,1,1,-38.9,-5.5,-41.7,7,8.6,6.6,5.5,15.5,-20.35
0.75,1,0,-37.2,-2.2,-41.9,7.2,12.9,4.8,5.1,16,-24.88
0.81,1,3,-36.3,-1.2,-42,8.4,11.9,4.7,4.9,16,-32.21
0.87,1,3,-38.7,-3.7,-41.9,8.8,10.9,3.7,5.3,15.9,-34.87
0.93,1,1,-40.2,-7.6,-42.2,7.6,10.5,4,5.4,15.9,-42.38
1,1,1,-40.2,-7.6,-42.2,5.5,10,3.3,5.5,16.1,-43.79
1.06,1,1,-32.9,-3.9,-41,4.7,9.6,3.9,5.4,16,-43.32
1.12,1,3,-30.2,-3,-37.8,5.9,9.5,4.8,5.6,16,-41.21
1.19,1,3,-31.1,-0.4,-38.7,4.5,9.8,5.7,5.6,16,-41.99
1.25,1,3,-29.2,-0.3,-36.3,4.9,8.7,5.9,5.2,15.5,-42.11
1.31,1,3,-30.8,-3.1,-34.7,5.5,8.4,6.9,5.1,15.8,-40.54
1.37,1,3,-29.3,-3.1,-32.1,6,7.9,7.1,5.1,15.8,-37.91
1.43,1,3,-29.3,1.2,-38.7,4.4,12.5,4,5.1,15.7,-37.05
1.5,1,3,-31.7,-0.7,-40.1,4.5,11.4,4.6,5,15.7,-34.98
1.56,1,3,-32.7,1.8,-41.1,4.8,12.3,3.8,4.9,15.7,-32.54
1.62,1,3,-32.7,1.8,-41.1,4.4,11.2,4.2,4.9,15.7,-31.39
1.69,1,3,-34.7,-0.7,-41.9,4.4,11.7,3.8,4.9,15.8,-32.25
1.75,1,3,-33.2,-3,-39.6,5,11.4,3.5,5.1,15.8,-32.68
1.81,1,3,-34.2,-4.2,-38.1,5.2,10.3,3.2,5.1,15.7,-32.57
1.87,1,1,-34.1,-5.1,-41.3,4.5,10.5,3.4,4.9,15.5,-30.64
1.94,1,1,-34.1,-5.1,-41.3,4.9,9.8,3.7,4.9,15.6,-28.74
2,1,3,-34.1,-3.9,-39.8,5.1,10.2,4.2,4.8,15.6,-27.76
2.06,1,3,-34.2,-3,-40.8,5.2,11.1,3.6,4.8,15.6,-27.46
2.13,1,3,-35.1,-5.1,-41.3,6.5,11.1,3.2,4.7,15.7,-25.98
2.19,1,3,-34.1,-3.6,-39.2,6.1,10.7,2.7,4.8,15.8,-26.91
2.25,1,3,-34.1,-3.6,-39.2,6.1,10.6,2.7,4.8,15.8,-25.9
2.32,1,3,-35.1,-2.1,-39.8,6.1,11,3.2,4.6,15.7,-23.12
2.38,1,1,-37.2,-5.2,-39.6,6.3,10.6,3,4.5,15.6,-21.86
2.44,1,1,-36,-4.2,-41.9,5.9,10.2,2.9,4.5,15.6,-20.76
