# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.07,1,0,-42,17.5,-50.2,8.7,3.6,7.7,10.2,9.1,-107.7
0.13,1,0,-41.1,15.8,-52.2,8.3,23.3,14.9,10.3,9,-104.69
0.21,1,0,-40.7,16.1,-51.1,8.1,23.8,14.8,9.9,9,-108.81
0.3,1,0,-41.9,17.3,-51.1,8.5,24,15.3,9.7,8.9,-111.93
0.36,1,0,-39.5,14.1,-50.2,8.3,25.7,15.3,9.7,8.9,-114.24
0.43,1,3,-39.5,14.1,-50.2,8.1,24.1,14.7,9.7,8.9,-117.44
0.49,1,0,-42.2,13.2,-52.2,7.3,21,14.9,9.8,8.7,-120.39
0.6,1,0,-42.2,13.2,-52.2,7.5,20,14.5,9.8,8.7,-120.39
0.6,1,0,-41.6,13.8,-52.5,7.9,17.2,15.3,9.8,8.7,-120.39
0.85,1,0,-41.6,13.8,-52.5,8.3,17.3,14.8,9.8,8.7,-120.39
1.11,1,0,-41.4,14.4,-53.7,8.3,17.1,15.3,10.1,8.9,-176.15
1.19,1,0,-45.4,21.5,-51.9,7.4,8.8,26.7,10.1,8.9,179.55
1.26,1,0,-45.4,21.5,-51.9,7.3,8.9,23.3,9.6,9,179.27
1.32,1,3,-45.3,20.6,-53.5,6.7,9,120,9.6,8.9,172.01
1.38,1,0,-46.9,21.2,-53.7,6.7,9,41.9,9.6,9,165.7
1.44,1,3,-47.5,21.4,-54.6,6.6,8.8,16.9,9.6,9.1,163.72
1.5,1,3,-48.6,19.9,-56.8,5.9,9.1,48.6,9.7,9,166.11
1.57,1,0,-52.3,23.3,-56.1,6.3,9.8,120,9.9,8.8,164.29
1.63,1,0,-52.3,23.3,-56.1,6.9,10.3,32.5,9.8,8.9,163.54
1.69,1,3,-52.2,19.6,-55.9,6.7,10.4,120,9.8,9,164.02
1.75,1,0,-55.2,21.2,-55.2,5.8,9.9,50.6,9.8,9.2,164.48
1.81,1,0,-56.1,20.6,-54.6,6,10.6,43.1,9.8,9.6,161.21
1.88,1,0,-58,22.3,-57,6.4,10.3,41.4,9.8,9.6,158.95
1.94,1,0,-56.5,19.6,-55.9,6.1,10.4,40.8,9.5,9.8,155.35
2,1,0,-57,19.6,-54.4,6.9,10.9,48.3,9.1,10.1,148.98
2.06,1,0,-59.1,22.1,-54.6,7.9,10.9,32.1,8.6,10.7,72.02
2.12,1,0,-57.6,21.8,-55.6,8.2,11.3,30.8,8.5,10.5,100.35
2.19,1,0,-59.1,19.4,-55.3,8.4,10.9,120,8.9,10.1,113.79
2.25,1,3,-58.5,15.8,-55.9,10.3,12.7,27.2,8.7,9.9,116.34
2.88,1,0,-64.6,0,-53.5,120,10,120,7.9,9.4,45.54
2.95,1,0,-64.6,0,-53.5,120,10.3,24.7,8.8,8.7,37.58
3.01,1,3,-60.1,-1,-56.4,120,12.5,23.8,9.6,9.4,45.54
3.07,1,0,-60.8,-1,-53.1,120,13.7,21.8,10.3,10.3,28.68
3.13,1,3,-59.7,-6.1,-52,120,14.6,20.7,10.1,11.5,19.35
3.2,1,3,-59.7,-6.1,-52,120,14,19.2,10.1,11.2,11.01
3.26,1,3,-63.2,-10.5,-48.6,16.6,14.2,20.5,10.1,11.1,8.19
3.32,1,4,-67.1,-2.5,-52.5,9.4,29,18,10.1,11.3,9.88
3.39,1,4,-67.1,-2.5,-52.5,11.8,44,16.6,10,12,1.99
3.45,0,0,-58.3,-3,-51.7,24.8,40.1,17,10.1,12.9,2.96
3.52,1,0,-58.3,-3,-51.7,38.1,42.5,16.9,10.2,13.3,-1.72
3.58,1,3,-52,-1.5,-54.6,72.2,53.8,16.3,10.4,13.4,-12.83
3.64,1,3,-49.9,1.2,-53.7,120,53.4,16.4,9.8,14.2,-18.34
3.7,1,0,-49.2,0.1,-52.9,59.7,55.7,15.7,8.6,15.4,-19.77
3.77,1,0,-47.5,0,-52,120,49.5,16.1,7.9,15.3,-9.95
3.83,1,3,-44.6,0.3,-50.2,26.1,55.2,15.9,8.6,15.8,-10.66
