# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0,1,0,-38.9,19.3,-43.1,9.1,14.9,17.8,9.9,10,-120.63
0.06,1,0,-36.8,21.4,-44.4,8.8,15.6,17.1,9.9,10,-120.71
0.13,1,0,-37.5,21.4,-42.2,9.5,14.4,17.4,9.9,9.9,-120.27
0.19,1,0,-38.1,23.2,-43.5,9.9,14.4,16.8,9.6,10.1,-127.59
0.25,1,0,-38.1,23.2,-43.5,9.5,14.5,17.3,9.3,10.3,-137.49
0.31,1,0,-38.3,22.6,-44.4,9.6,15,16.6,9,10.5,-146.06
0.45,1,0,-38.4,22.3,-44.3,8.9,14.6,17.1,9,10.5,-146.06
0.45,1,0,-38.1,24.2,-44.3,9.1,14.3,16.8,9,10.5,-146.06
0.45,1,3,-37.5,22.1,-43.7,11.7,10.4,17.7,9.3,9.3,-159.41
0.8,1,0,-38.7,25.3,-44.4,9.7,9.6,18,9.3,8.9,-165.79
0.93,1,3,-39.9,25,-44.3,9.1,8.6,18.7,9.3,8.9,-165.79
0.93,1,3,-41.4,22.3,-47.1,7.4,7.9,120,10.3,8.8,179.24
1.1,1,3,-40.5,25.3,-45.1,7.2,8.6,120,10.5,8.6,171.67
1.16,1,3,-41,23.6,-44.7,7.6,8.3,120,10.5,8.5,172.99
1.23,1,3,-40.7,25,-44.3,6.7,9.6,120,10.4,8.7,178.08
1.29,1,0,-45.1,29.6,-44.3,5.6,9.9,27.7,10.9,8.5,-156.72
1.37,1,0,-44.6,33.2,-44,6.4,10.5,21.8,10.2,8.6,-178.34
1.49,1,0,-42.6,30,-43.5,6.8,10.3,23.7,10.3,8.5,-178.36
1.55,1,5,-42.6,30,-43.5,6.7,10,23.9,10.3,8.6,177.62
1.62,1,3,-40.2,29.5,-43.4,7.3,9.5,20.3,10.3,8.6,-171.71
1.68,1,3,-41.4,30.8,-43.8,6.8,9.6,120,10.3,8.8,-170.39
1.74,1,5,-41.4,30.8,-43.8,6.6,9.7,25.3,10.1,8.7,-175.88
1.81,1,0,-40.2,32.1,-42.6,6.7,10.8,22.7,10.3,8.9,177.48
1.87,1,3,-40.2,32.1,-42.6,7,10.2,20.9,10.6,9,-175.62
1.93,1,3,-43.1,29,-44.4,6.8,9.7,23,10.8,9.2,-175.88
2,1,3,-43.1,29,-44.4,6.7,9.6,120,11,9.3,-167.42
2.06,1,0,-43.4,31.8,-43.5,7,9.8,21.6,10.9,9.4,-175.07
2.12,1,3,-43.4,31.8,-43.5,7.1,10.1,27.1,10.8,9.7,158.78
2.18,1,3,-43.4,31.8,-43.5,7.2,10.2,22.6,11.1,9.3,165.05
2.25,1,3,-41.1,29.6,-44.3,7.5,10.5,27.1,10.9,9.4,-173.92
2.31,1,5,-44.4,30.8,-42,7.2,10.7,22.8,11.2,9.5,179.93
2.37,1,0,-44.4,30.8,-42,7.1,11.1,24.7,11.3,9.8,169.04
2.44,1,0,-45.4,27.7,-45.6,7.1,9.8,29.1,11.6,9.8,179.86
2.5,1,3,-46.9,28.4,-46,6.9,10.7,120,11.3,9.9,164.58
2.56,1,0,-45.4,26.6,-46.3,7,10.9,34.9,11.2,9.8,157.79
2.62,1,0,-49.2,27.4,-47.8,7.2,11.7,32.3,11.2,9.9,152.85
2.69,1,0,-50.2,28.4,-45,7.7,11.8,31.7,11.9,10.1,160.67
