# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0,1,3,-27.1,31.5,-46,11.7,13.1,14.2,11.3,11.1,-138.22
0.06,1,5,-24.8,30.3,-45.6,11,12.9,14.9,11.3,11.2,-137.67
0.12,1,3,-27.7,29.5,-45.9,12,12.7,15.4,11.2,11.2,-138.73
0.19,1,5,-27.7,29.5,-45.9,11.8,12.5,16.2,10.9,11.8,-179.92
0.25,1,3,-26,26.9,-46,11.5,11.8,17.2,10.9,12.2,139.19
0.31,1,3,-27.2,27.5,-46.9,11,11.6,17.7,10.8,11.4,-140.95
0.37,1,3,-27.4,28.4,-46.3,11.1,11.2,18.6,10.8,11.5,-138.12
0.44,1,3,-27.4,28.4,-46.3,10.8,10.7,17.8,10.9,11.4,-135.77
0.5,1,3,-26.6,27.4,-47.1,11.8,10.8,17.6,11,11.4,-137.35
0.56,1,3,-26,27.4,-46,12.3,12,17.4,10.9,11.4,-137.56
0.63,1,3,-24.1,27.7,-46,12.7,11.6,16.6,10.7,11.5,-137.73
0.75,1,3,-26.6,28.9,-46,12.2,11.7,16.4,10.7,11.5,-136.56
0.82,1,3,-26.6,28.9,-46,11.8,10.8,16.2,10.8,11.5,-131.62
0.88,1,5,-26.2,30.2,-46.2,13,11.6,16.1,10.9,11.5,-127.93
0.94,1,3,-24.8,28.4,-44.3,16.7,11.9,15.2,11,11.5,-126.06
1,1,3,-25,26.8,-45.1,16.9,13.3,14.7,11.5,10.7,-118.44
1.07,1,3,-24.2,24.8,-44.7,17.4,12.9,14.2,11,10.9,-112.18
1.13,1,3,-20.8,25,-44.3,17.5,14.2,13.4,11,10.9,-110.12
1.19,1,3,-22.9,24.5,-44.7,14.8,15.2,12.6,10.9,10.9,-109.88
1.25,1,3,-20.6,22.6,-44,11.5,15.8,12,10.3,10.4,-112.62
1.32,1,3,-20.6,22.6,-44,9.2,18.7,11.5,10.3,10.4,-112.62
1.38,1,3,-20.6,21.4,-43.4,10.1,20.5,11.4,9.5,10.4,-116.73
1.44,1,0,-19.9,21.8,-44,8.5,18.7,10.9,8.9,10.5,-117.95
1.5,1,3,-20.2,23.6,-45.9,8,17.3,10.9,8.5,10.5,-118.26
1.57,1,3,-19.4,25.6,-44.4,7.7,16.7,10.2,8.2,10,-118.38
1.63,1,3,-20.5,23.5,-44.3,6.9,12.8,10.5,8.1,9.9,-110.86
