4.8,1,5,-28.1,23.5,-32.6,4.8,5.5,12.9,5.3,6.1,168.88
4.86,1,5,-28.1,23.5,-32.6,3.7,5.1,12.4,5.6,5.9,168.63
4.92,1,5,-30.9,26,-33.8,4.5,4.5,14.8,6,5.8,168.79
4.98,1,3,-32.4,26.3,-35.6,4.9,4.1,14.4,4.1,6,173.12
5.05,1,5,-36,30.9,-35,4.3,4.9,13.8,5,5.7,178.95
5.11,1,5,-36,30.9,-35,3.7,5.2,14.1,6.1,4.9,-169.48
5.89,1,5,-29.5,20.9,-33.8,4.7,4.8,12.3,5.9,4.8,-144.33
6.11,1,5,-29.5,20.9,-33.8,6.1,5.4,11.6,5.8,5,-135.99
6.17,1,3,-27.1,15.4,-33.9,6.3,5.8,10.2,6.1,5.3,-136.44
6.23,1,5,-28,23.6,-31.7,5.2,7.1,9.8,6.2,5.6,-150.59
6.29,1,5,-31.5,30.3,-30,4,6.9,10.3,6,6,-164.32
6.37,1,5,-28.1,25.7,-33.3,6.4,6.9,10.6,6,6,-164.32
6.89,1,3,-52.3,20.6,-50.5,5.8,5.3,120,4.8,5.2,92.98
6.95,1,0,-61,26.6,-50.1,4.6,4.3,23.3,6.6,4.8,78.35
7.11,1,4,-68.6,22.1,-44.4,3.1,4.5,120,6.2,4.2,114.31
7.17,0,0,-66.7,23.6,-47.7,4.5,4.4,120,6.3,4.6,114.29
7.23,0,0,-59.5,26.2,-48.6,4.1,5,31.4,6.3,4.6,114.29
7.31,1,3,-56.5,22,-49.3,4.6,4.8,120,7.8,4.6,-176.92
7.44,1,0,-65.5,22.7,-48.1,8.1,4.3,24.2,8.2,4.7,170.46
7.72,1,3,-62.6,1,-49.8,120,3.9,120,10.3,5.7,83.23
7.79,1,3,-62.6,1,-49.8,120,4.3,120,11.2,6,73.37
7.85,1,3,-59.2,0.9,-51.1,78.6,5.3,120,11.3,6,70.22
7.91,1,3,-64,3.9,-48.1,50.5,4.5,120,12.5,7.1,77.34
7.97,1,0,-65.5,1.2,-46.3,49.3,5.7,40.9,13.7,7.6,78.32
8.04,1,3,-65.5,1.2,-46.3,52.9,6.7,120,14.4,8.2,82.74
8.16,1,0,-69.8,6.3,-44.3,31.6,7.3,23.7,15.2,8.5,88.7
8.22,1,0,-71.9,9.1,-43.4,23,8.6,18.3,15.9,8.7,82.6
8.29,1,0,-70.1,10.3,-43.7,32.6,8,18.9,16.8,8.9,83.22
8.35,1,0,-60.1,9.1,-46.2,46.5,8.6,18.4,18.2,9.1,79.94
8.41,1,0,-59.5,6.3,-47.1,44.5,8.3,19,18.7,9.7,71.77
8.48,1,0,-59.9,10.9,-46.8,55.3,8.6,17,19.9,10.4,72.5
8.54,1,0,-55.9,9.7,-47.8,44.5,9.4,17.3,20.4,10.5,80.03
8.6,1,0,-64.3,8.5,-42.8,39.3,9.9,17.8,20.9,10.5,78.94
8.66,1,0,-63.1,9.1,-44,31.2,12.5,15.6,21.1,10.7,77.34
8.73,1,0,-65,9,-43.5,33.3,12.9,16.5,22.6,10.5,74.39
8.79,1,0,-60.8,6.9,-42.6,40.8,11.4,16.6,24.3,11.2,74.16
8.85,1,0,-57,3.9,-43.1,44.7,11.1,18.1,24.4,11.4,76.8
