# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.43,1,3,-31.1,23.2,-40.5,6.2,10.5,14.9,7.2,8.7,-143.97
0.66,1,0,-32.6,21.2,-41.7,7,7.4,15.6,7.6,8.1,-148.03
0.72,1,5,-30.3,24.7,-40.5,6.8,8.1,15.2,8,7.3,-156.92
0.78,1,0,-31.5,24.7,-39.8,7.5,7.6,17,8,7.3,-156.92
0.98,1,3,-31.5,23.9,-41.3,9.5,6.3,19.7,8.3,9.1,-151.59
1.03,1,0,-32.6,34.5,-38.4,6.5,7.2,18.6,8.2,9,-156.27
1.1,1,0,-32.6,34.5,-38.4,6.1,7.4,16.9,8.1,9,-155.43
1.16,1,5,-35,29.8,-40.4,8.9,8.2,17,8,9,-153.41
1.22,1,5,-35,29.8,-40.4,8.8,8.4,16.2,8,9,-153.41
1.22,1,0,-35.4,33.6,-39.3,7.6,8.8,16.6,8.8,9.2,-148.89
1.44,1,5,-35,34.8,-37.5,8.2,8.9,17.2,8.6,9.4,-156.67
1.5,1,5,-35,34.8,-37.5,9.3,9.4,17.9,8.4,9.6,-165.53
1.61,1,5,-32,35.1,-37.5,8.8,9.6,16.5,8.6,10,171.98
1.66,1,5,-34.2,34.8,-39.6,8.1,9.1,15.7,8.6,10.1,163.71
1.72,1,0,-38.3,37.1,-40.8,6.9,7.7,120,8.5,10.1,178.32
1.79,1,5,-37.5,30.6,-41.9,9.3,7.6,28.5,8.7,10.1,174.66
1.85,1,3,-38.1,24.7,-44.3,8.7,7.7,120,8.6,10.4,173.54
1.91,1,3,-37.8,25,-44.3,8.7,7.1,120,9.3,10.7,-178.34
1.97,1,3,-40.7,25.7,-47.1,8,7.8,120,9.2,10.8,176.59
2.04,1,0,-48.6,27.5,-47.2,7.7,7.7,120,9.3,10.9,-172.73
2.1,1,3,-45.3,24.5,-47.7,8.3,8.3,28.5,9.3,11,-169.59
2.16,1,5,-42.6,29.6,-45.6,9.1,8.6,29.6,9.2,11,-171.81
